Date of event,Organization,Site Name,Location,Start Time,End Time,DACA,DAPA,Language,Notes,Free,Contact
02/04/2015,CARECEN,SEIU,"1651 East 4th Street
Santa Ana, CA 92701
(33.748147963000065, -117.84544004599996)",6:30 PM,8:30 PM,X,X,Spanish,DAPA/DACA and AB60 info session,Free and open to the public,Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
02/06/2015,CARECEN,NEW Academy of Science and Arts,"379 Loma Drive
Los Angeles, CA 90017
(34.05870865400004, -118.26673386599998)",8:30 AM,10:30 AM,X,X,Spanish,DAPA/DACA and AB60 info session,Free and open to the public,Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
02/10/2015,CARECEN,CARECEN,"2845 W 7th St
Los Angeles, CA 90005
(34.05983789000004, -118.28550914599998)",6:00 PM,8:00 PM,X,X,Spanish,DAPA/DACA and AB60 info session,Free and open to the public,Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
02/12/2015,CARECEN,Hawaiian Gardens City Hall,"21815 Pioneer Blvd Room B Hawaiian Gardens
CA 90716
(33.83009069800005, -118.08186429499995)",9:30 AM,11:30 AM,X,X,Spanish,DAPA/DACA and AB60 info session,Free and open to the public,Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
02/17/2015,CARECEN,"DAPA/DACA Forum with Congresswoman Linda Sanchez, Wray Theatre, Rio Hondo College","3600 Workman Mill Road
Whittier, CA 90601
(34.01944234600006, -118.03812461099994)",6:00 PM,8:00 PM,X,X,Spanish,DAPA/DACA and AB60 info session,Free and open to the public,Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
02/18/2015,CARECEN,CLEAN Car Wash Campaign,"516 W Vernon Ave
Los Angeles, CA 90037
(34.003713910000045, -118.28349822099995)",6:30 PM,8:30 PM,X,X,Spanish,DAPA/DACA and AB60 info session,Free and open to the public,Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
02/19/2015,CARECEN,DAPA/DACA talk for musicians’ union (AFL/CIO),"1783 1st Street
Los Angeles 90033
(34.04727321800004, -118.22007266299994)",12:00 PM,2:00 PM,X,X,Spanish,DAPA/DACA and AB60 info session,Free and open to the public,Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
02/21/2015,CARECEN,"DAPA/DACA talk for Belize Consulate, Fire Station #94 ","4470 Coliseum Street
Los Angeles, CA 90016
(34.01779919200004, -118.34558796699997)",1:00 PM,3:00 PM,X,X,English,DAPA/DACA and AB60 info session,Free and open to the public,Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
03/01/2015,CARECEN,"DAPA/DACA talk for Seventh-Day Adventist Church, ","11057 Hill Dr
Loma Linda, CA 92354
(34.052259262000064, -117.26125362199997)",11:00 AM,1:00 PM,X,X,Spanish,DAPA/DACA and AB60 info session,Free and open to the public,Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
01/29/2015,CARECEN,"AB60 Study Circle, CARECEN","2845 W 7th St
Los Angeles, CA 90005
(34.05983789000004, -118.28550914599998)",6:00 PM,8:00 PM,,,Spanish,AB60 Study Session with practice tests,"Free and open to the public, limited space",Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
02/05/2015,CARECEN,Belmont High School,"1575 W 2nd Street
Los Angeles, CA 90026
(34.06129783100005, -118.26370912599998)",9:00 AM,10:00 AM,,,Spanish,AB60 info session,Open to Belmont parents,Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
02/07/2015,CARECEN,CARECEN,"2845 W 7th St
Los Angeles, CA 90005
(34.05983789000004, -118.28550914599998)",10:00 AM,1:30 PM,,,Spanish,AB60 info session,Free and open to the public,Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
02/05/2015,CARECEN,"AB60 Study Circle, CARECEN","2845 W 7th St
Los Angeles, CA 90005
(34.05983789000004, -118.28550914599998)",6:00 PM,8:00 PM,,,Spanish,AB60 Study Session with practice tests,"Free and open to the public, limited space",Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
02/12/2015,CARECEN,"AB60 Study Circle, CARECEN","2845 W 7th St
Los Angeles, CA 90005
(34.05983789000004, -118.28550914599998)",6:00 PM,8:00 PM,,,Spanish,AB60 Study Session with practice tests,"Free and open to the public, limited space",Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
02/21/2015,CARECEN,"AB60 Study Circle, CARECEN","2845 W 7th St
Los Angeles, CA 90005
(34.05983789000004, -118.28550914599998)",9:30 AM,11:30 AM,,,Spanish,AB60 Study Session with practice tests,"Free and open to the public, limited space",Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
02/28/2015,CARECEN,"AB60 Study Circle, CARECEN","2845 W 7th St
Los Angeles, CA 90005
(34.05983789000004, -118.28550914599998)",9:30 AM,11:30 AM,,,Spanish,AB60 Study Session with practice tests,"Free and open to the public, limited space",Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
03/07/2015,CARECEN,"AB60 Study Circle, CARECEN","2845 W 7th St
Los Angeles, CA 90005
(34.05983789000004, -118.28550914599998)",9:30 AM,11:30 AM,,,Spanish,AB60 Study Session with practice tests,"Free and open to the public, limited space",Tessie Borden 213-385-7800 x168 tborden@carecen-la.org
,Asian Americans Advancing Justice-Los Angeles,Asian Americans Advancing Justice-Los Angeles,"1145 Wilshire Blvd
Los Angeles, CA 90017
(34.052876955000045, -118.26450880999994)",3:00 PM,6:00 PM,X,X,"English, Spanish, Mandarin, Cantonese",DACA/DAPA Eligibility Screening (every 2nd anf 4th Thursday of the month),Free and open to the public,Michelle Saucedo 213-977-7500 x 886 or Tiffany Panlilio 213-977-7500 x 885
,Asian Americans Advancing Justice-Los Angeles,Asian Americans Advancing Justice-Los Angeles,"1145 Wilshire Blvd
Los Angeles, CA 90017
(34.052876955000045, -118.26450880999994)",3:00 PM,6:00 PM,X,,"English, Spanish, Mandarin, Cantonese",DACA Workshop,Free and open to the public,Michelle Saucedo 213-977-7500 x 886 or Tiffany Panlilio 213-977-7500 x 885
02/28/2015,Asian Americans Advancing Justice-Los Angeles,코리안 복지 센터 (Korean Community Services),"7212 Orangethorpe Ave
Buena Park, CA 90621
(33.85891335800005, -118.00724921899996)",10:00 AM,1:00 PM,X,X,"Korean, English",DACA/DAPA Eligibility Screening,Free and open to the public,Michelle Saucedo 213-977-7500 x 886 or Tiffany Panlilio 213-977-7500 x 885
03/07/2015,Asian Americans Advancing Justice-Los Angeles,First Baptist Church of Alhambra,"101 South Atlantic Boulevard
Alhambra, CA 91801
(34.09030225600003, -118.13464925799997)",10:00 AM,1:00 PM,X,X,"English, Spanish, Mandarin, Cantonese, Korean (possibly more API languages)",DACA/DAPA Eligibility Screening,Free and open to the public,Michelle Saucedo 213-977-7500 x 886 or Tiffany Panlilio 213-977-7500 x 885
03/03/2015,Los Angeles Public Library,Felipe de Neve Branch Library,"2820 W 6th St
Los Angeles, CA 90057
(34.06364387700006, -118.28415751899996)",6:00 PM,7:00 PM,,,"English,
Spanish",AB60 Information Session,Free and open to the public,"Felipe de Neve Branch Library
213-384-7676"
03/04/2015,LA Voice,"AB60 St. Teresita Catholic Church,","2646 Zonal Av
Los Angeles, CA 90033
(34.05715537800006, -118.19779284499998)",6:00 PM,8:00 PM,,,Spanish,AB60 Study Session with practice tests,Free and open to the public,Alma Morales 323-793-5470   almalavoice@gmail.com
03/04/2015,LA Voice,DAPA/DACA Forum Dolores Mission Catholic Church,"170 S Gless Street
Los Angeles, CA 90033
(34.04554729100005, -118.22303703499995)",6:00 PM,8:00 PM,X,X,Spanish,DAPA/DACA Informational and implementation Forum.,Free and open to the public,"Fr. Isidro Lepes SJ, 323-881-0039 ilepesj@gmail.com"
03/06/2015,LA Voice,DAPA/DACA Forum Our Lady of Talpa,"2914 E 4th Street
Los Angeles, CA 90033
(34.03734534900008, -118.20454060699996)",7:00 PM,9:00 PM,X,X,Spanish,DAPA/DACA Informational and implementation Forum.,Free and open to the public,"Isabel Salas, 323-483-1016, isabelsalas1@live.com"
03/07/2015,Asian Americans Advancing Justice-Los Angeles,First Baptist Church of Alhambra,"101 South Atlantic Boulevard
Alhambra, CA 91801
(34.09030225600003, -118.13464925799997)",10:00 AM,1:00 PM,X,X,"English, Spanish, Mandarin, Cantonese, Korean (possibly more API languages)",DACA/DAPA Eligibility Screening,Free and open to the public,Michelle Saucedo 213-977-7500 x 886 or Tiffany Panlilio 213-977-7500 x 885
03/07/2015,LA Voice,AB60 Centro Vida Victoriosa Church,"715 Brady Ave
Los Angeles, CA 90022
(34.01835455500003, -118.13752665999999)",1:30 PM,5:00 PM,,,Spanish,AB60 study Session with practice tests,Free and open to the public ,"Pastor Carlos Rincon,(213) 977-0905 "
03/07/2015,LA Voice,AB60 La Soledad Catholic Church,"4562 E Cesar
Los Angeles, CA 90022
(34.02358052100004, -118.15511747999994)",7:00 PM,9:00 PM,,,Spanish,AB60 study Session with practice tests,Free and open to the public,"Sandra Garcia, 323-603-1502, lasoledad@sbcglobal.net"
