Description,Issue Date,Maturity Date,Issue Amount,Interest Rate,Outstanding Principal,Outstanding Interest,Type
LANDSCAPING & LIGHTING 2001 SERIES,04/10/2001,03/01/2021,$10305000.00,4.000%-7.000%,$4660000.00,$948040.00,City Bond Obligations
GENERAL OBLIGATION BOND 2004-A,08/10/2004,09/01/2024,$360540000.00,3.000%-5.000%,$18025000.00,$450625.00,City Bond Obligations
CONVENTION CENTER 2008-A REF,10/15/2008,08/15/2022,$253060000.00,4.250%-5.125%,$253060000.00,$67078446.95,City Bond Obligations
SOLID WASTE RESOURCE 2009-B SERIES,12/23/2009,02/01/2020,$49485000.00,2.000%-5.000%,$28755000.00,$4623375.00,City Bond Obligations
MICLA 2008-A,08/28/2008,09/01/2026,$105090000.00,3.500%-5.000%,$83365000.00,$29078777.50,City Bond Obligations
MICLA 2010-D,11/23/2010,11/01/2015,$18705000.00,3.000%-5.000%,$5575000.00,$253375.00,City Bond Obligations
SANITATION EQUIPMENT CHARGE 2005-A SERIES,07/07/2005,02/01/2019,$45750000.00,5.000%-5.000%,$25520000.00,$4398250.00,City Bond Obligations
GENERAL OBLIGATION BOND 2008-A,08/20/2008,09/01/2028,$101000000.00,3.750%-5.000%,$75750000.00,$24745000.00,City Bond Obligations
2000-A MRCA LAWRYS PROJECT,06/14/2000,08/01/2015,$1305000.00,5.50%,$300000.00,$24169.80,City Bond Obligations
"WASTEWATER SYSTEM, Sub 2012-C REF",05/24/2012,06/01/2027,$133715000.00,4.000%-5.000%,$131100000.00,$57007750.00,City Bond Obligations
MICLA 2009-A,04/23/2009,04/01/2019,$57930000.00,3.00%-5.25%,$31690000.00,$4903012.50,City Bond Obligations
"WASTEWATER SYSTEM, 2002-A REF",05/01/2002,06/01/2032,$102850000.00,4.000%-6.000%,$37110000.00,$15679200.00,City Bond Obligations
MICLA 2007-B2,08/08/2007,08/01/2020,$52085000.00,5.080%-5.710%,$30745000.00,$5803213.00,City Bond Obligations
MICLA 2013-D,09/09/2013,06/01/2021,$39795478.78,2.79%,$34672886.58,$3205444.10,City Bond Obligations
MICLA - 2006-A,12/14/2006,01/01/2037,$448595000.00,3.000%~5.000%,$407655000.00,$255472862.00,City Bond Obligations
CASCADES BUSINESS PARK & GOLF COURSE,10/02/1997,09/01/2022,$11750000.00,4.500%-6.200%,$6590000.00,$2070720.00,City Bond Obligations
"MICLA AY Ref S, U, W, 2H, AA, 3H",05/17/2005,12/01/2014,$46395000.00,2.750%-5.000%,$45000.00,$787.50,City Bond Obligations
"WASTEWATER SYSTEM, 2010-A",10/21/2010,06/01/2039,$177420000.00,5.71%,$177420000.00,$235968609.42,City Bond Obligations
MICLA - AS REF M,04/02/2002,10/01/2022,$7655000.00,3.000%-5.000%,$3275000.00,$636839.00,City Bond Obligations
"WASTEWATER SYSTEM, 2012-A REF",05/24/2012,06/01/2024,$49650000.00,5.00%,$49650000.00,$24825000.00,City Bond Obligations
MICLA 2009-C,12/10/2009,09/01/2019,$40095000.00,2.000%-5.000%,$25675000.00,$3521775.00,City Bond Obligations
"GENERAL OBLIGATION BOND, 2012-A",05/02/2012,09/01/2025,$225850000.00,3.000%-5.000%,$225850000.00,$69160100.00,City Bond Obligations
MICLA 2012-C,05/10/2012,03/01/2032,$109730000.00,4.000%-5.000%,$98135000.00,$38979878.00,City Bond Obligations
MICLA 2010-A,11/23/2010,11/01/2020,$30355000.00,3.000%-5.000%,$22415000.00,$3822925.00,City Bond Obligations
"WASTEWATER SYSTEM, 2013-A",06/18/2013,06/01/2043,$149980000.00,5.00%,$149980000.00,$207320000.00,City Bond Obligations
"WASTEWATER SYSTEM, Sub 2012-A REF",04/26/2012,06/01/2024,$157055000.00,1.000%-5.000%,$153850000.00,$38149231.32,City Bond Obligations
"WASTEWATER SYSTEM, 2010-B",10/21/2010,06/01/2040,$89600000.00,5.81%,$89600000.00,$133538270.56,City Bond Obligations
"WASTEWATER SYSTEM, SUB 2010-A",10/21/2010,06/01/2032,$199790000.00,2.000%-5.000%,$195740000.00,$83604950.00,City Bond Obligations
MICLA 2009-E,12/10/2009,09/01/2039,$56665000.00,4.625%-6.000%,$53160000.00,$48844200.08,City Bond Obligations
"WASTEWATER SYSTEM, 2013-B REF",06/18/2013,06/01/2035,$143880000.00,2.000%-5.000%,$134815000.00,$67206300.00,City Bond Obligations
MICLA - AV REF R,04/02/2003,06/01/2015,$43330000.00,3.000%-5.250%,$4610000.00,$242025.00,City Bond Obligations
CONVENTION CENTER 2003- A REF,06/04/2003,08/15/2015,$226045000.00,2.000%-5.000%,$68815000.00,$2560318.75,City Bond Obligations
MICLA 2008-B,08/28/2008,09/01/2038,$43790000.00,3.000%-5.000%,$39835000.00,$29248345.00,City Bond Obligations
LANDSCAPING & LIGHTING 2000 SERIES,03/29/2000,09/01/2020,$14355000.00,4.700%-5.650%,$3695000.00,$755097.54,City Bond Obligations
