Fiscal Year,Type,Activity,Amount in Thousands,Absolute Amount in Thousands
2007,Other Financing Sources (Uses),Premium on Issuance of Long-term Debt,15138,15138
2007,Other Financing Sources (Uses),Issuance of Refunding Bonds,0,0
2007,Other Financing Sources (Uses),Premium on Issuance of Refunding Bonds,0,0
2007,Other Financing Sources (Uses),Payment to Refunded Bond Escrow Agent,0,0
2007,Other Financing Sources (Uses),Proceeds of Refunding Loan,0,0
2007,Other Financing Sources (Uses),Payment for Current Refunding of Loan,0,0
2007,Other Financing Sources (Uses),Loans from HUD,0,0
2007,Other Financing Sources (Uses),Transfers In,1058449,1058449
2007,Other Financing Sources (Uses),Transfers Out,-853782,853782
2007,Special Items,Loss on Loan Settlement,0,0
2007,Special Items,Transfer of Properties for Development from CRA,0,0
2007,Special Items,Transfer of Housing Loans from CRA,0,0
2008,Revenues,Taxes,3480296,3480296
2008,Revenues,Licenses and Permits,61047,61047
2008,Revenues,Intergovernmental ,852376,852376
2008,Revenues,Charges for Services,1254704,1254704
2008,Revenues,Fines,154600,154600
2008,Revenues,Special Assessments,103782,103782
2008,Revenues,Investment Earnings,255254,255254
2008,Revenues,Other,134564,134564
2008,Expenditures,General Government,-1268572,1268572
2008,Expenditures,Protection of Persons and Property,-2573006,2573006
2008,Expenditures,Public Works,-379026,379026
2008,Expenditures,Health and Sanitation,-398152,398152
2008,Expenditures,Transportation,-357301,357301
2008,Expenditures,Cultural and Recreational Services,-387727,387727
2008,Expenditures,Community Development,-435768,435768
2008,Expenditures,Capital Outlay,-934999,934999
2008,Expenditures,Debt Service-Principal,-391585,391585
2008,Expenditures,Debt Service-Interest,-206675,206675
2008,Expenditures,Debt Service-Cost of Issuance,-2604,2604
2008,Expenditures,Debt Service-Advance Refunding Loan Escrow,-41311,41311
2008,Other Financing Sources (Uses),Issuance of Long-term Debt,461035,461035
2008,Other Financing Sources (Uses),Discount on Issuance of Long-term Debt,0,0
2008,Other Financing Sources (Uses),Premium on Issuance of Long-term Debt,3596,3596
2008,Other Financing Sources (Uses),Issuance of Refunding Bonds,0,0
2008,Other Financing Sources (Uses),Premium on Issuance of Refunding Bonds,0,0
2008,Other Financing Sources (Uses),Payment to Refunded Bond Escrow Agent,0,0
2008,Other Financing Sources (Uses),Proceeds of Refunding Loan,24110,24110
2008,Other Financing Sources (Uses),Payment for Current Refunding of Loan,-24110,24110
2008,Other Financing Sources (Uses),Loans from HUD,0,0
2008,Other Financing Sources (Uses),Transfers In,1021078,1021078
2008,Other Financing Sources (Uses),Transfers Out,-805671,805671
2008,Special Items,Loss on Loan Settlement,0,0
2008,Special Items,Transfer of Properties for Development from CRA,0,0
2008,Special Items,Transfer of Housing Loans from CRA,0,0
2009,Revenues,Taxes,3506089,3506089
2009,Revenues,Licenses and Permits,51084,51084
2009,Revenues,Intergovernmental ,838722,838722
2009,Revenues,Charges for Services,1375875,1375875
2009,Revenues,Fines,156211,156211
2009,Revenues,Special Assessments,104149,104149
2009,Revenues,Investment Earnings,134830,134830
2009,Revenues,Other,114336,114336
2009,Expenditures,General Government,-1339379,1339379
2009,Expenditures,Protection of Persons and Property,-2599294,2599294
2009,Expenditures,Public Works,-422994,422994
2009,Expenditures,Health and Sanitation,-467392,467392
2009,Expenditures,Transportation,-361371,361371
2009,Expenditures,Cultural and Recreational Services,-376869,376869
2009,Expenditures,Community Development,-402152,402152
2009,Expenditures,Capital Outlay,-641363,641363
2009,Expenditures,Debt Service-Principal,-495258,495258
2009,Expenditures,Debt Service-Interest,-188552,188552
2009,Expenditures,Debt Service-Cost of Issuance,-6285,6285
2009,Expenditures,Debt Service-Advance Refunding Loan Escrow,0,0
2009,Other Financing Sources (Uses),Issuance of Long-term Debt,530225,530225
2009,Other Financing Sources (Uses),Discount on Issuance of Long-term Debt,-1168,1168
2009,Other Financing Sources (Uses),Premium on Issuance of Long-term Debt,6517,6517
2009,Other Financing Sources (Uses),Issuance of Refunding Bonds,253060,253060
2009,Other Financing Sources (Uses),Premium on Issuance of Refunding Bonds,221,221
2009,Other Financing Sources (Uses),Payment to Refunded Bond Escrow Agent,-239201,239201
2009,Other Financing Sources (Uses),Proceeds of Refunding Loan,0,0
2009,Other Financing Sources (Uses),Payment for Current Refunding of Loan,0,0
2009,Other Financing Sources (Uses),Loans from HUD,25408,25408
2009,Other Financing Sources (Uses),Transfers In,1088358,1088358
2009,Other Financing Sources (Uses),Transfers Out,-929208,929208
2009,Special Items,Loss on Loan Settlement,0,0
2009,Special Items,Transfer of Properties for Development from CRA,0,0
2009,Special Items,Transfer of Housing Loans from CRA,0,0
2010,Revenues,Taxes,3397650,3397650
2010,Revenues,Licenses and Permits,48186,48186
2010,Revenues,Intergovernmental ,876470,876470
2010,Revenues,Charges for Services,1419145,1419145
2010,Revenues,Fines,153707,153707
2010,Revenues,Special Assessments,105998,105998
2010,Revenues,Investment Earnings,104365,104365
2010,Revenues,Other,96255,96255
2010,Expenditures,General Government,-1357239,1357239
2010,Expenditures,Protection of Persons and Property,-2551225,2551225
2010,Expenditures,Public Works,-354567,354567
2010,Expenditures,Health and Sanitation,-449083,449083
2010,Expenditures,Transportation,-327328,327328
2010,Expenditures,Cultural and Recreational Services,-389371,389371
2010,Expenditures,Community Development,-383256,383256
2010,Expenditures,Capital Outlay,-491187,491187
2010,Expenditures,Debt Service-Principal,-366663,366663
2010,Expenditures,Debt Service-Interest,-181495,181495
2010,Expenditures,Debt Service-Cost of Issuance,-4954,4954
2010,Expenditures,Debt Service-Advance Refunding Loan Escrow,0,0
2010,Other Financing Sources (Uses),Issuance of Long-term Debt,545155,545155
2010,Other Financing Sources (Uses),Discount on Issuance of Long-term Debt,-370,370
2010,Other Financing Sources (Uses),Premium on Issuance of Long-term Debt,15479,15479
2010,Other Financing Sources (Uses),Issuance of Refunding Bonds,49485,49485
2010,Other Financing Sources (Uses),Premium on Issuance of Refunding Bonds,3824,3824
2010,Other Financing Sources (Uses),Payment to Refunded Bond Escrow Agent,-54463,54463
2010,Other Financing Sources (Uses),Proceeds of Refunding Loan,0,0
2010,Other Financing Sources (Uses),Payment for Current Refunding of Loan,0,0
2010,Other Financing Sources (Uses),Loans from HUD,63904,63904
2010,Other Financing Sources (Uses),Transfers In,1041071,1041071
2010,Other Financing Sources (Uses),Transfers Out,-820596,820596
2010,Special Items,Loss on Loan Settlement,0,0
2010,Special Items,Transfer of Properties for Development from CRA,0,0
2010,Special Items,Transfer of Housing Loans from CRA,0,0
2011,Revenues,Taxes,3435063,3435063
2011,Revenues,Licenses and Permits,51691,51691
2011,Revenues,Intergovernmental ,920809,920809
2011,Revenues,Charges for Services,1436977,1436977
2011,Revenues,Fines,158612,158612
2011,Revenues,Special Assessments,106514,106514
2011,Revenues,Investment Earnings,65978,65978
2011,Revenues,Other,142968,142968
2011,Expenditures,General Government,-1269321,1269321
2011,Expenditures,Protection of Persons and Property,-2477648,2477648
2011,Expenditures,Public Works,-347485,347485
2011,Expenditures,Health and Sanitation,-459785,459785
2011,Expenditures,Transportation,-321797,321797
2011,Expenditures,Cultural and Recreational Services,-389165,389165
2011,Expenditures,Community Development,-463920,463920
2011,Expenditures,Capital Outlay,-362867,362867
2011,Expenditures,Debt Service-Principal,-367206,367206
2011,Expenditures,Debt Service-Interest,-189902,189902
2011,Expenditures,Debt Service-Cost of Issuance,-2439,2439
2011,Expenditures,Debt Service-Advance Refunding Loan Escrow,0,0
2011,Other Financing Sources (Uses),Issuance of Long-term Debt,219186,219186
2011,Other Financing Sources (Uses),Discount on Issuance of Long-term Debt,0,0
2011,Other Financing Sources (Uses),Premium on Issuance of Long-term Debt,2216,2216
2011,Other Financing Sources (Uses),Issuance of Refunding Bonds,18705,18705
2011,Other Financing Sources (Uses),Premium on Issuance of Refunding Bonds,1198,1198
2011,Other Financing Sources (Uses),Payment to Refunded Bond Escrow Agent,0,0
2011,Other Financing Sources (Uses),Proceeds of Refunding Loan,1983,1983
2011,Other Financing Sources (Uses),Payment for Current Refunding of Loan,-1983,1983
2011,Other Financing Sources (Uses),Loans from HUD,7388,7388
2011,Other Financing Sources (Uses),Transfers In,1086218,1086218
2011,Other Financing Sources (Uses),Transfers Out,-827403,827403
2011,Special Items,Loss on Loan Settlement,-47007,47007
2011,Special Items,Transfer of Properties for Development from CRA,0,0
2011,Special Items,Transfer of Housing Loans from CRA,0,0
2012,Revenues,Taxes,3518357,3518357
2012,Revenues,Licenses and Permits,60474,60474
2012,Revenues,Intergovernmental ,937817,937817
2012,Revenues,Charges for Services,1533626,1533626
2012,Revenues,Fines,158417,158417
2012,Revenues,Special Assessments,123383,123383
2012,Revenues,Investment Earnings,72411,72411
2012,Revenues,Other,172269,172269
2012,Expenditures,General Government,-1296788,1296788
2012,Expenditures,Protection of Persons and Property,-2532262,2532262
2012,Expenditures,Public Works,-389139,389139
2012,Expenditures,Health and Sanitation,-453681,453681
2012,Expenditures,Transportation,-345671,345671
2012,Expenditures,Cultural and Recreational Services,-406338,406338
2012,Expenditures,Community Development,-465984,465984
2012,Expenditures,Capital Outlay,-523931,523931
2012,Expenditures,Debt Service-Principal,-410333,410333
2012,Expenditures,Debt Service-Interest,-182171,182171
2012,Expenditures,Debt Service-Cost of Issuance,-5342,5342
2012,Expenditures,Debt Service-Advance Refunding Loan Escrow,0,0
2012,Other Financing Sources (Uses),Issuance of Long-term Debt,318530,318530
2012,Other Financing Sources (Uses),Discount on Issuance of Long-term Debt,0,0
2012,Other Financing Sources (Uses),Premium on Issuance of Long-term Debt,24672,24672
2012,Other Financing Sources (Uses),Issuance of Refunding Bonds,595240,595240
2012,Other Financing Sources (Uses),Premium on Issuance of Refunding Bonds,100885,100885
2012,Other Financing Sources (Uses),Payment to Refunded Bond Escrow Agent,-694326,694326
2012,Other Financing Sources (Uses),Proceeds of Refunding Loan,0,0
2012,Other Financing Sources (Uses),Payment for Current Refunding of Loan,0,0
2012,Other Financing Sources (Uses),Loans from HUD,52521,52521
2012,Other Financing Sources (Uses),Transfers In,1004650,1004650
2012,Other Financing Sources (Uses),Transfers Out,-754573,754573
2012,Special Items,Loss on Loan Settlement,0,0
2012,Special Items,Transfer of Properties for Development from CRA,0,0
2012,Special Items,Transfer of Housing Loans from CRA,0,0
2013,Revenues,Taxes,3687676,3687676
2013,Revenues,Licenses and Permits,61605,61605
2013,Revenues,Intergovernmental ,866749,866749
2013,Revenues,Charges for Services,1577623,1577623
2013,Revenues,Fines,172437,172437
2013,Revenues,Special Assessments,128762,128762
2013,Revenues,Investment Earnings,5438,5438
2013,Revenues,Other,188800,188800
2013,Expenditures,General Government,-1261771,1261771
2013,Expenditures,Protection of Persons and Property,-2667236,2667236
2013,Expenditures,Public Works,-400017,400017
2013,Expenditures,Health and Sanitation,-438220,438220
2013,Expenditures,Transportation,-400047,400047
2013,Expenditures,Cultural and Recreational Services,-431062,431062
2013,Expenditures,Community Development,-417285,417285
2013,Expenditures,Capital Outlay,-352685,352685
2013,Expenditures,Debt Service-Principal,-326913,326913
2013,Expenditures,Debt Service-Interest,-168497,168497
2013,Expenditures,Debt Service-Cost of Issuance,-1777,1777
2013,Expenditures,Debt Service-Advance Refunding Loan Escrow,0,0
2013,Other Financing Sources (Uses),Issuance of Long-term Debt,116665,116665
2013,Other Financing Sources (Uses),Discount on Issuance of Long-term Debt,0,0
2013,Other Financing Sources (Uses),Premium on Issuance of Long-term Debt,5096,5096
2013,Other Financing Sources (Uses),Issuance of Refunding Bonds,78780,78780
2013,Other Financing Sources (Uses),Premium on Issuance of Refunding Bonds,9096,9096
2013,Other Financing Sources (Uses),Payment to Refunded Bond Escrow Agent,-94781,94781
2013,Other Financing Sources (Uses),Proceeds of Refunding Loan,0,0
2013,Other Financing Sources (Uses),Payment for Current Refunding of Loan,0,0
2013,Other Financing Sources (Uses),Loans from HUD,29003,29003
2013,Other Financing Sources (Uses),Transfers In,951062,951062
2013,Other Financing Sources (Uses),Transfers Out,-704528,704528
2013,Special Items,Loss on Loan Settlement,0,0
2013,Special Items,Transfer of Properties for Development from CRA,80484,80484
2013,Special Items,Transfer of Housing Loans from CRA,124781,124781
