Fiscal Year,Activity Type,Service,Department,Employees
2006,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Civilian,333
2006,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Sworn,3572
2006,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Civilian,3166
2006,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Sworn,9310
2006,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Accounting (5),
2006,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Board of Commissioners (5),160
2006,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Contract Administration,328
2006,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Engineering,1000
2006,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Management-Employee Services (5),
2006,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Lighting,227
2006,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Services,1363
2006,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Environmental Affairs (1),34
2006,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Public Works- Sanitation,2632
2006,GOVERNMENTAL ACTIVITIES,Transportation,Transportation,1559
2006,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Cultural Affairs,60
2006,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,El Pueblo de los Angeles Historical Monument,20
2006,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Library,781
2006,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Recreation and Parks,1929
2006,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Zoo,223
2006,GOVERNMENTAL ACTIVITIES,Community Development,Aging ,51
2006,GOVERNMENTAL ACTIVITIES,Community Development,"Commission for Children, Youth and Their Families (6)",60
2006,GOVERNMENTAL ACTIVITIES,Community Development,Community Development Department,291
2006,GOVERNMENTAL ACTIVITIES,Community Development,Disability ,22
2006,GOVERNMENTAL ACTIVITIES,Community Development,Los Angeles Housing,464
2006,GOVERNMENTAL ACTIVITIES,Community Development,Planning,280
2006,BUSINESS-TYPE ACTIVITIES,Airports (7),Airports (7),3454
2006,BUSINESS-TYPE ACTIVITIES,Harbor (7),Harbor (7),717
2006,BUSINESS-TYPE ACTIVITIES,Los Angeles Convention Center,Los Angeles Convention Center,154
2006,BUSINESS-TYPE ACTIVITIES,Water and Power,Water and Power,8119
2006,PENSION SYSTEMS,City Employees Retirement System,City Employees Retirement System,113
2006,PENSION SYSTEMS,Fire and Police Pension System,Fire and Police Pension System,88
2007,GOVERNMENTAL ACTIVITIES,General Government,City Administrative Officer,122
2007,GOVERNMENTAL ACTIVITIES,General Government,City Attorney,984
2007,GOVERNMENTAL ACTIVITIES,General Government,City Clerk (1),135
2007,GOVERNMENTAL ACTIVITIES,General Government,City Ethics Commission,28
2007,GOVERNMENTAL ACTIVITIES,General Government,Commission on the Status of Women (6),12
2007,GOVERNMENTAL ACTIVITIES,General Government,Controller,173
2007,GOVERNMENTAL ACTIVITIES,General Government,Council ,367
2007,GOVERNMENTAL ACTIVITIES,General Government,Employee Relations Board,3
2007,GOVERNMENTAL ACTIVITIES,General Government,General Services,2337
2007,GOVERNMENTAL ACTIVITIES,General Government,Human Relations Commission (6),16
2007,GOVERNMENTAL ACTIVITIES,General Government,Information Technology Agency,734
2007,GOVERNMENTAL ACTIVITIES,General Government,Mayor,154
2007,GOVERNMENTAL ACTIVITIES,General Government,Neighborhood Empowerment (2),47
2007,GOVERNMENTAL ACTIVITIES,General Government,Office of Finance (3),358
2007,GOVERNMENTAL ACTIVITIES,General Government,Personnel,492
2007,GOVERNMENTAL ACTIVITIES,General Government,Treasurer (3),38
2007,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Animal Services,352
2007,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Building & Safety,944
2007,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Emergency Preparedness/Management (4),17
2007,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Civilian,365
2007,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Sworn,3673
2007,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Civilian,3337
2007,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Sworn,9509
2007,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Accounting (5),
2007,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Board of Commissioners (5),161
2007,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Contract Administration,363
2007,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Engineering,998
2007,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Management-Employee Services (5),
2007,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Lighting,223
2007,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Services,1390
2007,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Environmental Affairs (1),31
2007,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Public Works- Sanitation,2691
2007,GOVERNMENTAL ACTIVITIES,Transportation,Transportation,1637
2007,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Cultural Affairs,66
2007,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,El Pueblo de los Angeles Historical Monument,17
2007,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Library,819
2007,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Recreation and Parks,2070
2007,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Zoo,237
2007,GOVERNMENTAL ACTIVITIES,Community Development,Aging ,50
2007,GOVERNMENTAL ACTIVITIES,Community Development,"Commission for Children, Youth and Their Families (6)",53
2007,GOVERNMENTAL ACTIVITIES,Community Development,Community Development Department,265
2007,GOVERNMENTAL ACTIVITIES,Community Development,Disability ,22
2007,GOVERNMENTAL ACTIVITIES,Community Development,Los Angeles Housing,528
2007,GOVERNMENTAL ACTIVITIES,Community Development,Planning,283
2007,BUSINESS-TYPE ACTIVITIES,Airports (7),Airports (7),3630
2007,BUSINESS-TYPE ACTIVITIES,Harbor (7),Harbor (7),806
2007,BUSINESS-TYPE ACTIVITIES,Los Angeles Convention Center,Los Angeles Convention Center,155
2007,BUSINESS-TYPE ACTIVITIES,Water and Power,Water and Power,8241
2007,PENSION SYSTEMS,City Employees Retirement System,City Employees Retirement System,125
2007,PENSION SYSTEMS,Fire and Police Pension System,Fire and Police Pension System,97
2008,GOVERNMENTAL ACTIVITIES,General Government,City Administrative Officer,128
2008,GOVERNMENTAL ACTIVITIES,General Government,City Attorney,978
2008,GOVERNMENTAL ACTIVITIES,General Government,City Clerk (1),146
2008,GOVERNMENTAL ACTIVITIES,General Government,City Ethics Commission,26
2008,GOVERNMENTAL ACTIVITIES,General Government,Commission on the Status of Women (6),9
2008,GOVERNMENTAL ACTIVITIES,General Government,Controller,185
2008,GOVERNMENTAL ACTIVITIES,General Government,Council ,355
2008,GOVERNMENTAL ACTIVITIES,General Government,Employee Relations Board,3
2008,GOVERNMENTAL ACTIVITIES,General Government,General Services,2302
2008,GOVERNMENTAL ACTIVITIES,General Government,Human Relations Commission (6),15
2008,GOVERNMENTAL ACTIVITIES,General Government,Information Technology Agency,728
2008,GOVERNMENTAL ACTIVITIES,General Government,Mayor,163
2008,GOVERNMENTAL ACTIVITIES,General Government,Neighborhood Empowerment (2),42
2008,GOVERNMENTAL ACTIVITIES,General Government,Office of Finance (3),353
2008,GOVERNMENTAL ACTIVITIES,General Government,Personnel,495
2008,GOVERNMENTAL ACTIVITIES,General Government,Treasurer (3),38
2008,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Animal Services,379
2008,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Building & Safety,992
2008,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Emergency Preparedness/Management (4),23
2008,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Civilian,366
2008,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Sworn,3730
2008,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Civilian,3278
2008,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Sworn,9704
2008,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Accounting (5),
2008,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Board of Commissioners (5),155
2008,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Contract Administration,371
2008,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Engineering,971
2008,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Management-Employee Services (5),
2008,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Lighting,210
2008,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Services,1350
2008,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Environmental Affairs (1),31
2008,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Public Works- Sanitation,2684
2008,GOVERNMENTAL ACTIVITIES,Transportation,Transportation,1572
2008,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Cultural Affairs,67
2008,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,El Pueblo de los Angeles Historical Monument,19
2008,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Library,828
2008,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Recreation and Parks,1980
2008,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Zoo,220
2008,GOVERNMENTAL ACTIVITIES,Community Development,Aging ,49
2008,GOVERNMENTAL ACTIVITIES,Community Development,"Commission for Children, Youth and Their Families (6)",53
2008,GOVERNMENTAL ACTIVITIES,Community Development,Community Development Department,254
2008,GOVERNMENTAL ACTIVITIES,Community Development,Disability ,20
2008,GOVERNMENTAL ACTIVITIES,Community Development,Los Angeles Housing,528
2008,GOVERNMENTAL ACTIVITIES,Community Development,Planning,300
2008,BUSINESS-TYPE ACTIVITIES,Airports (7),Airports (7),3804
2008,BUSINESS-TYPE ACTIVITIES,Harbor (7),Harbor (7),935
2008,BUSINESS-TYPE ACTIVITIES,Los Angeles Convention Center,Los Angeles Convention Center,156
2008,BUSINESS-TYPE ACTIVITIES,Water and Power,Water and Power,8592
2008,PENSION SYSTEMS,City Employees Retirement System,City Employees Retirement System,131
2008,PENSION SYSTEMS,Fire and Police Pension System,Fire and Police Pension System,103
2009,GOVERNMENTAL ACTIVITIES,General Government,City Administrative Officer,128
2009,GOVERNMENTAL ACTIVITIES,General Government,City Attorney,986
2009,GOVERNMENTAL ACTIVITIES,General Government,City Clerk (1),140
2009,GOVERNMENTAL ACTIVITIES,General Government,City Ethics Commission,26
2009,GOVERNMENTAL ACTIVITIES,General Government,Commission on the Status of Women (6),2
2009,GOVERNMENTAL ACTIVITIES,General Government,Controller,184
2009,GOVERNMENTAL ACTIVITIES,General Government,Council ,350
2009,GOVERNMENTAL ACTIVITIES,General Government,Employee Relations Board,4
2009,GOVERNMENTAL ACTIVITIES,General Government,General Services,2273
2009,GOVERNMENTAL ACTIVITIES,General Government,Human Relations Commission (6),10
2009,GOVERNMENTAL ACTIVITIES,General Government,Information Technology Agency,714
2009,GOVERNMENTAL ACTIVITIES,General Government,Mayor,189
2009,GOVERNMENTAL ACTIVITIES,General Government,Neighborhood Empowerment (2),42
2009,GOVERNMENTAL ACTIVITIES,General Government,Office of Finance (3),372
2009,GOVERNMENTAL ACTIVITIES,General Government,Personnel,477
2009,GOVERNMENTAL ACTIVITIES,General Government,Treasurer (3),39
2009,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Animal Services,366
2009,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Building & Safety,958
2009,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Emergency Preparedness/Management (4),27
2009,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Civilian,362
2009,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Sworn,3708
2009,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Civilian,3256
2009,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Sworn,9973
2009,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Accounting (5),
2009,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Board of Commissioners (5),131
2009,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Contract Administration,358
2009,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Engineering,932
2009,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Management-Employee Services (5),
2009,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Lighting,215
2009,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Services,1327
2009,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Environmental Affairs (1),28
2009,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Public Works- Sanitation,2701
2009,GOVERNMENTAL ACTIVITIES,Transportation,Transportation,1597
2009,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Cultural Affairs,57
2009,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,El Pueblo de los Angeles Historical Monument,18
2009,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Library,833
2009,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Recreation and Parks,1904
2009,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Zoo,211
2009,GOVERNMENTAL ACTIVITIES,Community Development,Aging ,45
2009,GOVERNMENTAL ACTIVITIES,Community Development,"Commission for Children, Youth and Their Families (6)",53
2009,GOVERNMENTAL ACTIVITIES,Community Development,Community Development Department,236
2009,GOVERNMENTAL ACTIVITIES,Community Development,Disability ,19
2009,GOVERNMENTAL ACTIVITIES,Community Development,Los Angeles Housing,526
2009,GOVERNMENTAL ACTIVITIES,Community Development,Planning,297
2009,BUSINESS-TYPE ACTIVITIES,Airports (7),Airports (7),3747
2009,BUSINESS-TYPE ACTIVITIES,Harbor (7),Harbor (7),971
2009,BUSINESS-TYPE ACTIVITIES,Los Angeles Convention Center,Los Angeles Convention Center,150
2009,BUSINESS-TYPE ACTIVITIES,Water and Power,Water and Power,9210
2009,PENSION SYSTEMS,City Employees Retirement System,City Employees Retirement System,134
2009,PENSION SYSTEMS,Fire and Police Pension System,Fire and Police Pension System,105
2010,GOVERNMENTAL ACTIVITIES,General Government,City Administrative Officer,107
2010,GOVERNMENTAL ACTIVITIES,General Government,City Attorney,885
2010,GOVERNMENTAL ACTIVITIES,General Government,City Clerk (1),99
2010,GOVERNMENTAL ACTIVITIES,General Government,City Ethics Commission,22
2010,GOVERNMENTAL ACTIVITIES,General Government,Commission on the Status of Women (6),
2010,GOVERNMENTAL ACTIVITIES,General Government,Controller,156
2010,GOVERNMENTAL ACTIVITIES,General Government,Council ,338
2010,GOVERNMENTAL ACTIVITIES,General Government,Employee Relations Board,3
2010,GOVERNMENTAL ACTIVITIES,General Government,General Services,1881
2010,GOVERNMENTAL ACTIVITIES,General Government,Human Relations Commission (6),
2010,GOVERNMENTAL ACTIVITIES,General Government,Information Technology Agency,582
2010,GOVERNMENTAL ACTIVITIES,General Government,Mayor,195
2010,GOVERNMENTAL ACTIVITIES,General Government,Neighborhood Empowerment (2),19
2010,GOVERNMENTAL ACTIVITIES,General Government,Office of Finance (3),324
2010,GOVERNMENTAL ACTIVITIES,General Government,Personnel,384
2010,GOVERNMENTAL ACTIVITIES,General Government,Treasurer (3),34
2010,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Animal Services,343
2010,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Building & Safety,782
2010,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Emergency Preparedness/Management (4),21
2010,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Civilian,298
2010,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Sworn,3562
2010,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Civilian,2877
2010,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Sworn,9878
2010,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Accounting (5),
2010,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Board of Commissioners (5),94
2010,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Contract Administration,306
2010,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Engineering,738
2010,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Management-Employee Services (5),
2010,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Lighting,198
2010,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Services,1073
2010,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Environmental Affairs (1),19
2010,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Public Works- Sanitation,2427
2010,GOVERNMENTAL ACTIVITIES,Transportation,Transportation,1414
2010,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Cultural Affairs,45
2010,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,El Pueblo de los Angeles Historical Monument,15
2010,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Library,699
2010,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Recreation and Parks,1587
2010,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Zoo,186
2010,GOVERNMENTAL ACTIVITIES,Community Development,Aging ,42
2010,GOVERNMENTAL ACTIVITIES,Community Development,"Commission for Children, Youth and Their Families (6)",
2010,GOVERNMENTAL ACTIVITIES,Community Development,Community Development Department,270
2010,GOVERNMENTAL ACTIVITIES,Community Development,Disability ,16
2010,GOVERNMENTAL ACTIVITIES,Community Development,Los Angeles Housing,528
2010,GOVERNMENTAL ACTIVITIES,Community Development,Planning,242
2010,BUSINESS-TYPE ACTIVITIES,Airports (7),Airports (7),3535
2010,BUSINESS-TYPE ACTIVITIES,Harbor (7),Harbor (7),948
2010,BUSINESS-TYPE ACTIVITIES,Los Angeles Convention Center,Los Angeles Convention Center,111
2010,BUSINESS-TYPE ACTIVITIES,Water and Power,Water and Power,9200
2010,PENSION SYSTEMS,City Employees Retirement System,City Employees Retirement System,126
2010,PENSION SYSTEMS,Fire and Police Pension System,Fire and Police Pension System,98
