Department,Name,Zip Code,Department Number,Building Number,Square Footage,Facility,Council District,dept_name,Location 1
RAP,Pacific Region Headquarters Service Yard,90732,50,690,0,REC & PARKS SERVICE,15,R&P,
RAP,Harbor Golf Maintenance Yard,90744,50,284,0,NAL PARK,15,R&P,
RAP,West Region Headquarters Service Yard,90064,50,112,0,PACIFIC REGION WEST AREA HEADQUARTERS,5,R&P,
RAP,Hollenbeck District Service Yard,90033,50,64,0,HOLLENBECK SERVICE YARD,14,R&P,
RAP,Griffith Observatory Service Yard,90027,50,272,0,GRIFFITH PARK OBSERVATORY,4,R&P,
RAP,Point Fermin Maintenance District Service Yard,90731,50,13,0,ANGELS GATE PARK,15,R&P,
RAP,Cabrillo Marine Aquarium Service Yard,90731,50,80,0,CABRILLO BEACH REC COMPLEX,15,R&P,
RAP,Central Service Yard,90039,50,96,45000,,,,
RAP,Metro Green Machine Service Yard,90039,50,96,0,NORTH ATWATER PARK,4,R&P,
RAP,Central District Service Yard,90019,50,878,,,10,,
RAP,Park Center District Service Yard,90027,50,272,0,GRIFFITH PARK,4,R&P,
RAP,Fern Dell Service Yard,90068,50,273,0,GRIFFITH PARK,1,R&P,
RAP,Rancho Cienega District Service Yard,90016,50,884,,,10,,
RAP,Valley Region Headquarters Service Yard,91436,50,908,6200,,,,"6335 Woodley Ave
"
RAP,Sepulveda District Service Yard,91436,63,908,6200,VALLEY REGION HEADQUARTRS BLDG,6,R&P,
RAP,Arroyo Seco District Service Yard,90042,50,885,,,,,
RAP,St. Andrew Recreation Center Service Yard,90047,50,616,0,ST. ANDREWS RECREATION CENTER,8,R&P,
RAP,Algin Sutton Maintenance District Service Yard,90044,50,412,0,ALGIN SUTTON RECREATION CENTER,8,R&P,
RAP,Northridge District Service Yard,91326,50,548,0,PORTER RANCH PARK,12,R&P,
RAP,North Hollywood District Service Yard,91601,50,448,0,REC & PARKS SERVICE,4,R&P,"11455 Magnolia Blvd
"
RAP,Hansen Dam District Service Yard,91040,25,275,0,HANSEN DAM REC CENTER,7,R&P,
RAP,Valley Plaza District Service Yard,91606,50,252,0,REC & PARKS SERVICE,0,R&P,
RAP,Valley West District Service Yard,91304,50,398,0,REC & PARKS SERVICE,0,R&P,"23600 Roscoe Blvd
"
RAP,Westwood District,90025,50,881,,,11,,
RAP,Hollenbeck Park Service Yard,90033,50,320,,HOLLENBECK PARK,,,"415 S St Louis St
"
RAP,Pacific Area Armand Hammer Golf Course Holmby Pa,90025,50,328,0,HOLMBY GOLF AND BOWLING GREENS,11,R&P,
RAP,Pacific Palisades Yard,90272,50,488,0,PALISADES PARK & REC CENTER,11,R&P,
RAP,Echo Park Service Yard,90026,50,882,,,1,,"1023 Glendale Blvd
"
RAP,Pacific Area Penmar Golf Course,90291,50,524,0,PENMAR GOLF,6,R&P,
RAP,Roosevelt Golf Course,90027,50,279,,VERMONT PARKWAY,4,R&P,"2650 N Vermont Ave
"
RAP,McArthur District Service Yard,90027,51,279,0,VERMONT PARKWAY,4,R&P,"2650 Commonwealth St
"
RAP,Los Feliz Golf Course,90039,50,272,0,GRIFFITH PARK REC & PARKS SERVICE,5,R&P,"3207 Los Feliz Blvd
"
RAP,Meto Green Machine at CSY,90039,50,96,,,,,
RAP,Tregnan Golf Academy,90027,50,285,0,GRIFIFTH PARK,4,R&P,"4341 Griffith Park Dr
"
RAP,Glen Alla Park,90291,50,418,0,GLEN-ALLA PARK,6,R&P,
RAP,Sycamore Grove Service Yard,90042,50,700,0,SYCAMORE GROVE PARK,14,R&P,"4702 N Figueroa St
"
RAP,Griffith Area Wilson/Harding Golf Courses,90027,50,272,0,GRIFFITH PARK,4,R&P,
RAP,Park Center District,90027,50,883,,,4,,
RAP,Woodley Lakes Golf Course,91406,63,908,0,VALLEY REGION HEADQUARTRS BLDG,6,R&P,"6331 Woodley Ave
"
RAP,Del Rey Lagoon,90291,50,156,0,DEL REY LAGOON,11,R&P,
RAP,Westchester Park,90049,50,796,0,WESTCHESTER RECREATION CENTER,11,R&P,
RAP,Hansen Dam Golf Course,91331,50,276,0,HANSEN DAM GOLF COURSE/PARK,7,R&P,
RAP,Mar Vista,90066,50,420,0,MAR VISTA RECREATION CENTER,11,R&P,"11430 Woodbine Ave
"
RAP,Encino/Balboa Golf Courses,91436,50,640,0,ENCINO/BALBOA GOLF COURSE,3,R&P,"16821 Burbank Blvd
"
RAP,Ken Malloy Harbor Regional Park,90710,50,284,0,HARBOR PARK MAINTENANCE YARD,15,R&P,"25820 S Vermont Ave
"
