LOCATION TYPE,FACILITY TITLE,ADDRESS,PHONE,HOURS OPEN TO PUBLIC,HOURS CLOSED,SERVICE DESCRIPTION
NON-PROFIT FSC,NEW ECONOMICS FOR WOMEN,"6931 VAN NUYS BLVD.
VAN NUYS, CA 91405
(34.196500966000485, -118.44878300199969)",(818) 786-4098,"9AM-7PM MON&WED; 9AM-8PM TUES, THURS;9AM-5:30PM FRI",,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,CENTRAL CITY NEIGHBORHOOD PARTNERS,"501 S. BIXEL ST.
LOS ANGELES, CA 90017
(34.05478636300046, -118.2615657509997)",(213) 482-8618,"9AM-1PM & 3PM-7PM MON, WED, THURS; 9AM-1PM & 3PM-4:30PM TUES; By Appt only FRI",SEE HOURS OPEN,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,COALITION OF MENTAL HEALTH PROFESSIONALS,"9219 S. BROADWAY AVE.
LOS ANGELES, CA 90003
(33.95240955300045, -118.27837015499972)",(323) 777-3120,"8:30AM-7:30PM MON-FRI, 9AM-1PM SAT",,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,COMMUNITY BUILD,"8730 S. VERMONT AVE.
LOS ANGELES, CA 90044
(33.95838016200048, -118.2914957809997)",(323) 789-9950,9AM-5PM MON-FRI,,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,WATTS LABOR COMMUNITY ACTION COMMITTEE,"2224 E. 114TH ST.
LOS ANGELES, CA 90059
(33.93145692200045, -118.23328863399968)",(323) 249-7751,8AM-4:30PM MON-FRI,"12:30PM-
1:30PM","Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,EL NIDO FAMILY CENTERS,"13460 VAN NUYS BLVD.
PACOIMA, CA 91331
(34.26276749700048, -118.42662269899972)",(818) 896-7776,8AM-6PM MON-FRI,,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,THE CHILDREN'S COLLECTIVE,"255 E. 28TH ST.
LOS ANGELES, CA 90011
(34.02211679400045, -118.26701758899969)",(213) 747-4046,8:30AM-5PM MON-FRI,,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,TOBERMAN NEIGHBORHOOD CENTER,"131 N. GRAND AVE.
SAN PEDRO, CA 90731
(33.74392030800044, -118.2901727949997)",(310) 832-1145,9AM-8PM MON; 9AM-6PM TUES-FRI,,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
CITY OWNED/RUN FSC,LUCILLE BESERRA ROYBAL FAMILYSOURCE CENTER,"2130 E. FIRST ST.
LOS ANGELES, CA 90033
(34.044593611000494, -118.21313208099969)",(323) 526-9301,"8AM-4:30PM MON, WED, THURS; 8AM - 7PM TUES;8AM -3:30PM FRI",,"Family support services, including:  Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
HOUSING REGIONAL OFFICE,HCIDLA CENTRAL REGIONAL OFFICE,"3550 WILSHIRE BLVD.
LOS ANGELES, CA 90010
(34.061703314000454, -118.30220994999968)",(866) 557-7368,9AM-4PM MON-FRI,,"The Central Regional Office administers the Rent Stabilization Program, Code Enforcement, Billing and Collections, the Rent Escrow Account Program (REAP), and the Utility Maintenance Program (UMP). Property owners may register rental properties, file applications, verify property registration and pay registration. Tenants may file complaints for Code and Rent Stabilization Ordinance (RSO) violations. Constituents may  obtain a variety of information regarding HCIDLA programs, as well as referrals on related housing matters. SCEP:The Systematic Code Enforcement Program which provides systematic and complaint-based habitability inspections of the City's multifamily residential rental properties (two or more rental units) for conformance with the City's Housing Code.  The program's objective is to protect the basic need of safe housing and neighborhoods for the City's rental population by preventing the development of substandard, slum and dilapidated buildings and unsafe and unsanitary living conditions. Billing:The Department issues bills, processes payments and reviews exemption requests for SCEP, Rent Registration and other HCIDLA bills including the Annual Bill issued in January. The Department also to issues rent registration certificates to rental properties that have paid their rent registration fees. Rent Escrow Account Program (REAP): REAP enforces compliance with the Housing code, and encourages property owners to maintain their properties by entitling tenants of units with unresolved violations to reduced rent rates, and providing them the option to deposit their reduced rents into a City-managed escrow account.  These funds can be withdrawn for different purposes authorized by the Ordinance.  UMP: UMP is an enforcement program that allows tenants to continue to receive essential utility services. Through UMP, the Department of Water and Power (DWP) and the Gas Company refer delinquent master-metered properties subject to rent stabilization to HCIDLA to establish escrow accounts for tenants to voluntarily deposit their rent.  HCIDLA is then able to release these funds to maintain utility services for the affected tenants."
HOUSING REGIONAL OFFICE,HCIDLA EAST REGIONAL OFFICE,"2215 N. BROADWAY AVE.
LOS ANGELES, CA 90031
(34.07364808500046, -118.21735884899971)",(866) 557-7368,9AM-4PM MON-FRI,,"The East Regional Office administers the Rent Stabilization Program, Code Enforcement, Billing and Collections, the Rent Escrow Account Program (REAP), and the Utility Maintenance Program (UMP). Property owners may register rental properties, file applications, verify property registration and pay registration. Tenants may file complaints for Code and Rent Stabilization Ordinance (RSO) violations. Constituents may  obtain a variety of information regarding HCIDLA programs, as well as referrals on related housing matters.  SCEP:The Systematic Code Enforcement Program which provides systematic and complaint-based habitability inspections of the City's multifamily residential rental properties (two or more rental units) for conformance with the City's Housing Code.  The program's objective is to protect the basic need of safe housing and neighborhoods for the City's rental population by preventing the development of substandard, slum and dilapidated buildings and unsafe and unsanitary living conditions.  Billing:The Department issues bills, processes payments and reviews exemption requests for SCEP, Rent Registration and other HCIDLA bills including the Annual Bill issued in January. The Department also to issues rent registration certificates to rental properties that have paid their rent registration fees.  Rent Escrow Account Program (REAP): REAP enforces compliance with the Housing code, and encourages property owners to maintain their properties by entitling tenants of units with unresolved violations to reduced rent rates, and providing them the option to deposit their reduced rents into a City-managed escrow account.  These funds can be withdrawn for different purposes authorized by the Ordinance.  UMP: UMP is an enforcement program that allows tenants to continue to receive essential utility services. Through UMP, the Department of Water and Power (DWP) and the Gas Company refer delinquent master-metered properties subject to rent stabilization to HCIDLA to establish escrow accounts for tenants to voluntarily deposit their rent.  HCIDLA is then able to release these funds to maintain utility services for the affected tenants.  "
HOUSING MAIN OFFICE,HCIDLA MAIN OFFICE,"1200 W. 7TH ST.
LOS ANGELES, CA 90017
(34.05151502400048, -118.26596109499968)",(866) 557-7368,9AM-4PM MON-FRI,,"The Main Office is the headquarters of all of HCIDLA's housing and community investment programs, namely housing development, regulatory compliance and code, program operations, strategic planning and policy, and administration.  It also maintains a Public Information Counter that is staffed each business day from 9:00 a.m. to  4:00 p.m..  Property owners may register rental properties, file applications, verify property registration and pay registration. Tenants may file complaints for Code and Rent Stabilization Ordinance (RSO) violations. Constituents may  obtain a variety of information regarding HCIDLA programs, as well as referrals on related housing matters. SCEP:The Systematic Code Enforcement Program which provides systematic and complaint-based habitability inspections of the City's multifamily residential rental properties (two or more rental units) for conformance with the City's Housing Code.  The program's objective is to protect the basic need of safe housing and neighborhoods for the City's rental population by preventing the development of substandard, slum and dilapidated buildings and unsafe and unsanitary living conditions. Billing:The Department issues bills, processes payments and reviews exemption requests for SCEP, Rent Registration and other HCIDLA bills including the Annual Bill issued in January. The Department also to issues rent registration certificates to rental properties that have paid their rent registration fees.  Rent Escrow Account Program (REAP): REAP enforces compliance with the Housing code, and encourages property owners to maintain their properties by entitling tenants of units with unresolved violations to reduced rent rates, and providing them the option to deposit their reduced rents into a City-managed escrow account.  These funds can be withdrawn for different purposes authorized by the Ordinance.  UMP: UMP is an enforcement program that allows tenants to continue to receive essential utility services. Through UMP, the Department of Water and Power (DWP) and the Gas Company refer delinquent master-metered properties subject to rent stabilization to HCIDLA to establish escrow accounts for tenants to voluntarily deposit their rent.  HCIDLA is then able to release these funds to maintain utility services for the affected tenants.  Our Family Source Centers offer several support services, including income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
HOUSING REGIONAL OFFICE,MARK RIDLEY THOMAS CONSITUENT SERVICE CENTER,"8475 S. VERMONT AVE.
LOS ANGELES, CA 90044
(33.96121829300046, -118.29189489299972)",(866) 557-7368, 9AM-12PM AND 1PM-4PM TUES&THURS,"TUES&THURS 12PM-1PM, CLOSED MON, WED, FRI","The Mark Ridley Thomas Constituent Service Center administers the Rent Stabilization Program, Code Enforcement, Billing and Collections, the Rent Escrow Account Program (REAP), and the Utility Maintenance Program (UMP). Property owners may register rental properties, file applications, verify property registration and pay registration. Tenants may file complaints for Code and Rent Stabilization Ordinance (RSO) violations. Constituents may  obtain a variety of information regarding HCIDLA programs, as well as referrals on related housing matters.  SCEP: The Systematic Code Enforcement Program which provides systematic and complaint-based habitability inspections of the City's multifamily residential rental properties (two or more rental units) for conformance with the City's Housing Code.  The program's obective is to protect the basic need of safe housing and neighborhoods for the City's rental population by preventing the development of substandard, slum and dilapidated buildings and unsafe and unsanitary living conditions. Billing: The Department issues bills, processes payments and reviews exemption requests for SCEP, Rent Registration and other HCIDLA bills including the Annual Bill issued in January. The Department also to issues rent registration certificates to rental properties that have paid their rent registration fees.  Rent Escrow Account Program (REAP): REAP enforces compliance with the Housing code, and encourages property owners to maintain their properties by entitling tenants of units with unresolved violations to reduced rent rates, and providing them the option to deposit their reduced rents into a City-managed escrow account.  These funds can be withdrawn for different purposes authorized by the Ordinance. UMP: UMP is an enforcement program that allows tenants to continue to receive essential utility services. Through UMP, the Department of Water and Power (DWP) and the Gas Company refer delinquent master-metered properties subject to rent stabilization to HCIDLA to establish escrow accounts for tenants to voluntarily deposit their rent.  HCIDLA is then able to release these funds to maintain utility services for the affected tenants."
HOUSING REGIONAL OFFICE,HCIDLA NORTH REGIONAL OFFICE,"6640 VAN NUYS BLVD.
VAN NUYS, CA 91405
(34.19164133400045, -118.44870601499969)",(866) 557-7368,9AM-4PM MON-FRI,,"The North Regional Office administers the Rent Stabilization Program, Code Enforcement, Billing and Collections, the Rent Escrow Account Program (REAP), and the Utility Maintenance Program (UMP).  Property owners may register rental properties, file applications, verify property registration and pay registration. Tenants may file complaints for Code and Rent Stabilization Ordinance (RSO) violations. Constituents may  obtain a variety of information regarding HCIDLA programs, as well as referrals on related housing matters. SCEP:The Systematic Code Enforcement Program which provides systematic and complaint-based habitability inspections of the City's multifamily residential rental properties (two or more rental units) for conformance with the City's Housing Code.  The program's objective is to protect the basic need of safe housing and neighborhoods for the City's rental population by preventing the development of substandard, slum and dilapidated buildings and unsafe and unsanitary living conditions. Billing:The Department issues bills, processes payments and reviews exemption requests for SCEP, Rent Registration and other HCIDLA bills including the Annual Bill issued in January. The Department also to issues rent registration certificates to rental properties that have paid their rent registration fees.  Rent Escrow Account Program (REAP): REAP enforces compliance with the Housing code, and encourages property owners to maintain their properties by entitling tenants of units with unresolved violations to reduced rent rates, and providing them the option to deposit their reduced rents into a City-managed escrow account.  These funds can be withdrawn for different purposes authorized by the Ordinance.  UMP: UMP is an enforcement program that allows tenants to continue to receive essential utility services. Through UMP, the Department of Water and Power (DWP) and the Gas Company refer delinquent master-metered properties subject to rent stabilization to HCIDLA to establish escrow accounts for tenants to voluntarily deposit their rent.  HCIDLA is then able to release these funds to maintain utility services for the affected tenants. "
HOUSING REGIONAL OFFICE,HCIDLA SOUTH REGIONAL OFFICE,"690 KNOX ST.
TORRANCE, CA 90502
(33.854212163000454, -118.2874459679997)",(866) 557-7368,9AM-4PM MON-FRI,,"The South Regional Office administers the Rent Stabilization Program, Code Enforcement, Billing and Collections, the Rent Escrow Account Program (REAP), and the Utility Maintenance Program (UMP).  Property owners may register rental properties, file applications, verify property registration and pay registration. Tenants may file complaints for Code and Rent Stabilization Ordinance (RSO) violations. Constituents may  obtain a variety of information regarding HCIDLA programs, as well as referrals on related housing matters. SCEP:The Systematic Code Enforcement Program which provides systematic and complaint-based habitability inspections of the City's multifamily residential rental properties (two or more rental units) for conformance with the City's Housing Code.  The program's objective is to protect the basic need of safe housing and neighborhoods for the City's rental population by preventing the development of substandard, slum and dilapidated buildings and unsafe and unsanitary living conditions. Billing:The Department issues bills, processes payments and reviews exemption requests for SCEP, Rent Registration and other HCIDLA bills including the Annual Bill issued in January. The Department also to issues rent registration certificates to rental properties that have paid their rent registration fees.  Rent Escrow Account Program (REAP): REAP enforces compliance with the Housing code, and encourages property owners to maintain their properties by entitling tenants of units with unresolved violations to reduced rent rates, and providing them the option to deposit their reduced rents into a City-managed escrow account.  These funds can be withdrawn for different purposes authorized by the Ordinance.  UMP: UMP is an enforcement program that allows tenants to continue to receive essential utility services. Through UMP, the Department of Water and Power (DWP) and the Gas Company refer delinquent master-metered properties subject to rent stabilization to HCIDLA to establish escrow accounts for tenants to voluntarily deposit their rent.  HCIDLA is then able to release these funds to maintain utility services for the affected tenants."
HOUSING REGIONAL OFFICE,HCIDLA WEST REGIONAL OFFICE,"1645 S. CORINTH AVE.
LOS ANGELES, CA 90025
(34.045251866000456, -118.44880313699969)",(866) 557-7368,9AM-4PM MON-FRI,,"The West Regional Office administers the Rent Stabilization Program, Code Enforcement, Billing and Collections, the Rent Escrow Account Program (REAP), and the Utility Maintenance Program (UMP). Property owners may register rental properties, file applications, verify property registration and pay registration. Tenants may file complaints for Code and Rent Stabilization Ordinance (RSO) violations. Constituents may  obtain a variety of information regarding HCIDLA programs, as well as referrals on related housing matters. SCEP:The Systematic Code Enforcement Program which provides systematic and complaint-based habitability inspections of the City's multifamily residential rental properties (two or more rental units) for conformance with the City's Housing Code.  The program's objective is to protect the basic need of safe housing and neighborhoods for the City's rental population by preventing the development of substandard, slum and dilapidated buildings and unsafe and unsanitary living conditions. Billing:The Department issues bills, processes payments and reviews exemption requests for SCEP, Rent Registration and other HCIDLA bills including the Annual Bill issued in January. The Department also to issues rent registration certificates to rental properties that have paid their rent registration fees.  Rent Escrow Account Program (REAP): REAP enforces compliance with the Housing code, and encourages property owners to maintain their properties by entitling tenants of units with unresolved violations to reduced rent rates, and providing them the option to deposit their reduced rents into a City-managed escrow account.  These funds can be withdrawn for different purposes authorized by the Ordinance. UMP: UMP is an enforcement program that allows tenants to continue to receive essential utility services. Through UMP, the Department of Water and Power (DWP) and the Gas Company refer delinquent master-metered properties subject to rent stabilization to HCIDLA to establish escrow accounts for tenants to voluntarily deposit their rent.  HCIDLA is then able to release these funds to maintain utility services for the affected tenants.    "
