Fiscal Year,Function/Program,Asset,Amount
2004,General Government,Public office buildings,16
2004,Protection of Persons and Property,Animal shelters,6
2004,Protection of Persons and Property,Fire stations,103
2004,Protection of Persons and Property,Fire trucks,360
2004,Protection of Persons and Property,Patrol units,1276
2004,Protection of Persons and Property,Police stations,20
2004,Protection of Persons and Property,Police training centers,3
2004,Public Works,Bridges,533
2004,Public Works,Streets (miles),7221
2004,Health and Sanitation,Refuse collection trucks,734
2004,Health and Sanitation,Refuse yards,7
2004,Transportation,Automated traffic signal and control systems,42
2004,Transportation,Bike paths,14
2004,Transportation,Commuter buses,513
2004,Transportation,Traffic signals,3403
2004,Cultural and Recreational Services,Acres of beach land,232
2004,Cultural and Recreational Services,Acres park land (incl. beaches),15553
2004,Cultural and Recreational Services,Archery ranges,3
2004,Cultural and Recreational Services,Baseball/softball diamonds,251
2004,Cultural and Recreational Services,Children's play areas,372
2004,Cultural and Recreational Services,Dog parks,8
2004,Cultural and Recreational Services,Golf courses,13
2004,Cultural and Recreational Services,Hiking trails (miles),92
2004,Cultural and Recreational Services,Historical sites,11
2004,Cultural and Recreational Services,Horticulture centers,6
2004,Cultural and Recreational Services,Indoor gyms,95
2004,Cultural and Recreational Services,Lakes,9
2004,Cultural and Recreational Services,Libraries,71
2004,Cultural and Recreational Services,Licensed child-care centers,23
2004,Cultural and Recreational Services,Museums,7
2004,Cultural and Recreational Services,Park sites,394
2004,Cultural and Recreational Services,Pools,59
2004,Cultural and Recreational Services,Recreational centers,176
2004,Cultural and Recreational Services,Regional parks,5
2004,Cultural and Recreational Services,Residential camps,7
2004,Cultural and Recreational Services,Senior citizen centers,27
2004,Cultural and Recreational Services,Skate parks ,7
2004,Cultural and Recreational Services,Tennis courts,287
2004,Cultural and Recreational Services,Therapeutic centers,3
2004,General Government,Fiber optic cabling (fiber miles)(1),9843
2004,Cultural and Recreational Services,Wedding sites,12
2004,Airports,Number of airports,4
2004,Harbor,Number of major container terminals,8
2004,Harbor,Number of cargo terminals,26
2004,Power,Number of generating units(2),60
2004,Power,Transmission lines (miles),3631
2004,Power,Overhead distribution lines (miles),6949
2004,Power,Underground distribution lines (miles),6257
2004,Water ,Aqueduct (miles),571
2004,Water ,Number of storage reservoirs and tanks,109
2004,Water ,Distribution pipe (miles),7108
2004,Water ,Service connections,706789
2004,Wastewater,Sanitary sewers (miles),6500
