LocationType,Location Name,StNumber,StNumberFraction,StDirection,StName,StSuffix,StSuffixDirection,AddressType,AddressTypeValue,CrossStDirection,CrossStName,CrossStSuffix,CrossStSuffixDirection,City,State,Zip,Website,Phone,CouncilDistrict,GeoLat,GeoLong
Gardens,Brand Park Memory Garden,15174,,,San Fernando Mission,Blvd,,,,,,,,"Mission Hills
CA 91345
(34.2724, -118.462)",CA,91345,,(818) 756-5016,7,34.2724,-118.46206
Gardens,Watts Rose Garden,1657,,E,Century,Blvd,,,,,,,,"Los Angeles
CA 90002
(33.9458, -118.244)",CA,90002,http://www.laparks.org/dos/horticulture/watts.htm,(213) 564-9440,15,33.94576539,-118.2439527
Gardens,Solano Canyon Community Garden,835,,,Academy,Rd,,,,,,,,"Los Angeles
CA 90012
(34.0753, -118.232)",CA,90012,http://www.laparks.org/dos/parks/facility/elysianpk.htm,(323) 525-7411,1,34.075292,-118.231559
Golf Courses,Hansen Dam Golf Course,10400,,,Glenoaks,Blvd,,,,,,,,"Pacoima
CA 91331
(34.2588, -118.396)",CA,91331,http://www.golf.lacity.org/cdp_hansen.htm,(818) 899-2200,7,34.258801,-118.395868
Golf Courses,Harbor Park Golf Course,1235,,N,Figueroa,Pl,,,,,,,,"Wilmington
CA 90744
(33.7873, -118.283)",CA,90744,http://www.laparks.org/golf/cdp_harbor.htm,(310) 549-4953,15,33.787333,-118.282907
Golf Courses,Woodley Lakes Golf Course,6331,,,Woodley,Ave,,,,,,,,"Van Nuys
CA 91406
(34.184, -118.492)",CA,91406,http://www.laparks.org/golf/cdp_woodley.htm,(818) 780-6886,6,34.183969,-118.491937
Golf Courses,Tregnan Golf Academy,4341,,,Griffith Park,Dr,,,,,,,,"Los Angeles
CA 90027
(34.1212, -118.275)",CA,90027,http://www.laparks.org/golf/tregnan.htm,(323) 906-3858,4,34.121156,-118.275261
Golf Courses,Roosevelt 9-Hole Golf Course,2650,,N,Vermont,Ave,,,,,,,,"Los Angeles
CA 90027
(34.1185, -118.294)",CA,90027,http://golf.lacity.org/cdp_roosevelt.htm,(323) 665-2011,4,34.118472,-118.29388
Golf Courses,Rancho Park 18-Hole Golf Course,10460,,W,Pico,Blvd,,,,,,,,"Los Angeles
CA 90064
(34.045, -118.418)",CA,90064,http://www.laparks.org/golf/cdp_rancho.htm,(310) 838-7373,5,34.045022,-118.418289
Golf Courses,Balboa 18-Hole Golf Course,16821,,,Burbank,Blvd,,,,,,,,"Encino
CA 91436
(34.1706, -118.498)",CA,91436,http://www.laparks.org/golf/cdp_balboa.htm,(818) 995-1170,6,34.170607,-118.497806
Golf Courses,Golf Reservations--All Courses,3900,,W,Chevy Chase,Dr,,,,,,,,"Los Angeles
CA 90039
(34.1333, -118.273)",CA,90039,http://www.laparks.org/golf/reservations.htm,(818) 291-9980,13,34.13325553,-118.2728568
Golf Courses,Los Feliz 3-Par Golf Course,3207,,,Los Feliz,Blvd,,,,,,,,"Los Angeles
CA 90039
(34.1233, -118.269)",CA,90039,http://www.laparks.org/golf/cdp_los_feliz.htm,(323) 663-7758,13,34.12330116,-118.269339
Golf Courses,Rancho Park 3-Par Golf Course,10460,,W,Pico,Blvd,,,,,,,,"Los Angeles
CA 90064
(34.0474, -118.415)",CA,90064,http://golf.lacity.org/cdp_rancho_p3.htm,(310) 838-7561,5,34.04737,-118.414689
Golf Courses,Encino 18-Hole Golf Course,16821,,,Burbank,Blvd,,,,,,,,"Encino
CA 91436
(34.1699, -118.497)",CA,91436,http://www.laparks.org/golf/cdp_encino.htm,(818) 995-1170,6,34.169876,-118.497232
Golf Courses,Armand Hammer / Holmby Pitch and Putt Golf Course,601,,,Club View,Dr,,,,,,,,"Los Angeles
CA 90024
(34.0729, -118.429)",CA,90024,http://www.golf.lacity.org/cdp_holmby.htm,(310) 276-1604,5,34.07294331,-118.4293956
Golf Courses,Penmar Golf Course,1233,,,Rose,Ave,,,,,,,,"Venice
CA 90291
(34.0064, -118.458)",CA,90291,http://www.golf.lacity.org/cdp_penmar.htm,(310) 396-6228,11,34.00644708,-118.4583439
Golf Courses,Harding Golf Course,4730,,,Crystal Springs,Dr,,,,,,,,"Los Angeles
CA 90027
(34.1445, -118.289)",CA,90027,http://golf.lacity.org/cdp_harding.htm,(323) 663-2555,4,34.144505,-118.289258
Golf Courses,Wilson Golf Course,4730,,,Crystal Springs,Dr,,,,,,,,"Los Angeles
CA 90027
(34.1438, -118.29)",CA,90027,http://www.golf.lacity.org/cdp_wilson.htm,(323) 663-2555,4,34.143758,-118.289517
Hiking Trails,Runyon Canyon Park,2000,,N,Fuller,Ave,,,,,,,,"Los Angeles
CA 90046
(34.1053, -118.349)",CA,90046,http://www.laparks.org/dos/parks/facility/runyoncanyonpk.htm,(323) 666-5046,4,34.10530646,-118.3488732
Hiking Trails,O'Melveny Park,17300,,,Sesnon,Blvd,,,,,,,,"Granada Hills
CA 91344
(34.3133, -118.519)",CA,91344,http://www.laparks.org/dos/parks/facility/oMelvenyPk.htm,(818) 363-3556,12,34.31333,-118.518577
Hiking Trails,Hansen Dam Park,11770,,,Foothill,Blvd,,,,,,,,"Lake View Terrace
CA 91342
(34.2738, -118.383)",CA,91342,http://www.laparks.org/dos/reccenter/facility/hansendamRC.htm,(818) 899-4537,7,34.273758,-118.383484
Hiking Trails,Aliso Canyon Park,,,,Sesnon,Blvd,,,,,Rinaldi,St,,"Northridge
CA 91326
(34.2789, -118.527)",CA,91326,http://www.laparks.org/dos/parks/facility/alisoCanyonPk.htm,(818) 756-8060,12,34.27891,-118.526823
Hiking Trails,Limekiln Canyon Park,19585,,,Rinaldi,St,,,,,,,,"Northridge
CA 91326
(34.2848, -118.563)",CA,91326,http://www.laparks.org/dos/parks/facility/limekilnCanyonPk.htm,(818) 368-8343,12,34.284817,-118.563025
Hiking Trails,Chatsworth Park South,22360,,,Devonshire,St,,,,,,,,"Chatsworth
CA 91311
(34.2603, -118.616)",CA,91311,http://www.laparks.org/dos/parks/facility/chatsworthPkSouth.htm,(818) 341-6595,12,34.260329,-118.616081
Hiking Trails,Ernest E. Debs Regional Park,4235,,,Monterey,Rd,,,,,,,,"Los Angeles
CA 90032
(34.0954, -118.19)",CA,90032,http://www.laparks.org/dos/parks/facility/debsEERegionalPk.htm,(213) 485-5054,1,34.095367,-118.190495
Hiking Trails,Peck Park,560,,N,Western,Ave,,,,,,,,"San Pedro
CA 90732
(33.7478, -118.309)",CA,90732,http://www.laparks.org/dos/reccenter/facility/peckParkComCtr.htm,(310) 548-7580,15,33.74779038,-118.3091125
Hiking Trails,Griffith Park,,,,Griffith Park,Dr,,,,,Zoo,Dr,,"Los Angeles
CA 90027
(34.1182, -118.272)",CA,90027,http://www.laparks.org/dos/parks/griffithPK/index.htm,(323) 913-4688,4,34.1182,-118.272105
Hiking Trails,North Hollywood Park,11430,,,Chandler,Blvd,,,,,,,,"North Hollywood
CA 91601
(34.1679, -118.38)",CA,91601,http://www.laparks.org/dos/reccenter/facility/northHollywoodRC.htm,(818) 763-7651,2,34.1679113,-118.3798722
Hiking Trails,Elysian Park,929,,,Academy,Rd,,,,,,,,"Los Angeles
CA 90012
(34.0794, -118.236)",CA,90012,http://www.laparks.org/dos/parks/facility/elysianPk.htm,(213) 485-5054,13,34.079411,-118.235668
Hiking Trails,Lake Balboa,6200,,,Balboa,Blvd,,,,,,,,"Encino
CA 91316
(34.1816, -118.501)",CA,91316,http://www.laparks.org/dos/aquatic/balboa/index.htm,(818) 756-9743,6,34.181624,-118.500922
Hiking Trails,Jim Gilliam Park,4000,,S,La Brea,Ave,,,,,,,,"Los Angeles
CA 90008
(34.0119, -118.352)",CA,90008,http://www.laparks.org/dos/reccenter/facility/jimGilliamRC.htm,(323) 291-5928,10,34.011922,-118.351674
Hiking Trails,Van Nuys  Sherman Oaks Recreation Center,14201,,,Huston,St,,,,,,,,"Sherman Oaks
CA 91423
(34.1595, -118.443)",CA,91423,http://www.laparks.org/dos/reccenter/facility/vanNuysSORC.htm,(818) 783-5121,4,34.15952933,-118.4425227
Lakes,Lincoln Park Lake,3501,,,Valley,Blvd,,,,,,,,"Los Angeles
CA 90031
(34.0658, -118.199)",CA,90031,http://www.laparks.org/dos/reccenter/facility/lincolnParkRC.htm,(213) 847-1726,1,34.065824,-118.198986
Lakes,Ken Malloy Harbor Regional Lake,25820,,S,Vermont,Ave,,,,,,,,"Harbor City
CA 90710
(33.7876, -118.295)",CA,90710,http://www.laparks.org/dos/parks/facility/kenMalloyHarborPk.htm,(310) 548-7529,15,33.787619,-118.29502
Lakes,Hollenbeck Lake,415,,S,Saint Louis,St,,,,,,,,"Los Angeles
CA 90033
(34.0414, -118.216)",CA,90033,http://www.laparks.org/dos/aquatic/facility/hollenbecklake.htm,(323) 261-0113,14,34.04136456,-118.2160944
Lakes,Ernest E. Debs Lake,4235,,,Monterey,Rd,,,,,,,,"Los Angeles
CA 90032
(34.0915, -118.194)",CA,90032,http://www.laparks.org/dos/aquatic/facility/debslake.htm,(213) 485-5054,1,34.091471,-118.193514
Lakes,Echo Park Lake,751,,,Echo Park,Ave,,,,,,,,"Los Angeles
CA 90026
(34.0724, -118.26)",CA,90026,http://www.laparks.org/dos/aquatic/facility/echoPkLake.htm,(213) 847-8524,13,34.07240833,-118.2600257
Lakes,Reseda Park Lake,18411,,,Victory,Blvd,,,,,,,,"Reseda
CA 91335
(34.1868, -118.534)",CA,91335,http://www.laparks.org/dos/parks/facility/resedaPk.htm,(818) 881-3882,3,34.186771,-118.533703
Lakes,MacArthur Park Lake,2230,,W,6th,St,,,,,,,,"Los Angeles
CA 90057
(34.0581, -118.277)",CA,90057,http://www.laparks.org/dos/aquatic/facility/macArthurPkL.htm,(213) 368-0520,1,34.058107,-118.276802
Museums,Point Fermin Lighthouse Museum,807,,,Paseo Del Mar,,,,,,,,,"San Pedro
CA 90731
(33.7055, -118.294)",CA,90731,http://www.sanpedro.com/SP_POINT/ptfmlths.htm,(310) 241-0684,15,33.705524,-118.29368
Museums,El Pueblo de Los Angeles (Olvera Street),125,,,Paseo De La Plaza,,,,,,,,,"Los Angeles
CA 90012
(34.0566, -118.239)",CA,90012,http://elpueblo.lacity.org/,(213) 485-6855,14,34.056616,-118.238786
Museums,Banning Residence Museum,401,,E,M,St,,,,,,,,"Wilmington
CA 90744
(33.7899, -118.259)",CA,90744,http://www.lacity.org/disclaim/disclaim.cfm?goto=http://www.banningmuseum.org,(310) 548-7777,15,33.789925,-118.258813
Museums,Los Angeles Maritime Museum,,,,Berth 84,,,,,,,,,"San Pedro
CA 90731
(33.7388, -118.279)",CA,90731,http://www.lacity.org/disclaim/disclaim.cfm?goto=http://www.lamaritimemuseum.org,(310) 548-7618,15,33.738796,-118.278879
Museums,Griffith Park - Travel Town Museum,5200,,,Zoo,Dr,,,,,,,,"Los Angeles
CA 90027
(34.1538, -118.309)",CA,90027,http://www.laparks.org/grifmet/tt/index.htm,(323) 662-5874,4,34.153834,-118.308641
Museums,Campo de Cahuenga,3919,,,Lankershim,Blvd,,,,,,,,"North Hollywood
CA 91604
(34.1398, -118.362)",CA,91604,http://www.laparks.org/dos/historic/campo.htm,(818) 623-4166,4,34.139806,-118.362314
Museums,Heritage Square Museum,3800,,,Homer,St,,,,,,,,"Los Angeles
CA 90031
(34.0885, -118.208)",CA,90031,http://www.lacity.org/disclaim/disclaim.cfm?goto=http://www.heritagesquare.org,(323) 225-2700,1,34.088502,-118.208039
Museums,Griffith Park - Autry Museum of Western Heritage,4700,,,Western Heritage,Dr,,,,,,,,"Los Angeles
CA 90027
(34.1487, -118.282)",CA,90027,http://disclaimer.lacity.org/disclaim.cfm?goto=http://www.autrynationalcenter.org,(323) 667-2000,4,34.148715,-118.282023
Museums,Griffith Observatory,2800,,E,Observatory,Rd,,,,,,,,"Los Angeles
CA 90027
(34.1184, -118.3)",CA,90027,http://griffithobservatory.org/,(213) 473-0800,4,34.118429,-118.300374
Museums,Minnie Hill Palmer House / Homestead Acre,10385,,,Shadow Oak,Dr,,,,,,,,"Chatsworth
CA 91311
(34.2597, -118.615)",CA,91311,http://www.laparks.org/dos/historic/homestead.htm,(818) 882-5614,12,34.25966916,-118.6149602
Museums,Cabrillo Marine Aquarium,3720,,,Stephen M. White,Dr,,,,,,,,"San Pedro
CA 90731
(33.7113, -118.285)",CA,90731,http://disclaimer.lacity.org/disclaim.cfm?goto=http://www.cabrilloaq.org/,(310) 548-7562,15,33.711251,-118.285293
Museums,Drum Barracks Civil War Museum,1052,,,Banning,Blvd,,,,,,,,"Wilmington
CA 90744
(33.7847, -118.258)",CA,90744,http://www.lacity.org/disclaim/disclaim.cfm?goto=http://www.drumbarracks.org,(310) 548-7509,15,33.784702,-118.258156
Museums,Bolton Hall Historical Museum,10110,,,Commerce,Ave,,,,,,,,"Tujunga
CA 91042
(34.2526, -118.288)",CA,91042,http://www.laparks.org/dos/historic/bolton.htm,(818) 352-3420,7,34.252605,-118.288271
Museums,Fort MacArthur Museum,3601,,S,Gaffey,St,,,,,,,,"San Pedro
CA 90731
(33.7122, -118.296)",CA,90731,http://www.lacity.org/disclaim/disclaim.cfm?goto=http://www.ftmac.org,(310) 548-2631,15,33.712199,-118.296098
Museums,Griffith Park - Ferndell Nature Museum / Gardens,5375,,,Red Oak,Dr,,,,,,,,"Los Angeles
CA 90027
(34.1127, -118.307)",CA,90027,http://www.laparks.org/dos/parks/griffithpk/ferndell.htm,(323) 666-5046,4,34.112664,-118.307353
Open Space,Cahuenga Peak,3698,,W,Wonder View,Dr,,,,,,,,"Los Angeles
CA 90068
(34.1342, -118.335)",CA,90068,,(818) 243-6472,4,34.134173,-118.334606
Outdoor Fitness Equipment,Saint Andrews Recreation Center,8701,,,Saint Andrews,Pl,,,,,,,,"Los Angeles
CA 90047
(33.9588, -118.311)",CA,90047,http://www.laparks.org/dos/reccenter/facility/StAndrewsRC.htm,(213) 485-1751,8,33.95882144,-118.3112791
Outdoor Fitness Equipment,4600 Orchard Ave Pocket Park,4600,,,Orchard,Ave,,,,,,,,"Los Angeles
CA 90037
(34.0016, -118.289)",CA,90037,,(310) 548-7675,9,34.001558,-118.288625
Outdoor Fitness Equipment,Trinity Park,517,,E,25th,St,,,,,,,,"Los Angeles
CA 90011
(34.0239, -118.263)",CA,90011,http://www.laparks.org/dos/reccenter/facility/trinityRC.htm,(213) 485-4195,9,34.02385032,-118.2634554
Outdoor Fitness Equipment,Sycamore Grove Park,4702,,N,Figueroa,St,,,,,,,,"Los Angeles
CA 90042
(34.1019, -118.203)",CA,90042,http://www.laparks.org/dos/parks/facility/sycamorePk.htm,(323) 255-0370,1,34.1019,-118.202996
Outdoor Fitness Equipment,Van Ness Park,5720,,,2nd,Ave,,,,,,,,"Los Angeles
CA 90043
(33.9908, -118.319)",CA,90043,http://www.laparks.org/dos/reccenter/facility/vanNessRC.htm,(323) 296-1559,8,33.99082417,-118.319119
Outdoor Fitness Equipment,4916 S. McKinley Avenue Pocket Park,4916,1/2,S,McKinley,Ave,,,,,,,,"Los Angeles
CA 90011
(33.9988, -118.261)",CA,90011,,(310) 548-7675,9,33.998755,-118.260624
Outdoor Fitness Equipment,Woodbridge Park,11240,,,Moorpark,St,,,,,Elmer,Ave,,"Studio City
CA 91602
(34.1502, -118.376)",CA,91602,http://www.laparks.org/dos/parks/facility/woodbridgePk.htm,(818) 766-8445,2,34.15021183,-118.3764461
Outdoor Fitness Equipment,Lemon Grove Park,4959,,,Lemon Grove,Ave,,,,,,,,"Los Angeles
CA 90029
(34.0863, -118.305)",CA,90029,http://www.laparks.org/dos/reccenter/facility/lemonGroveRC.htm,(323) 666-4144,13,34.08634611,-118.3046676
Outdoor Fitness Equipment,Kagel Canyon Park,11435,,,Kagel Canyon,St,,,,,,,,"Lake View Terrace
CA 91342
(34.2807, -118.38)",CA,91342,http://www.laparks.org/dos/parks/facility/kagelCanyonPk.htm,(818) 899-4537,7,34.28069157,-118.3804559
Outdoor Fitness Equipment,Evergreen Recreation Center,2844,,E,2nd,St,,,,,,,,"Los Angeles
CA 90033
(34.039, -118.203)",CA,90033,http://www.laparks.org/dos/reccenter/facility/evergreenRC.htm,(323) 262-0397,14,34.038954,-118.203476
Outdoor Fitness Equipment,Benny H. Potter West Adams Avenues Memorial Park,2413,,,2nd,Ave,,,,,,,,"Los Angeles
CA 90018
(34.035, -118.319)",CA,90018,http://www.laparks.org/dos/parks/facility/bennyHPotterPk.htm,(323) 373-9483,10,34.035039,-118.318677
Outdoor Fitness Equipment,Studio City Park (Beeman Park),12621,,,Rye,St,,,,,,,,"Studio City
CA 91604
(34.1514, -118.408)",CA,91604,http://www.laparks.org/dos/reccenter/facility/studioCityRC.htm,(818) 769-4415,2,34.15137297,-118.4079843
Outdoor Fitness Equipment,El Sereno North Park,4410,,,Garden Homes,Ave,,,,,,,,"Los Angeles
CA 90032
(34.0972, -118.168)",CA,90032,http://www.laparks.org/dos/parks/facility/elSerenoNorthPk.htm,(323) 225-3517,14,34.097182,-118.16843
Outdoor Fitness Equipment,Glassell Park,3650,,,Verdugo,Rd,,,,,,,,"Los Angeles
CA 90065
(34.1167, -118.233)",CA,90065,http://www.laparks.org/dos/parks/facility/glassellPk.htm,(323) 257-1863,1,34.11673874,-118.2331726
Outdoor Fitness Equipment,61st Street Pocket Park,139,,E,61,St,,,,,,,,"Los Angeles
CA 90003
(33.9845, -118.272)",CA,90003,,(310) 548-7675,9,33.984504,-118.272468
Outdoor Fitness Equipment,MacArthur Park,2230,,W,6th,St,,,,,,,,"Los Angeles
CA 90057
(34.0604, -118.277)",CA,90057,http://www.laparks.org/dos/parks/facility/macArthurPk.htm,(213) 368-0520,1,34.06035058,-118.2770864
Outdoor Fitness Equipment,Garvanza Park,6240,,,Meridian,St,,,,,,,,"Los Angeles
CA 90042
(34.1201, -118.18)",CA,90042,http://www.laparks.org/dos/parks/facility/garvanzaPk.htm,(323) 255-0370,14,34.12007,-118.179944
Outdoor Fitness Equipment,Fox & Laurel Park,14353,,,Fox,St,,,,,,,,"Los Angeles
CA 91340
(34.2716, -118.446)",CA,91340,,,7,34.271638,-118.446271
Outdoor Fitness Equipment,Harbor Highlands Park,825,,W,Capitol,Dr,,,,,,,,"San Pedro
CA 90731
(33.7578, -118.297)",CA,90731,http://www.laparks.org/dos/parks/facility/harborHighlandsPk.htm,(310) 548-7756,15,33.75780373,-118.2966521
Outdoor Fitness Equipment,Wilmington Recreation Center,325,,N,Neptune,Ave,,,,,,,,"Wilmington
CA 90744
(33.7731, -118.269)",CA,90744,http://www.laparks.org/dos/reccenter/facility/wilmingtonRC.htm,(310) 548-7645,15,33.77313982,-118.2686791
Outdoor Fitness Equipment,Algin Sutton Recreation Center,8800,,S,Hoover,St,,,,,,,,"Los Angeles
CA 90044
(33.9578, -118.286)",CA,90044,http://www.laparks.org/dos/reccenter/facility/alginSuttonRC.htm,(323) 753-5808,8,33.957778,-118.285546
Outdoor Fitness Equipment,Julian C. Dixon Ave. Park / 48th Street Park,4800,,S,Hoover,St,,,,,,,,"Los Angeles
CA 90037
(33.9994, -118.287)",CA,90037,http://www.laparks.org/dos/parks/facility/48thStreetPk.htm,(323) 233-4772,9,33.99941769,-118.2869822
Outdoor Fitness Equipment,Fred Roberts Park,4700,,S,Honduras,St,,,,,,,,"Los Angeles
CA 90011
(34.0009, -118.244)",CA,90011,http://www.laparks.org/dos/reccenter/facility/fredRobertsRC.htm,(323) 234-8650,9,34.00087496,-118.2439885
Outdoor Fitness Equipment,Norman O. Houston Park,4800,,S,La Brea,Ave,,,,,,,,"Los Angeles
CA 90008
(33.9989, -118.358)",CA,90008,http://www.laparks.org/dos/parks/facility/houstonNOPk.htm,(323) 291-5928,8,33.998907,-118.357772
