Date,Month-Year,Quarter-FY,Annual-FY,Audit penetration Rate FYTD (Monthly),TARGET: Audit Penetration Rate FYTD (Monthly),% of lien cases resolved FYTD (Monthly),TARGET: % of lien cases resolved FYTD  (Monthly),# of call center calls answered (Monthly),YOY BENCHMARK: # of call center calls answered (Monthly),% of call center calls answered (Monthly),YOY BENCHMARK: % of call center calls answered (Monthly),Monthly Investment Report finding on Compliance (Monthly),TARGET: Monthly Investment Report finding on Compliance (Monthly),% of Business Tax renewal from web sources (Annual FY),TARGET: % of Business Tax renewal from web sources (Annual FY),Milestones: Paperless Program (Project),TARGET: Paperless Program,STATUS: Paperless Program,Milestones: Customer Satisfaction Survey (Project),TARGET: Customer Satisfaction Survey,STATUS: Customer Satisfaction Survey
11/30/2014 12:00:00 AM,Nov-14,,,,,,,,,,,,,,,,,,,,
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,,,,,,,,,,,,,,,,,,
01/31/2015 12:00:00 AM,Jan-15,,,,,,,,,,,,,,,,,,,,
02/28/2015 12:00:00 AM,Feb-15,,,,,,,,,,,,,,,,,,,,
03/31/2015 12:00:00 AM,Mar-15,Q3 FY15,,,,,,,,,,,,,,,,,,,
04/30/2015 12:00:00 AM,Apr-15,,,,,,,,,,,,,,,,,,,,
05/31/2015 12:00:00 AM,May-15,,,,,,,,,,,,,,,,,,,,
06/30/2015 12:00:00 AM,Jun-15,Q4 FY15,FY 2015,,,,,,,,,,,,,,,,,,
07/31/2015 12:00:00 AM,Jul-15,,,,,,,,,,,,,,,,,,,,
08/31/2015 12:00:00 AM,Aug-15,,,,,,,,,,,,,,,,,,,,
09/30/2015 12:00:00 AM,Sep-15,Q1 FY16,,,,,,,,,,,,,,,,,,,
10/31/2015 12:00:00 AM,Oct-15,,,,,,,,,,,,,,,,,,,,
11/30/2015 12:00:00 AM,Nov-15,,,,,,,,,,,,,,,,,,,,
12/31/2015 12:00:00 AM,Dec-15,Q2 FY16,,,,,,,,,,,,,,,,,,,
01/31/2016 12:00:00 AM,Jan-16,,,,,,,,,,,,,,,,,,,,
02/29/2016 12:00:00 AM,Feb-16,,,,,,,,,,,,,,,,,,,,
03/31/2016 12:00:00 AM,Mar-16,Q3 FY16,,,,,,,,,,,,,,,,,,,
04/30/2016 12:00:00 AM,Apr-16,,,,,,,,,,,,,,,,,,,,
05/31/2016 12:00:00 AM,May-16,,,,,,,,,,,,,,,,,,,,
06/30/2016 12:00:00 AM,Jun-16,Q4 FY16,FY 2016,,,,,,,,,,,,,,,,,,
