APN,Registered Date,Property Type,Property Location,Zip Code,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Contact Phone
2010017019,04/09/2014,Single Family,"8576 N FARRALONE AVE
Los Angeles, CA 91304
(34.227159580000034, -118.61108637299998)",,12,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Field Asset Services c/o EZ Maintenance,Leo Aceves,2551   Hyler AVE  Los Angeles CA 90041 ,800-468-1743
2010022009,06/09/2014,Single Family,"8460 N HANNA AVE
Los Angeles, CA 91304
(34.22385022700007, -118.60703610199994)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2010023070,04/11/2014,Single Family,"22152 W TERI CT
Los Angeles, CA 91304
(34.221212654000055, -118.61020948599997)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2012004007,10/03/2014,Single Family,"22160 W LANARK ST
Los Angeles, CA 93063
(34.21709691600006, -118.60997909899999)",,3,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2012021057,07/29/2014,Single Family,"7615 N GLADE AVE
Los Angeles, CA 93063
(34.20859279700005, -118.60818869299999)",,3,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,445  W 34 ST  San Bernardino CA 92405 ,909-289-1453
2012029017,07/15/2014,Single Family,"7909 N FARRALONE AVE
Los Angeles, CA 93063
(34.21435663200003, -118.61036244499996)",,3,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2013007013,05/02/2014,Single Family,"22649 W BALTAR ST
Los Angeles, CA 93063
(34.216457717000026, -118.62059774399995)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2013010039,12/01/2014,Single Family,"7951 N KENTLAND AVE
Los Angeles, CA 93063
(34.21460409000008, -118.61767292999997)",,12,"West Coast Capital Group, Inc.",Marcel Weise,949-322-8890,"West Coast Capital Group, Inc",Marcel Weise,2618   San Miguel DR  Newport Beach CA 92660 ,949-322-8890
2013011034,08/20/2014,Single Family,"7919 N CAPISTRANO AVE
Los Angeles, CA 91304
(34.21430011500007, -118.61671296499998)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2013013033,08/04/2014,Single Family,"7921 N SHOUP AVE
Los Angeles, CA 93063
(34.21407913400003, -118.61472678199999)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2013018024,01/07/2014,Single Family,"7730 N VICKY AVE
Los Angeles, CA 93063
(34.21078920300005, -118.61947596999994)",,12,Capital One,Levitia Costner,800-468-1743,EZ Maintenance,Leonel Aceves,2551   Hyler AVE  Los Angeles CA 90041 ,626-672-5573
2013019022,12/08/2014,Single Family,"22436 W LULL ST
Los Angeles, CA 91304
(34.20907336500005, -118.61607920999995)",,12,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,PPS,Trevethan Aaron,30011   Ivy Glenn DR 224 Laguna Niguel CA 92677 ,949-612-0342
2014001006,01/13/2014,Single Family,"8031 N FALLBROOK AVE
Los Angeles, CA 91304
(34.216430684000045, -118.62347224999996)",,12,Federal National Mortgage Association,Jeffery Belden,949-930-0823,Pinnacle Estate Properties,Raquel  Magro,10328   SEPULVEDA BLVD  MISSION HILLS CA 91345 ,818-361-9727
2014003002,07/09/2014,Single Family,"22950 W ROSCOE BLVD
Los Angeles, CA 91304
(34.21930332300008, -118.62731856699997)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2014003012,10/21/2014,Single Family,"22838 W ROSCOE BLVD
Los Angeles, CA 93063
(34.21935137200006, -118.62470289999999)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2014018016,08/11/2014,Single Family,"22933 W SATICOY ST
Los Angeles, CA 93063
(34.20828608700003, -118.62645517199996)",,12,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2014025001,06/03/2014,Single Family,"7966 N WOODLAKE AVE
Los Angeles, CA 93063
(34.21524854300003, -118.63215726599998)",,12,BAC HOME LOANS SERVICING,ROEL RODRIGUEZ,800-669-2443,Safeguard Code Compliance,Code Violations,7105   CORPORATE DR   PLANO  TX 75024 ,877-340-0060
2014031023,11/17/2014,Single Family,"7853 N QUIMBY AVE
Los Angeles, CA 93063
(34.21293680800005, -118.63111744599996)",,12,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2014031026,01/07/2014,Single Family,"7909 N QUIMBY AVE
Los Angeles, CA 93063
(34.21401945200006, -118.63112383299995)",,12,NSP LA TRUST,Laura Maier,310-535-9293,HMC Assets,Laura Maier,889   N Douglas ST 100 El Segundo CA 90245 ,310-535-9293
2014033037,04/30/2014,Single Family,"23149 W KENS WAY
Los Angeles, CA 91304
(34.209747449000076, -118.63153937499999)",,12,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2017004029,02/10/2014,Single Family,"8766 N AZUL DR
Los Angeles, CA 91304
(34.22962315800004, -118.64832812099996)",,12,BSI financial Services,Lee Sitterley,814-827-3078,Field Asset Services c/o EZ Maintenance,Leo Aceves,2551   Hyler AVE  Los Angeles CA 90041 ,800-468-1743
2017025066,11/07/2014,Single Family,"23931 W JENSEN DR
Los Angeles, CA 91304
(34.22299753800007, -118.64802507099995)",,12,Resurgent Capital,Johan Correa,866-825-2174,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2017027003,05/09/2014,Single Family,"7712 N GRAYSTONE DR
Los Angeles, CA 91304
(34.21129496400005, -118.65436722999999)",,12,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2017030033,11/25/2014,Single Family,"24574 W OVERLAND DR
Los Angeles, CA 91307
(34.208880617000034, -118.658356546)",,12,NationStar,Paula Acosta,972-315-8837,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2017032008,07/21/2014,Single Family,"7631 N WISCASSET DR
Los Angeles, CA 91304
(34.211731679000025, -118.65849124699997)",,12,ONE WEST BANK,LEAH COLLINS,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,445  W 34 ST  San Bernardino CA 92405 ,909-289-1453
2017032016,03/13/2014,Single Family,"7632 N WISCASSET DR
Los Angeles, CA 91304
(34.211780075000036, -118.65835758199995)",,12,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,Martinez Building and Development,Boler Markeese,7522   Finevale DR  DOWNEY CA 90240 ,623-444-0552
2017034004,01/06/2014,Single Family,"24736 W OVERLAND DR
Los Angeles, CA 91307
(34.20792504900004, -118.66354147599998)",,12,ONE WEST BANK,LEAH COLLINS,800-468-1743,Field Asset Services c/o EZ Maintenance,Leo Aceves,2551   Hyler AVE  Los Angeles CA 90041 ,800-468-1743
2020002009,07/09/2014,Single Family,"8201 N CLEMENS AVE
Los Angeles, CA 93063
(34.218211619000044, -118.63773730599996)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2020003023,01/22/2014,Single Family,"23632 W ELKWOOD ST
Los Angeles, CA 93063
(34.21236845300007, -118.64164508999994)",,12,ONE WEST BANK,LEAH COLLINS,800-468-1743,Field Asset Services c/o EZ Maintenance,Leo Aceves,2551   Hyler AVE  Los Angeles CA 90041 ,800-468-1743
2020009044,10/15/2014,Single Family,"23685 W BALTAR ST
Los Angeles, CA 93063
(34.21597391800003, -118.64309496799996)",,12,"US Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2020029047,03/21/2014,Single Family,"7934 N MARQUAND AVE
Los Angeles, CA 91304
(34.214305876000026, -118.64831198899998)",,12,Penny Mac Loan Service,Jennifer Gordon,818-878-8411,"US Best Repair Service, Inc","US Best Repair Service, Inc",2501   Alton PKWY  Irvine CA 92606 ,714-559-7835
2020033038,07/09/2014,Single Family,"23842 W ERIN PL
Los Angeles, CA 91304
(34.21126270000008, -118.64730950399996)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2020033053,07/09/2014,Single Family,"23868 W ERIN PL
Los Angeles, CA 91304
(34.21126270000008, -118.64786951299999)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2021016007,05/07/2014,Single Family,"22824 W COHASSET ST
Los Angeles, CA 91307
(34.20569257000005, -118.62454963299996)",,12,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2022004007,07/15/2014,Single Family,"7230 N MAYNARD AVE
Los Angeles, CA 91307
(34.20196954700003, -118.62123797499999)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2022017012,11/25/2014,Single Family,"7522 N CAPISTRANO AVE
Los Angeles, CA 91307
(34.20695086100005, -118.61785602799995)",,12,NationStar,Paula Acosta,972-315-8837,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2022020017,09/08/2014,Single Family,"22536 W CANTLAY ST
Los Angeles, CA 91307
(34.20211358200004, -118.61795858099998)",,12,Select Portfolio Servicing Inc,Rockbridge Group,800-962-6010,Tom Jackman,Chandra Balle,1   Polaris Way ST  Aliso Viejo CA 92656 ,949-292-5582
2022020019,06/17/2014,Single Family,"22524 W CANTLAY ST
Los Angeles, CA 91307
(34.20212280100003, -118.61750919099995)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2023011016,06/20/2014,Single Family,"22123 W WYANDOTTE ST
Los Angeles, CA 91303
(34.20286832700003, -118.60895925999995)",,3,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2023013009,12/05/2014,Single Family,"22116 W RUNNYMEDE ST
Los Angeles, CA 91303
(34.205533555000045, -118.60879909299996)",,3,JPMorgan Chase Bank C/o Select Portfolio Servicing,n/a n/a,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125 ,877-340-0060
2023017008,07/28/2014,Single Family,"22229 W COVELLO ST
Los Angeles, CA 91303
(34.20737720600005, -118.61126843299996)",,3,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2023017017,07/15/2014,Single Family,"7516 N MOORCROFT AVE
Los Angeles, CA 91303
(34.20698082100006, -118.61121657999996)",,3,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2023022009,06/09/2014,Single Family,"7411 N FARRALONE AVE
Los Angeles, CA 91303
(34.20503000800005, -118.61036273999997)",,3,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2023026016,09/19/2014,Single Family,"22315 W WYANDOTTE ST
Los Angeles, CA 91303
(34.202877545000035, -118.61290928199998)",,3,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,PPS,Trevethan Aaron,30011   Ivy Glenn DR 224 Laguna Niguel CA 92677 ,949-612-0342
2024008018,11/10/2014,Single Family,"22139 W VANOWEN ST
Los Angeles, CA 91303
(34.19376760500006, -118.60949968099999)",,3,Nationstar Mortgage LLC,NSTAR CLIENT,469-549-2178,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2024009021,07/09/2014,Single Family,"22143 W BASSETT ST
Los Angeles, CA 91303
(34.195577840000055, -118.60959877699997)",,3,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2024011031,10/09/2014,Single Family,"22115 W HART ST
Los Angeles, CA 91303
(34.19739844500003, -118.60877950399998)",,3,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,LPS,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2024019010,04/18/2014,Single Family,"22735 W GAULT ST
Los Angeles, CA 91307
(34.199138391000076, -118.62198004499999)",,12,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Field Asset Services c/o EZ Maintenance,Leo Aceves,2551   Hyler AVE  Los Angeles CA 90041 ,800-468-1743
2024019022,08/20/2014,Single Family,"22701 W GAULT ST
Los Angeles, CA 91307
(34.19915798000005, -118.62010989199996)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2024020012,12/10/2014,Single Family,"7026 N FALLBROOK AVE
Los Angeles, CA 91307
(34.198300682000024, -118.62337660999998)",,12,Law Office of Les Zieve,Dawn Talavera,714-848-7920,Law Offices of Les Zieve,Dawn Talavera,30   Corporate PARK 450 IRVINE CA 92606 ,714-848-7920
2024021028,02/26/2014,Single Family,"22712 W GAULT ST
Los Angeles, CA 91307
(34.19909345200006, -118.62080932699996)",,12,FreddieMac,Glenda White,972-581-6248,EZ Maintenance,Leo Aceves,2551   Hyler AVE  Los Angeles CA 90041 ,626-672-5573
2024036012,09/18/2014,Single Family,"6849 N NITA AVE
Los Angeles, CA 91303
(34.195201044000044, -118.61364213399997)",,3,"Deutsche Bank, as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2026010002,03/10/2014,Single Family,"23006 W HARTLAND ST
Los Angeles, CA 91307
(34.19456268000005, -118.62873817799999)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2026025011,08/04/2014,Single Family,"6971 N LENA AVE
Los Angeles, CA 91307
(34.196847655000056, -118.62480198299994)",,12,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2026028017,01/31/2014,Single Family,"23044 W ENADIA WAY
Los Angeles, CA 91307
(34.199418395000066, -118.62943876499997)",,12,SOPHIE DUNCAN,SOPHIE DUNCAN,613-222-9890,NULL,NULL,         ,NULL
2027001004,10/15/2014,Single Family,"7635 N POMELO DR
Los Angeles, CA 93063
(34.208956572000034, -118.63942084599995)",,12,"US Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2027004014,02/19/2014,Single Family,"23314 W WINDOM ST
Los Angeles, CA 91304
(34.20688402900004, -118.63785733599997)",,12,Caliber Home Loans,Arthur Ferrari,866-248-2679,Bron Inc,Eric Moore,16808   Armstrong AVE 215 Irvine CA 92606 ,951-970-3899
2027004029,05/29/2014,Single Family,"7612 N ATRON AVE
Los Angeles, CA 91304
(34.208749573000034, -118.63732959099997)",,12,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2027006014,07/09/2014,Single Family,"7361 N WOODVALE CT
Los Angeles, CA 91307
(34.20148443700003, -118.633726406)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2027007024,09/08/2014,Single Family,"7407 N JASON AVE
Los Angeles, CA 91307
(34.20420727800007, -118.63503885499995)",,12,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405 ,877-339-8202
2027012008,10/10/2014,Single Family,"7251 N PONDERA CIR
Los Angeles, CA 91307
(34.202072100000066, -118.64210810399999)",,12,Nationstar Mortgage LLC,NSTAR CLIENT,469-549-2178,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2027013002,06/09/2014,Single Family,"7210 N DARNOCH WAY
Los Angeles, CA 91307
(34.201332335000075, -118.64460970699997)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2027016013,11/03/2014,Single Family,"23648 W DEL CERRO CIR
Los Angeles, CA 91304
(34.206801065000036, -118.64154578999995)",,12,Nationstar Mortgage LLC,NSTAR CLIENT,469-549-2178,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2027019011,04/09/2014,Single Family,"23708 W SANDALWOOD ST
Los Angeles, CA 91307
(34.20519478400007, -118.64268885399997)",,12,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Field Asset Services c/o EZ Maintenance,Leo Aceves,2551   Hyler AVE  Los Angeles CA 90041 ,800-468-1743
2027022007,01/16/2014,Single Family,"7223 N POMELO DR
Los Angeles, CA 91307
(34.20196609000004, -118.64715279299998)",,12,HSBC MORTGAGE CORPORATION,Kevin Gholson,813-571-8431,"US Best Repair Service, Inc","US Best Repair Service, Inc",2501   Alton PKWY  Irvine CA 92606 ,714-559-7835
2027031029,01/23/2014,Single Family,"7566 N BOBBYBOYAR AVE
Los Angeles, CA 91304
(34.207700997000074, -118.63278614399997)",,12,Caliber Home Loans,Arthur Ferrari,866-248-2679,Bron Inc,Eric Moore,16808   Armstrong AVE 215 Irvine CA 92606 ,951-970-3899
2027035021,09/03/2014,Single Family,"7548 N LILLA PL
Los Angeles, CA 93063
(34.20837639700005, -118.64536883599999)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2027036007,10/21/2014,Single Family,"23537 W WINDOM ST
Los Angeles, CA 91304
(34.20599101100004, -118.64077260899995)",,12,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2027038024,11/05/2014,Single Family,"7624 N ATHERTON LANE
Los Angeles, CA 93063
(34.20963883600007, -118.65348486399995)",,12,Resurgent Capital,Johan Correa,866-825-2174,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2027042036,06/17/2014,Single Family,"23218 W RUNNYMEDE ST
Los Angeles, CA 91307
(34.20552318400007, -118.63315833099995)",,12,Wells Fargo Bank N.A.,Nancy Nowakowski,877-617-5274,Lender Processing Services,Nancy Nowakowski,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
