PRECINCT,NAME,VOTERS,BALLOTS,GEORGE MCKENNA,ALEX JOHNSON
9003029C,LOS ANGELES,1123,60,28,32
9003036A,LOS ANGELES,658,85,59,24
9003050A,LOS ANGELES,801,152,99,53
9003210A,LOS ANGELES,674,12,6,5
9003229A,LOS ANGELES,1028,176,91,85
9003240A,LOS ANGELES,936,71,30,41
9003674E,LOS ANGELES,965,46,19,26
9003866A,LOS ANGELES,1082,73,35,38
9003958A,LOS ANGELES,1280,104,75,29
9003969C,LOS ANGELES,1038,60,27,33
9004218A,LOS ANGELES,624,63,51,12
9005204A,LOS ANGELES,927,89,43,45
9005205B,LOS ANGELES,730,61,27,32
9005299B,LOS ANGELES,1395,124,66,57
9005303A,LOS ANGELES,1113,104,57,45
9005305A,LOS ANGELES,1021,86,52,34
9005307A,LOS ANGELES,1248,110,67,43
9005310A,LOS ANGELES,1177,39,20,19
9005312C,LOS ANGELES,1029,45,23,22
9005313A,LOS ANGELES,1191,94,53,38
9005315A,LOS ANGELES,1113,158,95,62
9005316A,LOS ANGELES,945,65,30,35
9005317A,LOS ANGELES,1224,139,63,75
9005319A,LOS ANGELES,1101,168,88,80
9005321A,LOS ANGELES,1238,121,63,58
9005322A,LOS ANGELES,1091,80,47,30
9005405A,LOS ANGELES,557,61,26,35
9005414A,LOS ANGELES,945,105,59,45
9005424A,LOS ANGELES,1319,71,37,33
9005484A,LOS ANGELES,1068,39,13,26
9005494B,LOS ANGELES,1115,50,18,30
9005504C,LOS ANGELES,1338,145,85,59
9007166B,LOS ANGELES,1129,115,33,82
9007168B,LOS ANGELES,1248,115,53,61
9007211A,LOS ANGELES,656,54,37,17
9007221A,LOS ANGELES,1369,163,94,69
9007229B,LOS ANGELES,965,104,56,48
9007230A,LOS ANGELES,1121,48,29,19
9007349A,LOS ANGELES,938,118,48,70
0900014A,BEVERLY HILLS,2,0,0,0
0900033B,BEVERLY HILLS,10,5,2,3
1600001B,CULVER CITY,0,0,0,0
1600004D,CULVER CITY,0,0,0,0
1600014C,CULVER CITY,0,0,0,0
2950026B,INGLEWOOD,74,4,1,3
2950146G,INGLEWOOD,4,2,1,1
3430100C,LADERA HEIGHTS,52,6,2,4
9002557A,LOS ANGELES,10,1,1,0
9002647A,LOS ANGELES,13,1,1,0
9002702A,LOS ANGELES,14,1,1,0
