IncrementalID,ADPNumber,ADPStatus,Applicant,Entitlement,ProjectDescription,ProjectLocation,ProjectType,ADPReceivedDate,ADPSentToDivisionDate,EMDReceivedDate,ENGPermitReceivedDate,ENGPermitReceivedDateNA,ADPCompletionDate,TypeofCDP,TypeofExemption,CDPNumber,CDPSentDateToApplicant,CDPSentDateToApplicantNA,CDPReceivedDate,CDPReceivedDateNA,PublicHearingDate,PublicHearingDateNA,BHCApprovalDate,BHCApprovalDateNA,AppealableCDP,EndOfAppealPeriodDate,EndofAppealPeriodDateNA,CostalCommApprovalDate,CostalCommApprovalDateNA,CDPSentDateToDivsions,CDPSentDateToDivsionsNA,RiskAnalysis,SentToLAFD,LAFD10DayReview,ReportToApplicant,ReportToApplicantNA,Notes,CancellationFlag,CDPFolderName
438,080319-026,Completed,POLA,Owner,C&M maintenance transfer facility improvements,Berth 194,Development,03/19/2008 12:00:00 AM,03/19/2008 12:00:00 AM,04/10/2008 12:00:00 AM,,FALSE,04/15/2008 12:00:00 AM,Exempt,30610(d),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,04/15/2008 12:00:00 AM,FALSE,,FALSE,
439,080324-027,Completed,POLA,Owner,Demolition and removal of a one-story building and pavement.,711 N Front Street,Development,03/24/2008 12:00:00 AM,03/25/2008 12:00:00 AM,12/17/2008 12:00:00 AM,,FALSE,01/20/2009 12:00:00 AM,,Outside CZ,,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,01/20/2009 12:00:00 AM,FALSE,,FALSE,
440,080326-028,Completed,McShane,N/A,FTZ 202 site 22 property from Bixby Land Co.,"located in Redlands, California",Administrative,03/26/2008 12:00:00 AM,03/27/2008 12:00:00 AM,04/08/2008 12:00:00 AM,,FALSE,04/08/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
189,080326-029,Completed,POLA,Owner,installation of fiber optic cabling,between HAB and VTB,Development,03/26/2008 12:00:00 AM,03/27/2008 12:00:00 AM,04/08/2008 12:00:00 AM,,FALSE,04/23/2008 12:00:00 AM,Exempt,30610(f),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,04/23/2008 12:00:00 AM,FALSE,,FALSE,
190,080326-030,Cancelled,Caltrans,CANCELLED,(CANCELLED) LA SR 47 overhead sign installation,just West of Harbor Blvd.,Development,03/26/2008 12:00:00 AM,03/27/2008 12:00:00 AM,04/15/2008 12:00:00 AM,,FALSE,04/15/2008 12:00:00 AM,Exempt,,,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,,FALSE,CANCELLED,TRUE,
238,080326-031,Completed,Vopak,Permit 560,paving maintenance project over abandoned  railroad tracks at dock area,between Berths 189 and 190,Development,03/26/2008 12:00:00 AM,03/27/2008 12:00:00 AM,04/10/2008 12:00:00 AM,06/04/2008 12:00:00 AM,FALSE,06/04/2008 12:00:00 AM,Exempt,30610(d),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,04/15/2008 12:00:00 AM,FALSE,,FALSE,
239,080326-032,Cancelled,Caltrans,CANCELLED,"(CANCELLED) upgrade existing crosswalk to ""smart crosswalk"" w/ pedestrian-activated flashing overhead beacons and warning signs",SR 1 and Victoria Ave.,Development,03/26/2008 12:00:00 AM,04/01/2008 12:00:00 AM,,,FALSE,04/01/2008 12:00:00 AM,Exempt,,,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,,FALSE,CANCELLED,TRUE,
240,080326-033,Completed,POLA,Owner,extension of compensation provision for California Cartage Company.,,Administrative,03/26/2008 12:00:00 AM,04/02/2008 12:00:00 AM,04/08/2008 12:00:00 AM,,FALSE,04/08/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
241,080327-034,Completed,Shell Oil Products,Permit 634,Replace existing timber berthing system and mooring bits with new upgraded berthing and quick release hooks to comply with the Marine Oil Terminal Engineering Maintenance standard,Berths 167-169,Development,03/27/2008 12:00:00 AM,04/02/2008 12:00:00 AM,04/22/2008 12:00:00 AM,07/15/2009 12:00:00 AM,FALSE,07/15/2009 12:00:00 AM,Exempt,30610(d),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,05/13/2008 12:00:00 AM,FALSE,,FALSE,
242,080401-035,Cancelled,C&H Logistics,CANCELLED,(CANCELLED) -  Drop 8-10 loaded CTRs for few hours before taking to the Port after congestion after 6pm,"the corner of Broad and Anaheim Street, Wilmington",Administrative,04/01/2008 12:00:00 AM,04/04/2008 12:00:00 AM,04/22/2008 12:00:00 AM,,FALSE,04/23/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,CANCELLED,TRUE,
243,080401-036,Completed,Chevron Pipeline Co.,Permit 486,remove and dispose of 120ft. Out of service 8'' diameter pipeline  and installing galvanized pipe hangers,Berth 164,Development,04/01/2008 12:00:00 AM,04/02/2008 12:00:00 AM,04/15/2008 12:00:00 AM,05/12/2008 12:00:00 AM,FALSE,05/12/2008 12:00:00 AM,Exempt,30610(d),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,04/15/2008 12:00:00 AM,FALSE,,FALSE,
244,080402-037,Completed,"Seaside Terminal Services, LLC",Permit 888,Area 100 and 800 antennas and camera project installation (new and existing),Evergreen Yard-389 Terminal Way,Development,04/02/2008 12:00:00 AM,04/04/2008 12:00:00 AM,04/22/2008 12:00:00 AM,05/01/2008 12:00:00 AM,FALSE,05/01/2008 12:00:00 AM,Exempt,30610(f),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,04/23/2008 12:00:00 AM,FALSE,,FALSE,
245,080403-038,Completed,POLA High School,LA 867,build additional classrooms on second story of existing building,"250 W 5th Street, San Pedro",Development,04/03/2008 12:00:00 AM,04/04/2008 12:00:00 AM,04/22/2008 12:00:00 AM,05/08/2008 12:00:00 AM,FALSE,05/08/2008 12:00:00 AM,,Outside CZ,,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,04/23/2008 12:00:00 AM,FALSE,,FALSE,
450,080407-039,Completed,International Brotherhood Teamsters,TEUP 956,"rally and dinner  on Thrusday, April 17th",Ports O' Call overflow parking lot,Administrative,04/07/2008 12:00:00 AM,04/08/2008 12:00:00 AM,04/22/2008 12:00:00 AM,,FALSE,04/23/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
451,080407-040,Completed,POLA,Owner,Anchorage Road soil storage site road extension,Along shore Road Soil Storage Site Road the waterside dredged material off-loading site and Anchorage Road,Development,04/07/2008 12:00:00 AM,04/08/2008 12:00:00 AM,06/11/2008 12:00:00 AM,,FALSE,06/13/2008 12:00:00 AM,Exempt,30610(d),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,06/13/2008 12:00:00 AM,FALSE,,FALSE,
452,080410-041,Completed,POLA,Owner,enter into a 7 year lease with Pacific Place for office space located,222 W. 6th Street,Administrative,04/10/2008 12:00:00 AM,04/14/2008 12:00:00 AM,04/29/2008 12:00:00 AM,,FALSE,04/29/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
453,080410-042,Completed,International Brotherhood of Teamsters,TEUP 1055,Staging area for trucks,Henry Ford and Anaheim Rds,Administrative,04/10/2008 12:00:00 AM,04/14/2008 12:00:00 AM,05/07/2008 12:00:00 AM,,FALSE,01/18/2012 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
454,080410-043,Completed,POLA,Owner,"Requests CEQA determination for the Second Amendment to Agreement No. E6310 with Gambol Industries, Inc.","985 S. Seaside Avenue, Terminal Island CA",Administrative,04/10/2008 12:00:00 AM,04/14/2008 12:00:00 AM,05/14/2008 12:00:00 AM,,FALSE,05/14/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
455,080414-044,Completed,"Eagle Marine Services, LTD",Permit 733,outdoor wireless infrastructure upgrade,"614 Terminal Way, Terminal Island, Berths 302-305",Development,04/14/2008 12:00:00 AM,04/15/2008 12:00:00 AM,05/07/2008 12:00:00 AM,08/21/2008 12:00:00 AM,FALSE,08/21/2008 12:00:00 AM,Exempt,30610(f),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,07/01/2008 12:00:00 AM,FALSE,,FALSE,
263,080418-045,Completed,Navy Days,TEUP 962,Use empty dirt lot for public parking.  Bus will pick up for public and drive to Berth 46 for tours of ships.   And present use of property is empty lot.,Project location is 22nd & Signal.,Administrative,04/18/2008 12:00:00 AM,04/21/2008 12:00:00 AM,05/15/2008 12:00:00 AM,,FALSE,01/18/2012 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
361,080423-046,Completed,POLA,Owner,CEQA language for operating agreement for maintenance and management of Cabrillo Way Marina redevelopment project,2800 Miner Street,Administrative,04/23/2008 12:00:00 AM,04/28/2008 12:00:00 AM,05/14/2008 12:00:00 AM,,FALSE,05/14/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
362,080428-047,Completed,U.S. Coast Guard,"TEUP 913
(NOT ISSUED)",storage space for 38' travel trailor,at paved parking area adjacent to Berth 56,Administrative,04/28/2008 12:00:00 AM,04/28/2008 12:00:00 AM,05/15/2008 12:00:00 AM,,FALSE,01/18/2012 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
363,080430-048,Completed,LAPD,TEUP 1060,"open house for 225 elementary school children on June 5, 2008 on grass field","222 N. Bay View Ave., Wilmington",Administrative,04/30/2008 12:00:00 AM,04/30/2008 12:00:00 AM,05/15/2008 12:00:00 AM,,FALSE,01/18/2012 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
50,080430-049,Completed,POLA,N/A,Termination agreement between Ports and Perez,8648 South Atlantic Blvd. in City of South Gate,Administrative,04/30/2008 12:00:00 AM,05/01/2008 12:00:00 AM,05/15/2008 12:00:00 AM,,FALSE,05/15/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
51,080507-050,Completed,"Diaz Consultants, Inc.",TEUP 1063,Preliminary geotechnical investigation for Berth 200 rail yard design,Berth 200,Development,05/07/2008 12:00:00 AM,05/07/2008 12:00:00 AM,05/15/2008 12:00:00 AM,05/29/2008 12:00:00 AM,FALSE,05/29/2008 12:00:00 AM,Exempt,30610(d),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,05/16/2008 12:00:00 AM,FALSE,,FALSE,
503,080507-051,Completed,Trajon Industrial Complex,N/A,FTZ Subzone 203 Site 23 developer agreement with property owner.,See attached site location maps for location,Administrative,05/07/2008 12:00:00 AM,05/07/2008 12:00:00 AM,05/15/2008 12:00:00 AM,,FALSE,05/15/2008 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
504,080512-052,Completed,POLA,Owner,YTI / NYK administration building HVAC system.,Berth 212-213,Development,05/12/2008 12:00:00 AM,05/12/2008 12:00:00 AM,05/15/2008 12:00:00 AM,,FALSE,05/16/2008 12:00:00 AM,Exempt,30610(d),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,05/16/2008 12:00:00 AM,FALSE,,FALSE,
505,080514-053,Cancelled,Lockheed Martin Corp.,CANCELLED,(CANCELLED)  Renovating existing trailer for TWIC enrollment center,"1001 New Dock Street, Terminal Island",Development,05/14/2008 12:00:00 AM,05/14/2008 12:00:00 AM,06/10/2008 12:00:00 AM,,FALSE,06/10/2008 12:00:00 AM,,,,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,,FALSE,CANCELLED,TRUE,
506,080516-054,Completed,Los Angeles Maritime Museum,TEUP 932,Festival of Sail '08,Berths 77-90,Administrative,05/16/2008 12:00:00 AM,05/16/2008 12:00:00 AM,06/10/2008 12:00:00 AM,,FALSE,01/18/2012 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
507,080516-055,Completed,Propeller Club of the U.S.,TEUP 1013,POLA/POLB - 21st annual ILWU/Propeller Club Seafood Feast,"390 S. Harbor Blvd., Arena Building",Administrative,05/16/2008 12:00:00 AM,05/16/2008 12:00:00 AM,06/10/2008 12:00:00 AM,,FALSE,01/18/2012 12:00:00 AM,N/A,N/A,N/A,,TRUE,,TRUE,,TRUE,,TRUE,3,,TRUE,,TRUE,,TRUE,3,,,,FALSE,,FALSE,
268,080519-056,Completed,Paramount Petroleum,RP 07-18,Installation of an equipment rack canopy and foundation,604 West Harry Bridges.,Development,05/19/2008 12:00:00 AM,05/19/2008 12:00:00 AM,06/23/2008 12:00:00 AM,07/25/2008 12:00:00 AM,FALSE,07/25/2008 12:00:00 AM,Exempt,30610(d),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,06/23/2008 12:00:00 AM,FALSE,,FALSE,
269,080521-057,Completed,POLA,Owner,Under wharf oil pipe removal.,Berth 90-93,Development,05/21/2008 12:00:00 AM,05/22/2008 12:00:00 AM,07/02/2008 12:00:00 AM,,FALSE,07/08/2008 12:00:00 AM,Exempt,30610(d),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,07/08/2008 12:00:00 AM,FALSE,,FALSE,
270,080527-058,Completed,POLA,Owner,Berth 100 flooding mitigation near secondary entrance to terminals,located off the Front Street and across the Knoll Drive.,Development,05/27/2008 12:00:00 AM,05/28/2008 12:00:00 AM,06/10/2008 12:00:00 AM,,FALSE,06/13/2008 12:00:00 AM,Exempt,30610(f),,,FALSE,,FALSE,,FALSE,,FALSE,0,,FALSE,,FALSE,,FALSE,0,,,06/13/2008 12:00:00 AM,FALSE,,FALSE,
