Fiscal Year,Account Name, Appropriation Amount ,Expense Categories
FY13,544 - Financial Services,$1579820.00,Expenditure
FY13,550 - Maintenance & Other Supplies,$4410213.00,Expenditure
FY13,551 - Admin. & Oper. Supplies,$3224857.00,Expenditure
FY13,570 - City Services,$36149991.00,Expenditure
FY13,580 - Allocations,$-9000000.00,Expenditure
FY13,590 - Equipment Rental - Maintenance,$478865.00,Expenditure
FY13,591 - Equipment Rental - Non-Maintenance,$44000.00,Expenditure
FY13,592 - Memberships & Subscriptions,$622794.00,Expenditure
FY13,593 - Insurance,$3683000.00,Expenditure
FY13,594 - Telephone,$1808838.00,Expenditure
FY13,595 - Utilities,$6186000.00,Expenditure
FY13,596 - Claims & Settlements,$8300000.00,Expenditure
FY13,"597 - Taxes, Assessments, & Fees",$579653.00,Expenditure
FY13,599 - Other Operating Expense,$8587050.00,Expenditure
FY13,820 - Interest Expense - Notes,$39560.00,Other
FY13,830 - Interest Expense - Bonds,$2169877.00,Debt Service
FY13,831 - Interest Expense - Commercial Paper,$1200000.00,Debt Service
FY13,890 - Other Non-Operating Expense,$25195678.00,Other
FY13,Capitalized & Allocated Expenditures,$10466626.00,Other
FY13,Debt Service from CIP,$35891568.00,Debt Service
FY13,Equipment Purchases,$8611532.00,Equipment
FY13,Construction and Capital Improvements,$285705381.00,Other
FY13,New Debt Issuance,$-70000000.00,Other
FY13,Restricted Cash,$148196259.00,Reserve
FY13,Unappropriated Balance/Carried Forward,$260334281.00,Unappropriated Balance
FY13,Balance Sheet Transactions I,$49916004.00,Debt Service
FY13,Balance Sheet Transactions II,$-48663222.00,Other
FY13,Future Commitments,$32016231.00,Other
FY14,510 - Salaries - Regular,$62874280.00,Salaries
FY14,511 - Salaries - Overtime,$4519335.00,Salaries
FY14,516 - Employee Benefits,$42733426.00,Benefits
FY14,517 - Paid Employee Benefits,$1985878.00,Benefits
FY14,520 - Advertising & Public Relations,$3290315.00,Expenditure
FY14,521 - Domestic Trade Rep.,$85000.00,Expenditure
FY14,522 - Foreign Trade Rep.,$459000.00,Expenditure
FY14,530 - Domestic Travel,$432727.00,Expenditure
FY14,531 - Foreign Travel,$444650.00,Expenditure
FY14,532 - Local Travel,$85775.00,Expenditure
FY14,540 - Maintenance Services,$6459322.00,Expenditure
FY14,541 - Office Equipment Maintenance Services,$2969806.00,Expenditure
FY14,542 - Misc. Professional Services,$21350946.00,Expenditure
FY14,543 - Data Processing Services,$2348250.00,Expenditure
FY14,544 - Financial Services,$1926191.00,Expenditure
FY14,550 - Maintenance & Other Supplies,$4701554.00,Expenditure
FY14,551 - Admin. & Oper. Supplies,$2688763.00,Expenditure
FY14,570 - City Services,$36245805.00,Expenditure
FY14,580 - Allocations,$-12235019.00,Expenditure
FY14,590 - Equipment Rental - Maintenance,$493250.00,Expenditure
FY14,591 - Equipment Rental - Non-Maintenance,$104740.00,Expenditure
FY14,592 - Memberships & Subscriptions,$677094.00,Expenditure
FY14,593 - Insurance,$3680000.00,Expenditure
FY14,594 - Telephone,$1818070.00,Expenditure
FY14,595 - Utilities,$8121000.00,Expenditure
FY14,596 - Claims & Settlements,$2350000.00,Expenditure
FY14,"597 - Taxes, assessments, & Fees",$684769.00,Expenditure
FY14,599 - Other Operating Expense,$7790550.00,Expenditure
FY14,830 - Interest Expense - Bonds,$9221109.00,Debt Service
FY14,831 - Interest Expense - Commercial Paper,$550000.00,Debt Service
FY14,890 - Other Non-Operating Expense,$7830221.00,Other
FY14,Capitalized & Allocated Expenditures,$13646645.00,Other
FY14,Debt Service from CIP,$28540683.00,Debt Service
FY14,Equipment Purchases,$9817304.00,Equipment
FY14,Construction and Capital Improvements,$399913430.00,Other
FY14,Debt Repayments,$26235000.00,Debt Service
FY14,Restricted Cash,$98085765.00,Reserve
FY14,Unappropriated Balance/Carried Forward,$236173540.00,Unappropriated Balance
FY14,Future Commitments,$32015000.00,Other
