Lobbying Firm,Client Prefix,Client First Name,Client Middle,Client Last Name,Client Suffix,Report Quarter,Report Year,Project,Reference Number,Reference Number Type,Project Location,City Agencies Lobbied,Lobbying Firm Quarterly Report
Afriat Consulting Group Inc,,,,"512 Perugia Way, LLC",,1,2013,Assist client with obtaining permits to develop a single family home,,,1500 Gilcrest Drive,City Council (incl. Districts and Committees) | Neighborhood Councils,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
Afriat Consulting Group Inc,,Jonathan Hausman & ,,Danielle E. Miller,,1,2013,Assist client with issues regarding building permits,,,2629 Mandeville Canyon Rd.,Building and Safety,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
Afriat Consulting Group Inc,,,,"Century City Realty, LLC",,1,2013,Assist client with entitlements and political outreach ,,,"1950 Avenue of the Stars, Century City","Mayor, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
Afriat Consulting Group Inc,,Bruce & Martha,,Karsh,,1,2013,Assist client with various issues,,,"9933, 9937 and 9941 Tower Lane in Benedict Canyon","City Council (incl. Districts and Committees) | Public Works, Board of",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
Afriat Consulting Group Inc,,,,"Philena Properties, L.P.",,1,2013,Assist client with entitlements and community outreach for a mixed use development,,,Bundy/Olympic Expo Line Station,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
Afriat Consulting Group Inc,,,,ACE of California,,1,2013,Legislation that pertains to the adult entertainment industry,,,Los Angeles,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
Afriat Consulting Group Inc,,,,"Consolidated Disposal Service, L.L.C.",,1,2013,Assist client with issues regarding city legislation that will impact the waste industry ,,,City of Los Angeles,"City Council (incl. Districts and Committees) | Public Works, Board of | Public Works, Sanitation",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
Afriat Consulting Group Inc,,,,Wal-Mart Stores Inc.,,1,2013,Assist client with issues regarding existing locations and potential new locations,,,City of Los Angeles,"Mayor, Office of | City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
"TMG Solutions, Inc",,,,1724 Armacost LLC,,1,2013,1724 Armacost,AA2012-2700-PMLA-SL,APC,1724 Armacost Ave.,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15031
"TMG Solutions, Inc",,,,Whole Foods Market,,1,2013,FFX - Fairfax & 3rd,ZA2012-0690(CUB),APC,6350 W. 3rd St.,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15031
Afriat Consulting Group Inc,,,,"SM 10000 Property, LLC",,1,2013,Assist client with entitlements and community outreach,,,"10000 Santa Monica Blvd., Los Angeles",City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15020
Paul Hastings LLP,,,,Harvard-Westlake,,1,2013,Development Project,,,Harvard-Westlake,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15047
"Alpert Barr & Grant, A Professional Law Corporation",,,,Shubin-Nadal Realty Investors,,1,2013,Real Estate Purchase/Sale Agreement,,,,"City Attorney, Office of | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15002
"Alpert Barr & Grant, A Professional Law Corporation",,,,Time Warner Communications,,1,2013,Cable franchise and regulatory issues.,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15002
"Michael S. Woodward, Attorney",,,,"Pacific Charter School Development, Inc.",,1,2013,Citizens of the World charter school relocation,2012-3201,APC,5616-20 DeLongpre Ave,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15060
"Michael S. Woodward, Attorney",,,,"Pacific Charter School Development, Inc.",,1,2013,James Jordan MS relocation,,,7911 Winnetka Ave,"City Council (incl. Districts and Committees) | Planning, City | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15060
"Michael S. Woodward, Attorney",,,,"Pacific Charter School Development, Inc.",,1,2013,Locke Tech MS conversion,2007-1750,APC,800-20 E 111th Pl,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15060
Psomas,,,,"Book City News, Inc.",,1,2013,Zoning and subdivision entitlements,,,6655 Santa Monica Blvd,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"Beverly La Cienega, LLC",,1,2013,Rezoning and Variance Application,,,320 N. La Cienega Blvd,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,Brookfield Residential,,1,2013,Playa Vista,,,Playa Vista development,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"Highland and Selma Venture, LLC",,1,2013,Subdivision Map,,,"Property bounded by McCadden Place, Highland, Selma and Hawthorn Avenues.",,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"Highland and Selma Venture, LLC",,1,2013,Not Provided,71752,APC,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,IDS Real Estate Group,,1,2013,Final map processing.,66352,APC,LA Metropolis project in the City of LA.,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"Lennar Homes of California, Inc.",,1,2013,Zoning entitlements,2012-2405-VZC-ZAA-SPR,APC,1411 N. Highland Avenue,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"LPC West, LLC",,1,2013,"Lot line adjustments No. 1, 2, 3, 4, & 5",52092,APC,Playa Vista,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,Millennium Partners LA,,1,2013,Support VTTM 71837,71837,APC,1750 Vine Street,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,Charles T.,,Munger,,1,2013,Land use entitlements applications for proposed commercial development,,,11973 San Vicente Boulevard,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,Charles T.,,Munger,,1,2013,Not Provided,ENV 2009-1065,APC,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,Charles T.,,Munger,,1,2013,Not Provided,2009-1064,APC,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,Charles T.,,Munger,,1,2013,Not Provided,2009-1066,APC,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"NBCUniversal Media, LLC",,1,2013,Suppport of various land use entitlements for a commercial and entertainment development,,,Universal Studios site located in Universal City.,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,Onni Contracting (California) Inc.,,1,2013,Modifications to VTTM 70371-CN and Site Plan Review 2008-2600.,,,840-888 So. Olive Street,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"Philena Properties, L.P.",,1,2013,Zoning and related land use entitlements for a proposed mixed-use development.,,,12101 W. Olympic Blvd,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"Pine Crest Homes, LLC",,1,2013,Subdivision map,72050,APC,Northwest corner of Hazeltine Ave & Sherman Way.,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"Pine Crest Homes, LLC",,1,2013,Not Provided,2012-3243-ZC-ZV-ZAACLQ-SPR,APC,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"Red Hot Enterprises, LLC",,1,2013,Zone Change and Specific Plan Exception,,,15422 Ventura Boulevard,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,James P.,,Wohl,,1,2013,Certificates of Compliance,,,Benedict  Canyon Road,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
Psomas,,,,"Warner 2 D/E/P, LLC",,1,2013,Processing Final Map,69061,APC,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=14963
"Planning Associates, Inc.",,,,2012 MS California Revocable Trust,,1,2013,Environmental Clearance and a Haul Route Permit to export earth,Board File No. 130021; ENV-2013-798-EAF,APC,924 North Bel Air Road,"Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Creative Industrial LLC,,1,2013,Zoning Administrator Determination to permit a live-work unit in an existing industrial building,ZA-2012-3055-ZAD; ENV-2012-3056-CE,APC,5021 West Jefferson Boulevard,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Hollenbeck Palms,,1,2013,Obtaining approval of revised plans and phasing for expansion of the Hollenbeck Palms Campus,CPC-2004-6150-CU-ZAA; ENV-2004-6151-MND,APC,573 South Boyle Avenue,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Kaiser Permanente,,1,2013,Assist Client in processing approvals related to site construction of Phase II of the LAMC main Hosp,ZA 1999-3205-ZV; ZA 2000-3142-ZV,APC,4867 West Sunset Boulevard,"Building and Safety | Planning, City | Public Works, Engineering | Public Works, Street Services | Transportation (LADOT, DOT) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Kaiser Permanente,,1,2013,Proposed Medical Office Building,,,4905 West Hollywood Boulevard,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Kaiser Permanente,,1,2013,Request City approval to allow the use of a mobile MRI unit,DIR-2003-7323-SPP,APC,1559 Edgemont Street,"Building and Safety | Planning, City | Public Works, Engineering | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Kaiser Permanente,,1,2013,Site Plan Review of replacement hospital,DIR 2010-1410-SPR,APC,25820 South Normandie Avenue,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Porter Ranch Development Company,,1,2013,Development Agreement Application Modification,CPC-1990-439-DA-M1; ENV-2011-1312-ND,APC,20100 Rinaldi Street,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Porter Ranch Development Company,,1,2013,Exchange of existing equestrian trail right of ways for new  equestrian trails,,,,Recreation & Parks,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Porter Ranch Development Company,,1,2013,Modification and Revised Map,TT 50505-SF-M1; TT 50506-M1; TT-50507-M4,APC,,"Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Porter Ranch Development Company,,1,2013,Modification of previously approved Project Permit Compliance & Design Review ,DIR-2011-1303-DRB-SPP-M1; VTT 53783-M5,APC,11601 Porter Ranch Drive,"Planning, City | Public Works, Engineering | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Porter Ranch Development Company,,1,2013,Process a Preliminary Parcel Map over the K-8 LAUSD school site,AA-2014-1367-PMLA; ENV-2014-1368-CE,APC,southeast corner of Sesnon Boulevard and Mason Avenue,"Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Porter Ranch Development Company,,1,2013,Process entitlement application to permit the continued use of the existing signs,,,within and near the Porter Ranch Specific Plan area,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Porter Ranch Development Company,,1,2013,Represent Client on appeal of approval of Tentative Tract 50791,50791,APC,,"Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Porter Ranch Development Company,,1,2013,Zone Change from A1-1 to RE40-1 to allow for the subdivision and construction of 5 single family res,APCNV-2012-2729-ZC; ENV-2012-2728-EAF,APC,10555 N. Corbin Avenue,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,"Roll Properties International, Inc.",,1,2013,Acquiring the City's ownership of a portion of Mission Road now vacated,CF 93-1278; CF 08-3266,APC,portion of Mission Road,"City Council (incl. Districts and Committees) | Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Selan Family Trust,,1,2013,Application for an Eldercare Facility Unified Permit,ENV-2012-3544-EAF; ZA-2012-3545-ELD-SPR,APC,17545 Parthenia Street,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
