TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
201400A,448310,Jewelry stores,1300,$285175768.00
201000A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",622,$1072346165.22
200800A,541800,Advertising & related services,1401,$1016406226.69
201100A,331000,Primary metal mfg.,54,$16071919.00
201100A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",76,$11338057.00
201200A,531320,Offices of real estate appraisers,141,$8476199.00
200600A,624410,Child day care services,1097,$81476500.13
201200A,423990,Other miscellaneous durable goods,2303,$773355084.74
200700A,541700,Scientific research & development services,114,$13935594.00
201300A,445100,Grocery stores (including supermarkets & convenience stores without gas),1761,$5362080079.35
201400A,452000,General merchandise stores,4637,$2883215466.64
200800A,492000,Couriers & messengers,699,$13125478.00
200900A,541600,"Management, scientific, & technical consulting services",8132,$1643646470.64
201300A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",89,$29790947.07
200500A,311400,Fruit & vegetable preserving & speciality food mfg.,21,$26547812.00
200700A,523900,Other financial investment activities (including investment advice),1286,$4370925225.28
200600A,424930,"Flower, nursery stock, & florists' supplies",250,$237824898.00
201200A,235210,Painting and Wall Covering Contractors (1997 NAICS),1901,$396950329.00
