Grant Project Description,Federal CFDA Number,Grant Number/ Pass-through Grantor's Number,Federal Entitlement Amount,Grant Receivable as of 7/1/2012,Grant Receivable Prior Year Adjustment,Grant Revenue Received,Federal Grant Expenditures,Federal Grant Pass Through Liability,Grant Receivable as  of 6/30/2013
Clean Diesel Emerging Technologies Funding Assistance DERA - ECOCRANE project  (PASS THROUGH)  Non-Operating,66.039,DE-83467301-0,731298, - , - ," 224,990 "," 224,990 ", - , - 
Federal - ISTEA/CALTRANS Grant  Harry Bridges Blvd. Improvement Project - ISTEA Bill 2000-2004,20.205,LA07-5006R-396-N,6500000," 880,873 ", - , - ," 814,498 ",," 1,695,371 "
"Federal - U. S. Department of Transportation - Maritime Administration TIGER II, West Basin Railyard -  (B200) WO# 2488500",20.933,DTMA1G11003,16000000, - , - ," 5,624,983 "," 5,624,983 ",, - 
Regional Surface Transportation Program (RSTP)  Port Truck Traffic Reduction Program - West Basin Railyard Project# 2488500,20.933,CML 5006 724,8584700, - , - ," 228,515 "," 228,515 ",, - 
Pass Thru from US Dept. of Tran. To State of Calif. Trans.(Cal--Trans) Port Truck Traffic Reduction Program - West Basin Railyard Project# 2488500,20.933,CML 5006 724,13553994, - , - ," 360,810 "," 360,810 ",, - 
Federal - SAFETEA-LU Transportation Legislation (FHWA)Vincent Thomas Bridge Studies - SAFETEA-LU Bill 2005-2009,20.205,LA0D391-HPP # 2885,1600000, - , - , - , - ,, - 
Federal - SAFETEA-LU Transportation Legislation (FHWA) I -110/SR 47/Harbor Blvd Connector (John S. Gibson)  Phase I - SAFETEA-LU Bill 2005-2009 (US DOT - 60%),20.205,LA0D390-HPP # 297,3599600, - , - , - , - ,, - 
American Recovery & Reinvestment Act of 2009 Harry Bridges Blvd. Improvement Project WO#2369300,20.205,ESPL-5006-602,15545200," 1,505,574 ", - ," 494,747 "," (330,497)",," 680,330 "
DERA Reduction for Equipment & Vessels W. O. # 6828100,66.039,2A-00T13601-0,141250, - , - , - , - ,, CLOSED 
DERA Equipment & Vessels Pass Thru W.O.#6828100(Non-Operating Pass Thru),66.039,2A-00T13601-0,1850500, - , - , - , - , - , CLOSED 
Environmental Affair/CDD ARRA Of 2009 Angelina II,81.128,DE-EE0000869,580000, - , - , - ,,, - 
Environmental Affair/CDD ARRA Of 2009 Vision truck,81.128,DE-EE0000869,280000, - , - , - , - ,, - 
Environmental Affair/CDD ARRA Of 2009 Balqon Trucks,81.128,DE-EE0000869,622000, - , - ," 385,436 "," 385,436 ",, - 
American Recovery & Reinvestment Act of 2009 Portwide Fiber Optic Continuance WO # 2507200,97.116,2009-PU-R-10176,6000000," 190,597 ", - ," 188,020 ", - ,," 2,577 "
