Client Prefix,Client First Name,Client Middle Name,Client Last Name,Client Suffix,Lobbying Firm,Registration Year,Date Representation Began,Date Terminated,Date Registered,Client Street Address,Client Street Address 2,Client City,Client State,Client Zip,Client Zip+4,Client Area Code,Client Telephone,Client Telephone Ext,Client Email,Client Alt Area Code,Client Alt Telephone,Client Alt Telephone Ext,Client Fax Area Code,Client Fax Number,Client Website,City Agencies,Lobbying Firm Registration Form
,,,Bentall Kennedy (U.S.) LP ,,Butterfield Communications,2013,01/20/2013,12/31/2013,01/30/2013,1215 Fourt Svenue,2400 Financial Center,Seattle,WA,98161,,206,694-8812,,jthornton@bentallkennedy.com,,,,,,www.bentallkennedy.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1873
,,,"Ardagh Metal Packaging nUSA, Inc.",,Butterfield Communications,2013,01/20/2013,12/31/2013,01/30/2013,600 N Bell Ave,Bldg 1 Ste 200,Carnegie,PA,15106,,949,8517420,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1873
,,,CBS Outdoor Inc.,,Kendall Brill  & Klieger LLP,2013,01/01/2013,12/31/2013,02/08/2013,1731 Workman St,,Los Angeles,CA,90031,,323,276-7309,,ryan.brooks@cbsoutdoor.com,,,,,,cbsoutdoor.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1905
,,,Los Angeles County Waste Management Association,,Astor & Kingsland,2013,01/01/2013,12/31/2013,02/08/2013,"1851 East First Street, Suite 1220",,Santa Ana,CA,92705,,714,245-0995,,,,,,714,245-0171,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1906
,,,Sierra Canyon School,,Law Office of Lesa A. Slaughter,2013,02/01/2013,12/31/2013,03/05/2013,20801 Rinaldi Street,,Chatsworth,CA,91311,,818,882,8121,,,,,818,534-3162,www.sierracanyonschool.org,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1798
,,,Community Recycling,,The CrisCom Company,2013,03/14/2013,12/31/2013,03/14/2013,P.O. Box 1081,,Sun Valley,CA,91353,,818,767-0675,,tfry@crowndisposal.com,,,,818,768-3930,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1768
,,,First Wind,,The Quevedo Group,2013,01/01/2013,12/31/2013,03/27/2013,"179 Lincoln Street, Suite 500",,Boston,MA,02111,,617,960-9688,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1918
,,,"Ariel Investments, LLC",,"Ariel Investments, LLC",2013,04/01/2013,12/31/2013,04/03/2013,200 E. Randolph Street,,Chicago,IL,60601,,312,612-2764,,mcusack@arielinvestments.com,,,,312,726-7473,,Fire and Police Pension | LA City Employees' Retirement System (LACERS),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1937
,,,SunEdison,,Curt Pringle & Associates,2013,04/01/2013,12/31/2013,04/10/2013,"44 Montgomery Street, Suite 2200",,San Francisco,CA,94104,,714,455-9280,,,,,,,,,"Mayor, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1955
,,,"Grosvenor Capital Management, L.P.",,"Grosvenor Capital Management, L.P.",2013,01/01/2013,12/31/2013,04/12/2013,900 North Michigan Avenue,Suite 1100,Chicago,IL,60611,,312,506-6500,,dmcmillan@gcmlp.com,,,,312,506-6888,,Fire and Police Pension | LA City Employees' Retirement System (LACERS),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1971
,,,"Marvin & Palmer Associates, Inc",,"Marvin & Palmer Associates, Inc",2013,04/19/2013,12/31/2013,04/19/2013,1201 N. Market Street,Suite 2300,Wilmington,DE,19801,1165,302,573-3570,,gilberthahn@mpainc.com,,,,302,573-8921,,Fire (LAFD) | Fire and Police Pension,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1994
,,,MPA Capital Management LLC,,MPA Capital Management LLC,2013,04/19/2013,12/31/2013,04/19/2013,1201 N. Market Street,Suite 2300,Wilmington,DE,19801,1165,302,573-3570,,gilberthahn@mpainc.com,,,,302,573-8921,,Fire and Police Pension,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1995
,,,"Oracle America, Inc. ",,"Oracle America, Inc. ",2013,01/01/2013,12/31/2013,04/19/2013,500 Oracle Parkway,,Redwood City,CA,94065,,415,389-6800,,dlim@nmgovlaw.com,,,,415,388-6874,,"Mayor, Office of | City Council (incl. Districts and Committees) | Chief Administrative Officer (CAO) | City Clerk | Information Technology Agency (ITA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1999
,,,"Honeywell International, Inc.",,"Honeywell International, Inc.",2013,01/01/2013,12/31/2013,04/22/2013,101 Constitution Avenue NW,Suite 500W,Washington,DC,20001,,202,662-2650,,mcottrill@stateandfed.com,,,,,,www.honeywell.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2011
,,,AT&T INC. AND ITS AFFILIATES,,AT&T INC. AND ITS AFFILIATES,2013,01/01/2013,12/31/2013,04/24/2013,1150 SOUTH OLIVE STREET,Rm. 2801,LOS ANGELES,CA,90015,,213,743-3701,,tl3741@att.com,,,,213,745-8276,www.att.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2034
,,,California Grocers Association,,California Grocers Association,2013,01/01/2013,12/31/2013,04/25/2013,1215 K Street,Suite 700,Sacramento,CA,95814,3946,916,448-3545,,kbailey@cagrocers.com,916,995-5422,,916,448-2793,http://www.cagrocers.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2040
,,,BevMo!,,Eric Shabsis Public Affairs,2013,04/15/2013,12/31/2013,04/25/2013,"1470 Enea Circle, Suite 1600",,Concord,CA,94520,,925,609 6031,,jsealy@bevmo.com,925,872 7178,,,,www.bevmo.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2045
,,,CVS,,Eric Shabsis Public Affairs,2013,02/27/2013,12/31/2013,04/25/2013,One CVS Drive,,Woonsocket,RI,02895,,401,770-5119,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2045
,,,Farmer's Daughter Hotel Group,,Eric Shabsis Public Affairs,2013,02/15/2013,12/31/2013,04/25/2013,115 South Fiarfax Avenue,,Los Angeles,CA,90036,,323,937-3930,,,,,,,,www.farmersdaughterhotel.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2045
,,,Sam Schwartz Engineering,,Eric Shabsis Public Affairs,2013,01/01/2013,12/31/2013,04/25/2013,"611 Broadway, Suite 415",,New York,NY,10012,,212,598 9010,104,rphillips@samschwartz.com,,,,,,www.samschwartz.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2045
,,,Marathon Communications on behalf of IStar Financial,,Eric Shabsis Public Affairs,2013,01/01/2013,12/31/2013,04/25/2013,"8436 West 3rd Street, Suite 700",,Los Angeles,CA,90048,,323,655-4660,,jdelong@marathon-com.com,,,,323,655-6478,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2045
,,,"Marathon Communications, Inc on behalf of Bechtel Development Corp, Inc. ",,Eric Shabsis Public Affairs,2013,02/05/2013,12/31/2013,04/25/2013,8436 West 3rd Street,,Los Angeles,CA,90048,,323,655-4660,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2045
,,,"Marathon Communications, Inc. on behalf of Summit Media, LLC",,Eric Shabsis Public Affairs,2013,01/15/2013,12/31/2013,04/25/2013,"8436 West Third Street, Site 700",,Los Angeles,CA,90048,,323,655-4660,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2045
,,,"Marathon Communications, Inc on behalf of The Ratkovich Company",,Eric Shabsis Public Affairs,2013,03/25/2013,12/31/2013,04/25/2013,"8436 West 3rd Street, Suite 700",,Los Angeles,Ca,90048,,323,655-4660,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2045
,,,"Walt Disney Company, The ",,"Bob Burke & Company, Ltd.",2013,01/01/2013,12/31/2013,04/26/2013,500 South Buena Vista St.,,Burbank,CA,91521,0736,818,560-8944,,tony.basalari@disney.com,,,,818,557-8436,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=1981
,,,University of Southern California ,,University of Southern California ,2013,01/29/2013,12/31/2013,04/29/2013,2801 South Hoover Street,,Los Angeles,CA,90089,7740,213,743-2230,,dgalaviz@usc.edu,213,743-2231,,213,743-4511,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2077
,,,J. Paul Getty Trust,,Donald P. Baker,2013,01/01/2013,12/31/2013,04/29/2013,1200 Getty Center Drive,,Los Angeles,CA,90049,1678,310,440-6483,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2078
,,,"Wilshire Gayley, LLC",,Donald P. Baker,2013,01/01/2013,12/31/2013,04/29/2013,"10877 Wilshire Boulevard, Suite 300",,Los Angeles,CA,90024,,310,824-3000,,,,,,310,824-2424,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2078
,,,"NBCUNIVERSAL MEDIA, LLC",,"NBCUNIVERSAL MEDIA, LLC",2013,01/01/2013,12/31/2013,04/29/2013,100 Universal City Plaza,,Los Angeles,CA,91608,,818,777-3335,,jc.oconnell@nbcuni.com,,,,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2083
,,,JMB Realty Corporation,,Erin Lehane,2013,01/01/2013,12/31/2013,04/29/2013,10250 Constellation Blvd.,,Los Angeles,CA,90067,,310,551-0077,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2088
,,,"Caithness Soda Mountain, LLC",,Mike Roos and Company,2013,01/01/2013,03/31/2013,04/29/2013,"565 5th Avenue,",29th Floor,New York,NY,10017,,917,472-4579,,,,,,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2091
,,,CBS Outdoor,,Mike Roos and Company,2013,01/01/2013,12/31/2013,04/29/2013,1695 Eastshore Highway,,Berkeley,CA,94710,,510,5273350,,,,,,,,,"Mayor, Office of",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2091
,,,City of Ontario,,Mike Roos and Company,2013,01/01/2013,12/31/2013,04/29/2013,303 East B Street,,Ontario,CA,91764,,909,395-2010,,chughes@ci.ontario.ca.us,,,,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Airports, Los Angeles World (LAWA, LAX)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2091
,,,Hertz Corpration,,Mike Roos and Company,2013,01/01/2013,12/31/2013,04/29/2013,225 Brae Boulevard,,Park Ridge,NJ,07656,,201,307-2771,,,,,,201,307-2689,,"Mayor, Office of | City Council (incl. Districts and Committees) | Harbor (Port of LA, POLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2091
,,,Mike Roos & Company on behalf of Bell Cab,,Mike Roos and Company,2013,01/01/2013,12/31/2013,04/29/2013,13030 Cerise Avenue,,Hawthorne,CA,90250,,310,676-1500,,,,,,310,676-1637,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2091
,,,Mike Roos and Company on behalf of Duncan Solutions,,Mike Roos and Company,2013,01/01/2013,12/31/2013,04/29/2013,633 W. Wisconsin Avenue,Suite 1600,Milwaukee,WI,53203,,877,577-3632,,,414,847-3773,,414,847-6773,,"Mayor, Office of | City Attorney, Office of | City Council (incl. Districts and Committees) | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2091
,,,Sunpower,,Mike Roos and Company,2013,01/01/2013,12/31/2013,04/29/2013,1414 Harbour Way South,,Richmond,CA,94804,,510,540-0550,,,,,,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2091
,,,Terra-Gen Operating Company,,Mike Roos and Company,2013,01/01/2013,12/31/2013,04/29/2013,9590 Prototype Court,Suite 200,Reno,NV,89521,,775,850-2245,,,,,,,,,"Mayor, Office of | City Attorney, Office of | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2091
,,,The Coffee Bean & Tea Leaf,,Mike Roos and Company,2013,01/01/2013,12/31/2013,04/29/2013,1945 S. La Cienega,,Los Angeles,CA,90034,,310,237-2326,,,310,237-2356,,310,815-3676,,"Airports, Los Angeles World (LAWA, LAX)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2091
,,,Southern California Edison,,Southern California Edison,2013,01/16/2013,12/31/2013,04/30/2013,2244 Walnut Grove Ave.,,Rosemead,CA,91770,,213,624-6200,,cary@politicallaw.com,,,,213,623-1692,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2113
,,,Coalition to Save the Westside,,Bob Sutton Associates,2013,04/30/2013,12/31/2013,04/30/2013,"c/o JMBM,1900 Avenue of the Stars,7th Fl",,Los Angeles,Ca,90067,,213,203-8080,,,,,,,,,"City Council (incl. Districts and Committees) | Planning, City | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2120
,,,"ARAMARK Sports and Entertainment Services, LLC",,California Strategies and Advocacy LLC,2013,01/01/2013,12/31/2013,04/30/2013,"1101 Market Street, 28 East",,Philadelphia,PA,19107,,215,238-3657,,matekovic-mike@aramark.com,,,,215,409-7437,www.aramark.com,"Mayor, Office of | City Council (incl. Districts and Committees) | Airports, Los Angeles World (LAWA, LAX) | Chief Administrative Officer (CAO) | Convention Center | Zoo",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2130
,,,BNSF Railway Company,,Mary Nan Doran ,2013,01/01/2013,12/31/2013,04/30/2013,3770 East 26th Street,,Los Angeles,CA,90064,,323,267-4041,,,,,,,,,"Harbor (Port of LA, POLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2136
,,,IBM Corporation,,IBM Corporation,2013,01/01/2013,12/31/2013,04/30/2013,7 Kingsbury Ct,,Alameda,CA,94501,,925,277-5151,,dabitte@us.ibm.com,415,948-9940,,925,277-5151,www.ibm.com,Information Technology Agency (ITA) | Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2137
,,,Communities for a Better Environment,,Law Office of Gideon Kracov,2013,01/31/2013,12/31/2013,04/30/2013,"5610 Pacific Boulevard, Suite 203",,Huntington Park,CA,90255,,323,826-9771,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2138
,,,Los Angeles County Disposal Association,,Law Office of Gideon Kracov,2013,01/31/2013,12/31/2013,04/30/2013,"5753-G Santa Ana Canyon Road, Suite 2000",,Anaheim Hills,CA,92807,,714,693-8812,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2138
,,,United Food and Commercial Workers Local 770,,Law Office of Gideon Kracov,2013,01/31/2013,12/31/2013,04/30/2013,630 Shatto Pl.,,LA,CA,90005,,213,201-7111,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2138
,,,SEIU USWW,,Law Office of Gideon Kracov,2013,01/31/2013,12/31/2013,04/30/2013,828 Washington Bl.,,Los Angeles,CA,90015,,213,680-9567,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2138
,,,Empower America/ Renewable Energy Coalition,,Ernesto J. Pantoja,2013,01/01/2013,12/31/2013,04/30/2013,"27368 Via Industries, Ste 103",,Temecula,CA,92590,,760,2651551,,mpabon@earec.com,,,,,,http://earec.com/,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2144
,,,Laborers Local 300,,Ernesto J. Pantoja,2013,01/01/2013,12/31/2013,04/30/2013,515 Shatto Pl.,,Los Angeles,CA,90020,,213,385-3550,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2144
,,,"Airport Connection, Inc.",,Holland & Knight,2013,01/01/2013,02/28/2013,05/01/2013,240 S. Glenn Drive,,Camarillo,CA,93010,,805,389-8196,,sue@rrshuttle.com,,,,805,389-8198,rrshuttle.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2145
,,,Arcadis US Inc.,,Holland & Knight,2013,01/01/2013,02/28/2013,05/01/2013,"445 South Figueroa Street, Suite 3650",,Los Angeles,CA,90071,,213,486-9884,,craig.halvorson@arcadis-us.com,,,,,,www.arcadis-us.com,"City Council (incl. Districts and Committees) | Airports, Los Angeles World (LAWA, LAX) | Harbor (Port of LA, POLA) | Public Works, Board of | Public Works, Contract Administration | Public Works, Engineering | Public Works, Sanitation | Public Works, Street Lighting | Public Works, Street Services | Transportation (LADOT, DOT) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2145
,,,California Sign Association (CSA),,Holland & Knight,2013,01/01/2013,02/28/2013,05/01/2013,PO Box 276567 ,Suite 150,Sacramento,CA,95728,6567,916,932-0021,,bradw@calsign.org,,,,,,www.calsign.org,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2145
,,,CBS Outdoor Inc.,,Holland & Knight,2013,01/01/2013,02/28/2013,05/01/2013,1731 Workman St,,Los Angeles,CA,90031,,323,276-7309,,ryan.brooks@cbsoutdoor.com,,,,,,cbsoutdoor.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2145
,,,McDonald's Corporation,,Holland & Knight,2013,01/01/2013,02/28/2013,05/01/2013,2915 Jorie Boulevard,,Oak Brook,IL,60523,,630,623-3231,,harlan.levy@us.mcd.com,,,,,,www.mcdonalds.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2145
,,,South Bay Association of Realtors,,South Bay Association of Realtors,2013,01/01/2013,12/31/2013,05/01/2013,22833 Arlington Ave.,,Torrance,CA,90501,,310,326-3010,,david@southbayaor.com,,,,310,325-7451,www.southbayaor.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2148
,,,Air Products and Chemicals Inc,,Ken Spiker And Assoc Inc,2013,01/01/2013,12/31/2013,05/02/2013,7201 Hamilton Blvd,,Allentown,PA,18195,1501,610,481-4911,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2154
,,,L.A. Checker Cab Co-op,,Ken Spiker And Assoc Inc,2013,01/01/2013,12/31/2013,05/02/2013,11003 Hawthorne Boulevard,,Lennox,CA,90304,,310,330-3720,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2154
,,,Lamar Advertising Company,,Ken Spiker And Assoc Inc,2013,01/01/2013,12/31/2013,05/02/2013,5551 Corporate Boulevard,,Baton Rouge,LA,70808,,225,237-1047,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2154
,,,Retired LA City Employees Inc,,Ken Spiker And Assoc Inc,2013,01/01/2013,12/31/2013,05/02/2013,Po Box 5762,,Sherman Oaks,CA,91414,,818,990-6145,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2154
