Project Title,Project Category,"Project Status - OCT, 2014","Project Status - NOV, 2014","Design Finish - OCT, 2014","Design Finish - NOV, 2014","Percent Design Complete - OCT, 2014","Percent Design Complete - NOV, 2014","Construction Finish - OCT, 2014","Construction Finish - NOV, 2014","Percent Construction Complete - OCT, 2014","Percent Construction Complete - NOV, 2014","Schedule Trend - OCT, 2014","Schedule Trend - NOV, 2014","Spent to Date - NOV, 2014","Percent Spent to Date - NOV, 2014","Projected Cost - OCT, 2014","Projected Cost - NOV, 2014","Budget Trend - OCT, 2014","Budget Trend - NOV, 2014"
B. 306 - Wharf and Backland Development (2489100),Berth 300-306 - Development,Design,Design,08/04/2017,08/04/2017,20%,20%,01/21/2020,01/21/2020,0%,0%,On,On,$471615.00,0%,$163000000.00,$163000000.00,On,On
B. 306 - Alternative Maritime Power (AMP) (2506800),Berth 300-306 - Development,Design,Design,08/03/2017,08/03/2017,10%,45%,01/31/2020,01/31/2020,0%,0%,On,On,$38027.00,0%,$9090000.00,$9090000.00,On,On
B. 302-305 - Fender Replacement (2527900),Berth 300-306 - Development,Bid and Award,Bid and Award,,06/24/2014,,,08/23/2015,08/23/2015,0%,0%,On,On,$62.00,0%,$367400.00,$367400.00,On,On
Pier 400 - Meteorological Tower (2521600),Berth 400-409 - Development,Hold,Hold,,03/31/2015,,0%,,01/31/2016,,0%,,,$62249.00,31%,$200000.00,$200000.00,,
Pier 400 - Pavement Replacement (2521800),Berth 400-409 - Development,Construction,Construction,03/19/2014,03/19/2014,100%,100%,12/31/2014,12/31/2014,40%,40%,Off,Off,$210284.00,30%,$700000.00,$700000.00,On,On
B. 238 - MOTEMS (2489900),Motems,Planning,Planning,05/02/2016,05/02/2016,0%,0%,09/25/2017,09/25/2017,0%,0%,Chance of going off trend,Chance of going off trend,$2102716.00,8%,$25675000.00,$25675000.00,On,On
B. 167-169 - MOTEMS (2493600),Motems,Design,Design,09/04/2015,09/04/2015,40%,40%,01/27/2017,01/27/2017,0%,0%,Chance of going off trend,Chance of going off trend,$2321782.00,10%,$22540338.00,$22540338.00,On,On
B. 163 - MOTEMS (2493700),Motems,Planning,Planning,12/23/2016,12/23/2016,0%,0%,05/18/2018,05/18/2018,0%,0%,Chance of going off trend,Chance of going off trend,$1286697.00,5%,$23976000.00,$23976000.00,On,On
B. 148-149 - MOTEMS (2493800),Motems,Planning,Planning,02/13/2017,02/13/2017,0%,0%,07/09/2018,07/09/2018,0%,0%,Chance of going off trend,Chance of going off trend,$1939115.00,8%,$24626142.00,$24626142.00,On,On
B. 164 - MOTEMS (2493900),Motems,Design,Design,05/30/2016,05/30/2016,1%,5%,10/23/2017,10/23/2017,0%,0%,Chance of going off trend,Chance of going off trend,$1319767.00,12%,$11225000.00,$11225000.00,On,On
B. 187-191 - MOTEMS (2494000),Motems,Planning,Planning,02/16/2017,02/16/2017,0%,0%,01/10/2019,01/10/2019,0%,0%,Chance of going off trend,Chance of going off trend,$2625228.00,4%,$61561271.00,$61561271.00,On,On
B. 239 - Mooring Point 1 (2507700),Motems,Completed,,02/21/2012,,100%,,10/31/2014,,100%,,On,,,,$3500516.00,,On,
B. 163 - MOTEMS Repairs (2524400),Motems,Bid and Award,Bid and Award,05/31/2014,05/31/2014,100%,100%,02/01/2015,02/01/2015,0%,0%,Chance of going off trend,Chance of going off trend,$49058.00,6%,$850000.00,$850000.00,On,On
B. 164 - MOTEMS Repairs (2524500),Motems,Bid and Award,Bid and Award,05/31/2014,05/31/2014,100%,100%,02/01/2015,02/01/2015,0%,0%,Chance of going off trend,Chance of going off trend,$51451.00,5%,$960000.00,$960000.00,On,On
B. 187-190 - MOTEMS Repairs (2524600),Motems,Planning,Planning,03/03/2015,03/03/2015,0%,0%,03/03/2016,03/03/2016,0%,0%,On,On,$188.00,0%,$3575000.00,$3575000.00,On,On
B. 118-119 - Marine Oil Terminal Fender Replacement (2529500),Motems,Completed,,05/29/2014,,100%,,09/30/2014,,100%,,On,,,,$385000.00,,On,
B. 196-199 & 200A - Wharf Rehabilitation (2516600),Miscellaneous Terminal Improvements,Design,Hold,11/21/2014,11/21/2014,80%,90%,11/01/2016,11/01/2016,0%,0%,On,Off,$973265.00,11%,$8794299.00,$8794299.00,On,Off
B. 206-209 - Backland and Wharf Improvements EIR (2526300),Miscellaneous Terminal Improvements,Hold,Canceled,,,,,11/30/2015,,5%,,Off,,$101291.00,4%,$2500000.00,$2500000.00,On,
B. 206-209 - Terminal Improvements Project (2526400),Miscellaneous Terminal Improvements,Hold,Canceled,03/01/2018,,3%,,,,,,Off,,$1727.00,2%,$100000.00,$100000.00,On,
B. 154-155 - Paint Warehouses (2528200),Miscellaneous Terminal Improvements,Construction,Construction,,09/08/2014,,,06/30/2015,06/30/2015,2%,5%,On,On,$33151.00,4%,$800000.00,$800000.00,On,On
B. 179-180 - Warehouse Re-roof (2529000),Miscellaneous Terminal Improvements,Bid and Award,Bid and Award,,07/10/2014,,,06/24/2015,06/24/2015,0%,0%,On,On,$0.00,0%,$600000.00,$600000.00,On,On
B. 154-155 Warehouse Doors and Windows Upgrades (2529200),Miscellaneous Terminal Improvements,Construction,Construction,,08/06/2014,,,05/18/2015,05/18/2015,1%,10%,On,On,$20299.00,9%,$250000.00,$238460.00,On,On
B. 194 - Sea Wall Improvements (2530100),Miscellaneous Terminal Improvements,Bid and Award,Bid and Award,,07/25/2014,,,06/29/2015,06/29/2015,0%,0%,On,On,$0.00,0%,$125000.00,$125000.00,On,On
B. 153-155 - Water and Sewer Line Replacement (2531500),Miscellaneous Terminal Improvements,,Bid and Award,,07/31/2014,,,,06/30/2015,,0%,,On,$0.00,0%,,$300000.00,,On
South Wilmington Grade Separation (2423600),Transportation Improvements,Construction,Construction,06/27/2012,06/27/2012,100%,100%,03/31/2015,03/31/2015,65%,65%,On,On,$51074417.00,61%,$84300000.00,$84300000.00,On,On
I-110/SR 47 Connector Improvement (2466100),Transportation Improvements,Construction,Construction,06/19/2013,06/19/2013,100%,100%,06/26/2016,06/26/2016,5%,5%,On,On,$6507707.00,31%,$21000000.00,$21000000.00,On,On
Advanced Transportation Management Information System (ATMIS) (2466300),Transportation Improvements,Construction,Construction,01/31/2011,01/31/2011,100%,100%,12/31/2014,12/31/2014,99%,99%,On,On,$1918794.00,96%,$2000000.00,$2000000.00,On,On
John S. Gibson Intersection & NB I-110 Ramp Access Improvements (2469900),Transportation Improvements,Construction,Construction,06/19/2013,06/19/2013,100%,100%,06/26/2016,06/26/2016,5%,5%,On,On,$10115123.00,32%,$32100000.00,$32100000.00,On,On
C Street/I-110 Access Ramp Improvements (2485200),Transportation Improvements,Construction,Construction,07/31/2013,07/31/2013,100%,100%,01/05/2017,01/05/2017,9%,9%,On,On,$9665874.00,19%,$51000000.00,$51000000.00,On,On
B. 200 - Rail Yard (2488500),Transportation Improvements,Completed,,11/16/2011,,100%,,08/29/2014,,100%,,On,,,,$135081189.00,,On,
Union Pacific ICTF Redevelopment EIR (2499300),Transportation Improvements,Environmental,Environmental,,09/09/2005,,,12/31/2014,12/31/2014,50%,50%,On,Chance of going off trend,$153448.00,71%,$215810.00,$215810.00,On,On
B. 200 - Rail Yard Track Connections (2513000),Transportation Improvements,Construction,Construction,12/12/2012,12/12/2012,100%,100%,10/20/2014,10/20/2014,50%,50%,Off,Off,$11583292.00,46%,$25000000.00,$25000000.00,On,On
Avalon and Fries Street Closures Environmental Assessment (2516700),Transportation Improvements,Environmental,Environmental,,08/08/2012,,,12/31/2014,12/31/2014,60%,60%,On,On,$403548.00,70%,$575172.00,$575172.00,On,On
B. 258 - Japanese Memorial Vehicular Signage (2518300),Transportation Improvements,Construction,Construction,05/15/2013,05/15/2013,100%,100%,09/30/2014,09/30/2014,85%,85%,Off,Off,$68792.00,69%,$100000.00,$100000.00,On,On
Port-wide Vehicular Directional Signage Improvements (2522500),Transportation Improvements,Completed,,,,,,09/30/2014,,100%,,On,,,,$140000.00,,On,
Terminal Island Street Improvements - Phase II (2526500),Transportation Improvements,Construction,Construction,06/30/2014,06/30/2014,100%,100%,06/30/2015,06/30/2015,90%,98%,On,On,$532686.00,38%,$1400000.00,$1400000.00,On,On
Portable Changeable Message Signs (2526600),Transportation Improvements,Bid and Award,Bid and Award,,04/08/2014,,,10/03/2014,10/03/2014,0%,0%,Off,Off,$41991.00,29%,$145000.00,$145000.00,On,On
Terminal Island Street Improvements - Phase III (2527600),Transportation Improvements,Design,Design,12/31/2014,12/31/2014,10%,40%,04/30/2015,04/30/2015,0%,0%,On,On,$512.00,0%,$1600000.00,$1599500.00,On,On
Port Police Tactical Radio Communications Improvements (2500200),Homeland Security,Construction,Construction,,12/01/2010,,,12/30/2014,12/30/2014,85%,85%,On,On,$5167800.00,89%,$5813421.00,$5813421.00,On,On
"120 W ""C"" Street Port Police K9 Facility (2509800)",Homeland Security,Completed,,03/09/2012,,100%,,08/31/2014,,100%,,On,,,,$2175556.00,,On,
Port of Los Angeles Police Headquarters - Audio Visual System - Preliminary Design (2521100),Homeland Security,Completed,,08/18/2014,,100%,,,,,,On,,,,$270000.00,,On,
IT Cyber Security Improvements - Phase I (2522000),Homeland Security,Completed,,12/09/2013,,100%,,08/31/2014,,100%,,On,,,,$2564000.00,,On,
POLA Fiber Optic Network - Phase 3 - Design Only (2523800),Homeland Security,Design,Design,12/07/2014,12/07/2014,10%,10%,,12/07/2014,,,On,On,$0.00,0%,$145000.00,$145000.00,On,On
IT Cyber Security Improvements - Phase II (2526000),Homeland Security,Construction,Construction,,09/01/2014,,,08/31/2015,08/31/2015,5%,5%,On,On,$15445.00,1%,$2364000.00,$2364000.00,On,On
300 Water Street - Office Building Re-Roof (2528900),Homeland Security,Bid and Award,Bid and Award,,07/10/2014,,,06/24/2015,06/24/2015,0%,0%,On,On,$0.00,0%,$231500.00,$231500.00,On,On
Port of Los Angeles Police Headquarters - Garage Electrical Outlets (2529600),Homeland Security,Completed,,08/29/2014,,100%,,09/12/2014,,100%,,On,,,,$25000.00,,On,
Front Street Beautification (2504700),Port-Wide Public Enhancements,Design,Design,12/31/2014,12/31/2014,80%,80%,11/28/2016,11/28/2016,0%,0%,On,On,$785268.00,11%,$6850000.00,$6850000.00,Off,On
San Pedro Waterfront - B. 57 - Wharf Retrofit and Signal Street Improvements (2500600),San Pedro Waterfront,Planning,Design,04/02/2017,04/02/2017,0%,1%,03/29/2019,03/29/2019,0%,0%,On,On,$2234332.00,4%,$58216476.00,$58176985.00,On,On
San Pedro Waterfront - Sampson Way Roadway Improvements - 7th Street Intersection (2509400),San Pedro Waterfront,Design,Design,09/22/2015,09/22/2015,5%,5%,09/12/2017,09/12/2017,0%,0%,On,On,$30742.00,0%,$12900000.00,$12900000.00,On,On
San Pedro Waterfront - B. 87-93 - Los Angeles Waterfront Parking Lot Improvements (2514200),San Pedro Waterfront,Completed,,08/31/2012,,100%,,09/30/2014,,100%,,On,,,,$1662852.00,,On,
San Pedro Waterfront - Ports O Call Redevelopment Conceptual Planning and Preliminary Engineering Support (2523300),San Pedro Waterfront,Planning,Planning,,04/30/2015,,,05/06/2016,05/06/2016,0%,0%,On,On,$222059.00,44%,$500000.00,$500000.00,On,On
Fanfare Fountain Palm Tree Drainage Repair and Tree Installation (2527400),San Pedro Waterfront,Bid and Award,Bid and Award,,05/24/2014,,,06/05/2015,02/03/2015,0%,0%,On,On,$2197.00,1%,$360000.00,$360000.00,On,On
Cabrillo Way Marina - V Dock Fire Line Replacement and Pipe Hangar Repairs (2528100),San Pedro Waterfront,Construction,Construction,06/29/2014,06/29/2014,100%,100%,02/25/2015,02/25/2015,50%,50%,On,On,$222618.00,32%,$701196.00,$701196.00,Off,Off
Cabrillo Way Marina - Long Dock Fire Line Support Replacement (2531600),San Pedro Waterfront,,Construction,,10/03/2014,,,,05/29/2015,,20%,,On,$0.00,0%,,$135000.00,,On
Wilmington Waterfront Park Public Art (2515900),Wilmington Waterfront Development,Construction,Construction,06/29/2014,02/17/2011,100%,100%,02/25/2015,04/15/2015,50%,75%,On,On,$379311.00,81%,$701196.00,$468250.00,Off,On
Wilmington Waterfront Park Street Vacations (2525600),Wilmington Waterfront Development,Construction,Design,02/17/2011,07/02/2015,100%,45%,04/15/2015,07/02/2015,75%,,On,On,$31038.00,22%,$468250.00,$140000.00,On,On
Electric Truck Program (2495800),Environmental Enhancements,Construction,Construction,07/31/2013,07/31/2013,100%,100%,09/30/2014,09/30/2014,95%,95%,On,Chance of going off trend,$5283269.00,98%,$5403750.00,$5403750.00,On,On
Biological Mitigation Credits (2511600),Environmental Enhancements,Environmental,Completed,,03/01/2011,,,10/31/2014,10/31/2014,90%,100%,On,On,$1025209.00,93%,$1096982.00,$1096982.00,On,On
2013 Biological Surveys of Los Angeles and Long Beach Harbors (2518700),Environmental Enhancements,Environmental,Environmental,,02/08/2013,,,02/28/2016,02/28/2016,45%,45%,On,On,$257743.00,47%,$548580.00,$548580.00,On,On
Cabrillo Beach Eelgrass Mitigation Site (2527200),Environmental Enhancements,Bid and Award,Bid and Award,09/30/2014,09/30/2014,100%,100%,05/15/2015,05/15/2015,0%,0%,On,On,$15783.00,2%,$710000.00,$654725.00,On,On
Cabrillo Beach - Sewage Pump Station Modification and Upgrade (2529100),Environmental Enhancements,Construction,Construction,,07/11/2014,,,06/30/2015,06/30/2015,1%,5%,On,On,$0.00,0%,$60000.00,$60000.00,On,On
B. 161 - Marine Ways Modifications (2486100),Maritime Services - Harbor Dept. Facilities,Design,Design,11/07/2014,11/07/2014,40%,80%,04/06/2015,04/06/2015,0%,0%,On,Off,$262789.00,13%,$1950000.00,$1950000.00,On,On
POLA Facilities Water Efficient Toilets and Urinals (2499200),Maritime Services - Harbor Dept. Facilities,Construction,Construction,11/11/2009,11/11/2009,100%,100%,10/31/2014,10/31/2014,25%,40%,Off,Off,$21709.00,15%,$148000.00,$148000.00,On,On
Harbor Department Buildings - Miscellaneous Office and Cubicle Furniture Installations (2509000),Maritime Services - Harbor Dept. Facilities,Construction,Construction,,04/01/2011,,,12/31/2015,12/31/2015,50%,50%,On,On,$565565.00,78%,$725000.00,$725000.00,On,On
"Harbor Administration Building  - 3rd, 4th, and 5th Floor Restrooms (2509200)",Maritime Services - Harbor Dept. Facilities,Construction,Construction,05/27/2014,05/27/2014,100%,100%,05/05/2015,05/05/2015,10%,1%,On,On,$216001.00,32%,$670000.00,$670000.00,On,On
Harbor Administration Building - HVAC Replacement (2509600),Maritime Services - Harbor Dept. Facilities,Design,Design,03/28/2015,03/28/2015,80%,80%,09/30/2016,09/30/2016,0%,0%,On,On,$255446.00,5%,$5100000.00,$5100000.00,On,On
Klein Billing System - Phase II (2513900),Maritime Services - Harbor Dept. Facilities,Construction,Construction,,02/14/2012,,,04/16/2015,04/16/2015,71%,71%,On,On,$1057964.00,75%,$1402527.00,$1402527.00,On,On
B.  68 - Port Pilot Station Dispatch Center Window Replacement (2517300),Maritime Services - Harbor Dept. Facilities,Design,Design,06/30/2014,06/30/2014,50%,45%,08/30/2014,08/30/2014,0%,0%,Off,Off,$26237.00,16%,$165000.00,$165000.00,On,On
"Harbor Administration Building - 4th Floor Furniture Purchase, and Contracts and Purchasing Relocation (2517900)",Maritime Services - Harbor Dept. Facilities,Design,Design,12/31/2014,12/31/2014,10%,10%,12/31/2016,12/31/2016,0%,0%,Off,Off,$47875.00,2%,$1975250.00,$1975250.00,On,On
Harbor Administration Building - 1st Floor and Mail Room Furniture (2518000),Maritime Services - Harbor Dept. Facilities,Design,Design,12/31/2014,12/31/2014,10%,10%,12/31/2016,12/31/2016,0%,0%,Off,Off,$6803.00,3%,$221000.00,$221000.00,On,On
Harbor Administration Building - 2nd Floor Information Technology Furniture (2518100),Maritime Services - Harbor Dept. Facilities,Design,Design,12/31/2014,12/31/2014,10%,10%,12/31/2016,12/31/2016,0%,0%,Off,Off,$13895.00,6%,$221000.00,$221000.00,On,On
Harbor Administration Building - 3rd Floor Furniture Removal & Installation (2518200),Maritime Services - Harbor Dept. Facilities,Design,Design,12/31/2014,12/31/2014,30%,30%,12/31/2016,12/31/2016,0%,0%,Off,Off,$65283.00,6%,$1065000.00,$1065000.00,On,On
Harbor Administration Building - Fuel Cell System (2521500),Maritime Services - Harbor Dept. Facilities,Design,Design,10/17/2014,10/17/2014,70%,70%,03/31/2015,03/31/2015,0%,0%,Off,Off,$59572.00,17%,$350000.00,$350000.00,Off,Off
Harbor Administration Building - Light Fixture Upgrade - 1st & 2nd Floors (2521900),Maritime Services - Harbor Dept. Facilities,Bid and Award,Bid and Award,05/31/2014,05/31/2014,100%,100%,03/31/2015,03/31/2015,0%,0%,Off,Off,$50674.00,13%,$378000.00,$378000.00,On,On
B. 161 - C&M Stores Warehouse Roof and Skylight Replacement (2522200),Maritime Services - Harbor Dept. Facilities,Construction,Construction,03/18/2014,03/18/2014,100%,100%,12/03/2014,12/03/2014,40%,60%,On,On,$446715.00,59%,$759777.00,$759777.00,On,On
B. 161 C&M - Carpenter's Shop Remodel (2522900),Maritime Services - Harbor Dept. Facilities,Design,Construction,07/11/2014,07/11/2014,100%,100%,04/09/2015,04/09/2015,25%,25%,On,On,$92031.00,41%,$226500.00,$226500.00,On,On
B. 161 C & M - Garage Remodel (2523100),Maritime Services - Harbor Dept. Facilities,Hold,Hold,,06/29/2014,,,01/25/2015,01/25/2015,0%,0%,On,On,$0.00,0%,$75000.00,$75000.00,On,On
B.  68 - Port Pilot Station Back Up Generator and Electrical Upgrade (2524300),Maritime Services - Harbor Dept. Facilities,Hold,Hold,07/02/2014,07/02/2014,15%,15%,02/02/2015,02/02/2015,0%,0%,Off,Off,$26744.00,6%,$460500.00,$460500.00,Chance of going off trend,Chance of going off trend
B.  68 - Port Pilot Station Portable Buildings Replacement (2526100),Maritime Services - Harbor Dept. Facilities,Planning,Planning,07/31/2016,07/31/2016,0%,0%,,07/31/2016,,,On,On,$27085.00,5%,$500000.00,$500000.00,On,On
Harbor Administration Building - Drain Mainlines Replacement (2526900),Maritime Services - Harbor Dept. Facilities,Construction,Construction,06/23/2014,06/23/2014,100%,100%,06/01/2015,06/01/2015,20%,35%,On,On,$405156.00,30%,$1350000.00,$1350000.00,On,On
Harbor Administration Building - 2nd Floor & 5th Floor Kitchen Remodel (2527500),Maritime Services - Harbor Dept. Facilities,Design,Design,07/31/2014,07/31/2014,90%,90%,10/10/2014,10/10/2014,0%,0%,Off,Off,$11487.00,7%,$160000.00,$160000.00,On,On
B. 161 - Maintenance Dock Extension (2530000),Maritime Services - Harbor Dept. Facilities,Bid and Award,Bid and Award,,07/25/2014,,,06/29/2015,06/29/2015,0%,0%,On,On,$0.00,0%,$130000.00,$130000.00,On,On
B. 161 - CNG Detection System for Garage (2530200),Maritime Services - Harbor Dept. Facilities,Design,Construction,09/27/2014,09/27/2014,70%,100%,06/29/2015,06/29/2015,0%,1%,On,On,$0.00,0%,$100000.00,$100000.00,On,On
Harbor Administration Building - 5th Floor Sunshade Roller Blinds (2530400),Maritime Services - Harbor Dept. Facilities,Bid and Award,Bid and Award,09/25/2014,09/25/2014,100%,100%,01/08/2015,01/08/2015,0%,0%,On,On,$5440.00,6%,$85000.00,$85000.00,On,On
Harbor Administration Building - 2nd floor IT Pre-Action Fire Life Safety System (2530500),Maritime Services - Harbor Dept. Facilities,Construction,Construction,,07/31/2014,,,06/25/2015,06/25/2015,10%,10%,On,On,$293.00,0%,$145000.00,$145000.00,On,On
B. 161 - Boat Maintenance Cradle Modifications (2530600),Maritime Services - Harbor Dept. Facilities,Bid and Award,Bid and Award,,07/25/2014,,,06/29/2015,06/29/2015,0%,0%,On,On,$0.00,0%,$370000.00,$370000.00,On,On
Harbor Administration Building - Backflow Replacement (2530700),Maritime Services - Harbor Dept. Facilities,Construction,Construction,07/31/2014,07/31/2014,100%,100%,06/30/2015,06/30/2015,5%,5%,On,On,$0.00,0%,$10000.00,$10000.00,On,On
B. 161 - Electrical Equipment Retrofit (2530800),Maritime Services - Harbor Dept. Facilities,Planning,Construction,,08/29/2014,,,06/23/2015,06/23/2015,0%,1%,On,On,$0.00,0%,$140000.00,$140000.00,On,On
