Date Value,Month-Year,Quarter-FY,Annual-FY,Street Resurfacing Lane Miles (FYTD),TARGET: Street Resurfacing Lane Miles (FYTD),Slurry Seal Lane Miles (FYTD),TARGET: Slurry Seal Lane Miles (FYTD),Pavement Preservation Total Lane Miles (FYTD),TARGET: Pavement Preservation Total Lane Miles (FYTD),Small Asphalt Repairs Sq. Ft. (FYTD),TARGET: Small Asphalt Repairs Sq. Ft. (FYTD),Neighborhood Council Blitz: NC's Served (FYTD),TARGET: Neighborhood Council Blitz: NC's Served (FYTD),Street Pothole Repair Turnaround: Avg Working Days (Monthly),Street Pothole Service Requests (Monthly),"Tree Emergency ""Limb Down"" Turnaround: Avg. Working Days (Monthly)","Tree Emergency ""Limb Down"" Service Requests (Monthly)",Trees trimmed by Contracted Forces (Annually FY),Street Sweeping: % of posted routes completed (Annual FY),TARGET: Street Sweeping: % of posted routes completed (Annual FY),Pedestrian Access Ramps Installed - Measure R funded program only (FYTD),TARGET: Pedestrian Access Ramps Installed - Measure R funded program only (FYTD),Pedestrian Access Ramps Installed - all funding sources (FYTD),Concrete Bus Pads Installed (FYTD),TARGET: Concrete Bus Pads Installed (FYTD),Concrete Bus Landings Installed (Annually FY),Street Resurfacing Centerline Miles (Annual FY),TARGET: Street Resurfacing Centerline Miles (Annual FY),Slurry Seal Centerline Miles (Annual FY),TARGET: Slurry Seal Centerline Miles (Annual FY),Pavement Preservation Centerline Miles (Annual FY),TARGET: Pavement Preservation Centerline Miles (Annual FY)
04/30/2013 12:00:00 AM,Apr-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/2013 12:00:00 AM,May-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,,,,,,,,,,,,,,,2894,97%,,,,1560,,,,246,,455,,701,
07/31/2013 12:00:00 AM,Jul-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/2013 12:00:00 AM,Aug-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2013 12:00:00 AM,Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2013 12:00:00 AM,Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2014 12:00:00 AM,Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2014 12:00:00 AM,Feb-14,,,,,,,,,,,,,,,1.2,171,,,,,,,,,,,,,,,
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,,,,,,,,,,,7.9,1354,1.6,307,,,,,,,,,,,,,,,
04/30/2014 12:00:00 AM,Apr-14,,,,,,,,,,,,,3.1,823,1.1,417,,,,,,,,,,,,,,,
05/31/2014 12:00:00 AM,May-14,,,,,,,,,,,,,2.5,624,2.2,734,,,,,,,,,,,,,,,
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,,,,,,,1402144,1400000,198,198,2.5,740,1.3,300,14847,95.5%,95%,893,900,1256,76,50,108,245,245,455,455,700,700
07/31/2014 12:00:00 AM,Jul-14,,,110,,186,,297,,71965,,11,,1.6,555,0.9,423,,,,,,,,,,,,,,,
08/31/2014 12:00:00 AM,Aug-14,,,198,,309,,507,,153981,,28,,1.6,580,1.1,294,,,,,,,,,,,,,,,
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,272,,434,,706,,249774,,45,,1.5,527,1.1,467,,,,184,,214,,,,,,,,,
10/31/2014 12:00:00 AM,Oct-14,,,346,,586,,932,,324842,,66,,1.4,539,0.8,258,,,,,,,,,,,,,,,
11/30/2014 12:00:00 AM,Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2015 12:00:00 AM,Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2015 12:00:00 AM,Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2015 12:00:00 AM,Mar-15,Q3 FY15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/2015 12:00:00 AM,Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/2015 12:00:00 AM,May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2015 12:00:00 AM,Jun-15,Q4 FY15,FY 2015,,800,,1200,,2000,,1400000,,198,,,,,,,95%,,,,,,,,,,,,
