Branch Name,Phone Number,Email,Council District,Location
Felipe de Neve,(213) 384-7676,felipe@lapl.org,10,"2820 W. 6th Street
Los Angeles, CA 90057
(34.063202, -118.283997)"
Granada Hills,(818) 368-5687,grnhls@lapl.org,12,"10640 Petit Avenue
Granada Hills, CA 91344
(34.264301, -118.497803)"
Frances Howard Goldwyn - Hollywood Regional,(323) 856-8260,holywd@lapl.org,13,"1623 N. Ivar Avenue
Hollywood, CA 90028
(34.1003, -118.3283)"
Hyde Park - Miriam Matthews,(323) 750-7241,hydepk@lapl.org,8,"2205 W. Florence Avenue
Los Angeles, CA 90043
(33.9748, -118.318298)"
Jefferson,(323) 734-8573,jfrson@lapl.org,10,"2211 W. Jefferson Boulevard
Los Angeles, CA 90018
(34.0257, -118.319199)"
John Muir ,(323) 789-4800,jnmuir@lapl.org,8,"1005 W. 64th Street
Los Angeles, CA 90044
(33.981602, -118.292)"
Junipero Serra,(323) 234-1685,jserra@lapl.org,9,"4607 S. Main Street
Los Angeles, CA 90037
(34.00185, -118.274147)"
Lake View Terrace,(818) 890-7404,lkview@lapl.org,7,"12002 Osborne Street
Sylmar, CA 91342
(34.272949, -118.393852)"
Lincoln Heights,(323) 226-1692,lcnhts@lapl.org,1,"2530 Workman Street
Los Angeles, CA 90031
(34.076149, -118.214104)"
Little Tokyo,(213) 612-0525,ltokyo@lapl.org,14,"203 S. Los Angeles Street
Los Angeles, CA 90012
(34.050098, -118.243797)"
Los Feliz,(323) 913-4710,lfeliz@lapl.org,4,"1874 Hillhurst Avenue
Los Angeles, CA 90027
(34.105049, -118.287201)"
Malabar,(323) 263-1497,mlabar@lapl.org,14,"2801 Wabash Avenue
Los Angeles, CA 90033
(34.050598, -118.197952)"
Mar Vista,(310) 390-3454,mrvsta@lapl.org,11,"12006 Venice Boulevard
Los Angeles, CA 90066
(34.005901, -118.429001)"
Mark Twain,(323) 755-4088,mtwain@lapl.org,8,"9621 S. Figueroa Street
Los Angeles, CA 90003
(33.948502, -118.282852)"
Memorial,(323) 938-2732,mmrial@lapl.org,4,"4625 W. Olympic Boulevard
Los Angeles, CA 90019
(34.056549, -118.331902)"
Mid-Valley Regional,(818) 895-3650,midval@lapl.org,12,"16244 Nordhoff Street
North Hills, CA 91343
(34.235401, -118.487503)"
North Hollywood Regional,(818) 766-7185,nohlwd@lapl.org,2,"5211 Tujunga Avenue
North Hollywood, CA 91601
(34.165699, -118.37915)"
Northridge,(818) 886-3640,nrthrg@lapl.org,12,"9051 Darby Avenue
Northridge, CA 91325
(34.234901, -118.533997)"
Pacoima,(818) 899-5203,pcoima@lapl.org,7,"13605 Van Nuys Boulevard
Pacoima, CA 91331
(34.2612, -118.429298)"
Palisades,(310) 459-2754,palsds@lapl.org,11,"861 Alma Real Drive
Pacific Palisades, CA 90272
(34.043999, -118.525002)"
Palms - Rancho Park,(310) 840-2142,prncho@lapl.org,5,"2920 Overland Avenue
Los Angeles, CA 90064
(34.033699, -118.41835)"
Panorama City ,(818) 894-4071,pnoram@lapl.org,6,"14345 Roscoe Boulevard
Panorama City, CA 91402
(34.221748, -118.446198)"
Pico Union,(213) 368-7545,punion@lapl.org,1,"1030 S. Alvarado Street
Los Angeles, CA 90006
(34.051399, -118.279701)"
Pio Pico - Koreatown,(213) 368-7647,piokor@lapl.org,10,"694 S. Oxford Avenue
Los Angeles, CA 90005
(34.059898, -118.307198)"
Platt,(818) 340-9386,platt@lapl.org,3,"23600 Victory Boulevard
Woodland Hills, CA 91367
(34.186249, -118.6418)"
Playa Vista,(310) 437-6680,pvista@lapl.org,11,"6400 Playa Vista Dr.
Los Angeles, CA 90094
(33.972317, -118.427132)"
Porter Ranch,(818) 360-5706,ptrran@lapl.org,12,"11371 Tampa Avenue
Porter Ranch, CA 91326
(34.27755, -118.559898)"
Robert Louis Stevenson,(323) 268-4710,rlstvn@lapl.org,14,"803 Spence Street
Los Angeles, CA 90023
(34.027599, -118.197998)"
Sherman Oaks,(818) 205-9716,shrmno@lapl.org,2,"14245 Moorpark Street
Sherman Oaks, CA 91423
(34.151199, -118.443802)"
Studio City,(818) 755-7873,studio@lapl.org,2,"12511 Moorpark Street
Studio City, CA 91604
(34.150501, -118.405602)"
Sun Valley,(818) 764-1338,sunval@lapl.org,6,"7935 Vineland Avenue
Sun Valley, CA 91352
(34.214901, -118.370598)"
Sunland - Tujunga,(818) 352-4481,snlndt@lapl.org,2,"7771 Foothill Boulevard
Tujunga, CA 91042
(34.258099, -118.301498)"
Sylmar,(818) 367-6102,sylmar@lapl.org,7,"14561 Polk Street
Sylmar, CA 91342
(34.30735, -118.45015)"
Valley Plaza,(818) 765-9251,valplz@lapl.org,2,"12311 Vanowen Street
North Hollywood, CA 91605
(34.194302, -118.4011)"
Van Nuys ,(818) 756-8453,vnnuys@lapl.org,6,"6250 Sylmar Ave
Van Nuys, CA 91401
(34.183899, -118.446297)"
Venice - Abbot Kinney Memorial,(310) 821-1769,venice@lapl.org,11,"501 S. Venice Boulevard
Venice, CA 90291
(33.987598, -118.465103)"
Vermont Square,(323) 290-7405,vmtsqr@lapl.org,9,"1201 W. 48th. Street
Los Angeles, CA 90037
(33.999699, -118.295799)"
Vernon - Leon H. Washington Jr. Memorial ,(323) 234-9106,vrnonl@lapl.org,9,"4504 S. Central Avenue
Los Angeles, CA 90011
(34.002701, -118.256104)"
Washington Irving,(323) 734-6303,wirvng@lapl.org,10,"4117 W. Washington Boulevard
Los Angeles, CA 90018
(34.039951, -118.329147)"
West Los Angeles Regional ,(310) 575-8323,westla@lapl.org,11,"11360 Santa Monica Boulevard
Los Angeles, CA 90025
(34.0457, -118.450302)"
West Valley Regional,(818) 345-9806,wvally@lapl.org,3,"19036 Vanowen Street
Reseda, CA 91335
(34.193604, -118.546898)"
Westchester - Loyola Village ,(310) 348-1096,wstchs@lapl.org,11,"7114 W. Manchester Avenue
Los Angeles, CA 90045
(33.95945, -118.417999)"
Westwood,(310) 474-1739,wwood@lapl.org,5,"1246 Glendon Avenue
Los Angeles, CA 90024
(34.0583, -118.442001)"
Wilshire,(323) 957-4550,wlshre@lapl.org,4,"149 N. Saint Andrews Pl
Los Angeles, CA 90004
(34.074299, -118.311501)"
Woodland Hills,(818) 226-0017,woodln@lapl.org,3,"22200 Ventura Boulevard
Woodland Hills, CA 91364
(34.168499, -118.610603)"
Central Library,(213) 228-7000,infonow@lapl.org,9,"630 W. 5th Street
Los Angeles, CA 90071
(34.050499, -118.255302)"
Robertson,(310) 840-2147,rbrtsn@lapl.org,5,"1719 S. Robertson Boulevard
Los Angeles, CA 90035
(34.048401, -118.386002)"
Silver Lake,(323) 913-7451,silver@lapl.org,13,"2411 Glendale Blvd
Los Angeles, CA 90039
(34.100422, -118.259598)"
