Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Records/Status Lookup - The City of Los Angeles,1361,1060,32.15,14,64.29%,9.55%
Elected Official Offices | City of Los Angeles,1305,1116,81.57,336,29.91%,37.09%
"Parks, Gardens, & Beaches | City of Los Angeles",1246,1025,64.95,21,31.82%,33.23%
Sanitation & Recycling | City of Los Angeles,1219,1040,66.67,317,48.9%,35.11%
"Permits, Licenses, and Inspections | City of Los Angeles",1213,980,32.8,99,32.67%,15.66%
Sanitation & Recycling - The City of Los Angeles,1193,995,46.51,204,46.57%,25.9%
MyLA 311 - The City of Los Angeles,1180,1006,63.64,768,42.32%,39.32%
Planning and Zoning | City of Los Angeles,1173,882,74.97,526,27.79%,32.05%
Building Construction Permits - The City of Los Angeles,1156,936,124.94,702,61.11%,53.55%
Boards and Commissions | City of Los Angeles,1122,943,200.75,220,20.34%,44.74%
Christmas Tree Recycling - The City of Los Angeles,1118,989,114.08,319,87.15%,63.95%
Request for Services or Assistance | City of Los Angeles,1114,879,85.05,19,50%,22.44%
Highlights | City of Los Angeles,1079,895,46.22,81,62.5%,31.23%
Upcoming Visitor Events | City of Los Angeles,1073,913,15.26,23,60.87%,12.86%
Tours | City of Los Angeles,1005,814,65.19,19,45%,31.64%
Other Job Opportunities | City of Los Angeles,993,425,69.17,14,58.33%,21.35%
Apply for Section 8 Housing Assistance - The City of Los Angeles,990,856,181.15,839,79.38%,78.48%
Housing & Community Investment Department (HCIDLA) Billing & Payments - The City of Los Angeles,988,730,108.48,690,42.61%,42.81%
Transportation & Parking - The City of Los Angeles,978,811,47.5,100,59%,23.11%
Volunteer Opportunities | City of Los Angeles,967,723,107.46,228,39.21%,38.68%
Art & Culture | City of Los Angeles,963,789,60.65,21,38.1%,31.36%
Contact Us - The City of Los Angeles,958,794,177.08,201,77.11%,64.41%
Animal Services | City of Los Angeles,944,794,127.16,575,32.35%,54.66%
Service Requests - The City of Los Angeles,910,749,35.37,17,41.18%,12.97%
Contact - The City of Los Angeles,891,676,200.42,237,70.64%,53.09%
Official Police Garage Tow (OPG) - LAPD | City of Los Angeles,891,768,398.41,653,64.68%,78.45%
Council Meeting Video - The City of Los Angeles,887,680,347.75,366,74.59%,63.36%
"Information, Records & Archives | City of Los Angeles",853,639,96.03,247,39.52%,39.51%
Council Committee Meeting Audio | City of Los Angeles,846,690,268.8,350,68.56%,61.7%
"Permits, Licenses, and Inspections - The City of Los Angeles",828,615,26.25,96,21.88%,11.23%
Planning and Zoning - The City of Los Angeles,807,599,45.28,339,34.51%,28.25%
Official Police Garage Tow (OPG) - LAPD - The City of Los Angeles,804,701,259.44,610,77.21%,76.24%
Holiday Trash Collection | City of Los Angeles,803,694,166.6,654,62.6%,78.58%
Neighborhood Info | City of Los Angeles,798,726,73.69,65,70.77%,46.87%
About the City Government | City of Los Angeles,794,667,97.93,57,48.28%,20.91%
Police Auctions | City of Los Angeles,787,648,251.35,639,39.1%,76.24%
Blocked Driveways | City of Los Angeles,783,688,453.76,641,65.06%,82.89%
Animal Services - The City of Los Angeles,782,614,91.6,421,59.86%,51.41%
Replacement/Repair of Curbside Trash Containers | City of Los Angeles,772,646,280.71,616,48.26%,73.83%
Public Meetings - The City of Los Angeles,758,635,253.14,285,79.3%,64.91%
Replacement/Repair of Curbside Trash Containers - The City of Los Angeles,746,688,256.41,653,86.37%,85.12%
Council District 9 - The City of Los Angeles,738,600,247.24,572,80.56%,77.64%
Part-Time & Temporary Jobs | City of Los Angeles,726,521,28.01,5,20%,17.08%
Upcoming Resident Events | City of Los Angeles,724,632,11.91,6,66.67%,5.52%
Exempt (from Civil Service) Jobs | City of Los Angeles,717,464,59.42,9,0%,29.99%
Submit Feedback | City of Los Angeles,717,532,76.28,53,63.46%,31.52%
Zoning Code Information | City of Los Angeles,687,551,181.46,454,39.47%,67.25%
Education and Personal Development | City of Los Angeles,679,569,34.05,17,35.29%,18.56%
Boards and Commissions - The City of Los Angeles,676,522,120.24,149,64.43%,43.93%
Abandoned Vehicles | City of Los Angeles,673,587,426.64,538,36.79%,82.32%
City Council | City of Los Angeles,664,564,32.38,185,27.03%,16.72%
Employment Opportunities with the City | City of Los Angeles,660,580,161.55,214,28.44%,48.18%
Abandoned Vehicles - The City of Los Angeles,659,600,262.53,547,86.29%,84.07%
Business Opportunities with the City | City of Los Angeles,643,417,133.21,175,38.42%,42.77%
Event Venues | City of Los Angeles,615,514,64.58,17,27.78%,30.57%
Police Auctions - The City of Los Angeles,602,553,227.95,548,87.59%,86.21%
Most Requested Services | City of Los Angeles,592,491,34.08,8,25%,9.46%
Tweets | City of Los Angeles,581,479,151.15,154,46.15%,36.66%
Submit Feedback - The City of Los Angeles,576,408,60.44,39,76.92%,24.65%
Customer Service | City of Los Angeles,571,446,76.7,12,25%,18.74%
Museums & Exhibits | City of Los Angeles,571,433,66.58,4,0%,22.94%
Zoning Code Information - The City of Los Angeles,554,461,161.66,392,70.48%,68.23%
Transportation & Parking | City of Los Angeles,553,468,52.65,8,50%,18.63%
Contact | City of Los Angeles,552,329,60.36,28,59.26%,19.57%
City Calendar - The City of Los Angeles,547,503,143.81,284,77.82%,61.43%
Blocked Driveways - The City of Los Angeles,540,480,287.31,453,84.33%,81.85%
Site Map - The City of Los Angeles,540,433,50.93,18,61.11%,17.59%
Education and Personal Development - The City of Los Angeles,538,442,15.01,10,50%,8.74%
Neighborhoods - The City of Los Angeles,534,381,108.21,58,65.52%,36.33%
Los Angeles Convention Center Calendar of Events - The City of Los Angeles,523,434,98.08,425,75.76%,75.33%
Marine Aquarium | City of Los Angeles,511,355,30.18,8,11.11%,20.94%
Elected Official Offices - The City of Los Angeles,510,391,50.73,73,57.53%,22.16%
Zoo | City of Los Angeles,495,374,44.5,8,37.5%,23.23%
Pick Up Preferential Parking Permits - The City of Los Angeles,494,435,191.42,405,78.27%,78.54%
About the Council Member - The City of Los Angeles,490,385,98.42,96,75%,39.59%
Parking Citation - Contest | City of Los Angeles,476,388,231.76,307,36.86%,67.86%
Ultra-Low Flush Toilet Rebate | City of Los Angeles,472,373,142.06,365,73.97%,73.09%
City Council - The City of Los Angeles,471,383,45.38,77,45.45%,16.99%
Recreation | City of Los Angeles,458,299,71.18,13,7.14%,13.1%
Pick Up Preferential Parking Permits | City of Los Angeles,451,398,328.41,379,47.14%,77.83%
Utilities | City of Los Angeles,451,371,43.47,129,41.86%,24.83%
Executive Jobs | City of Los Angeles,450,309,26.63,2,50%,19.56%
How Many Dogs And Cats Can I Have At My Home | City of Los Angeles,444,408,205.58,385,89.09%,87.61%
Section 8 Property Listing | City of Los Angeles,443,370,212.16,352,49.44%,73.14%
About the City Government - The City of Los Angeles,440,354,88.3,46,63.04%,25.45%
"Council, Council Committees, & Ad Hoc Committees | City of Los Angeles",439,360,99.3,210,48.8%,41.91%
Report a Violation/Fraud | City of Los Angeles,438,323,78.13,9,33.33%,25.57%
877 ASK-LAPD - Non-emergency Police Service | City of Los Angeles,428,383,335.99,355,75%,80.84%
Traffic Accidents/Collisions - LAPD | City of Los Angeles,419,372,253.13,362,70.17%,82.1%
Los Angeles Convention Center Calendar of Events | City of Los Angeles,414,339,183.98,325,42.46%,74.4%
City Employee Salary Information | City of Los Angeles,400,340,250.83,285,32.98%,70.75%
Construction Permits & Inspections | City of Los Angeles,399,290,79.34,48,18.75%,30.58%
Building & Safety Property Violation Complaints - The City of Los Angeles,391,332,220.01,250,77.2%,67.52%
Utilities - The City of Los Angeles,390,337,40.63,136,56.62%,28.21%
Transportation and Parking | City of Los Angeles,386,331,76.83,12,45.45%,23.32%
Certificate of Occupancy General Information | City of Los Angeles,385,318,210.48,285,39.16%,57.4%
Holiday Trash Collection - The City of Los Angeles,383,361,63.21,205,83.9%,65.8%
"Arts, Parks, Health, Aging and River Committee Meeting | City of Los Angeles",382,266,108.8,10,30%,39.01%
Other Business Operation Permits | City of Los Angeles,379,292,64.49,52,32.69%,21.64%
About Gilbert Cedillo - The City of Los Angeles,373,291,108.33,100,56.57%,33.24%
Public Safety Jobs | City of Los Angeles,357,298,20.62,6,33.33%,14.29%
"Los Angeles City Council, Supplemental Agenda | City of Los Angeles",355,214,56.25,3,0%,12.68%
Map Of Districts | City of Los Angeles,355,317,315.21,13,27.78%,44.23%
Building & Safety Property Violation Complaints | City of Los Angeles,347,301,266.62,242,54.29%,70.89%
Committee Assignments | City of Los Angeles,343,242,102.73,7,20%,43.15%
Traffic Accidents/Collisions - LAPD - The City of Los Angeles,343,303,241.67,296,83.78%,80.76%
tweets - The City of Los Angeles,341,302,136.41,44,70.45%,41.94%
Most Requested Services for Job-seekers | City of Los Angeles,340,288,41.41,3,0%,14.41%
Fraud/Violation Reporting | City of Los Angeles,333,247,95.47,132,28.03%,36.04%
Parking Citation - Contest - The City of Los Angeles,332,292,152.4,205,69.27%,65.96%
Section 8 Property Listing - The City of Los Angeles,330,277,129.79,268,76.87%,74.55%
Subscriptions | City of Los Angeles,326,242,28.61,6,33.33%,14.11%
Housing Committee Meeting | City of Los Angeles,323,227,101.44,15,20%,37.77%
Juvenile Detention Centers - (LAPD and County) | City of Los Angeles,323,280,116.17,279,73.48%,76.47%
Real-Time/GIS Maps - The City of Los Angeles,323,197,103.91,92,57.61%,35.6%
Building Inspection | City of Los Angeles,322,270,155.65,216,46.3%,61.18%
Police Reports (How to make reports/obtain copies) - The City of Los Angeles,320,289,175.13,271,84.5%,83.13%
Most Requested Services for Residents | City of Los Angeles,319,273,43.83,5,60%,11.91%
Driving Direction - The City of Los Angeles,311,251,128.63,33,90.91%,38.91%
Neighborhood Councils | City of Los Angeles,311,249,154.72,214,64.98%,64.95%
Most Requested Services for Visitors | City of Los Angeles,310,263,73.22,7,22.22%,23.87%
Police Reports (How to make reports/obtain copies) | City of Los Angeles,310,286,290.45,271,75.65%,79.03%
Council Committee Meeting Audio - The City of Los Angeles,308,251,221.84,85,70.59%,61.04%
Property Activity Report - The City of Los Angeles,308,257,106.73,242,75.62%,73.05%
Parking Enforcement Officer Misconduct Complaints | City of Los Angeles,306,284,224.18,222,57.85%,71.57%
Public Infrastructure & Landscape | City of Los Angeles,303,273,65.95,6,100%,26.73%
Environmental Services | City of Los Angeles,301,239,30.01,5,20%,6.64%
City Employee Salary Information - The City of Los Angeles,295,247,147.57,192,73.96%,63.73%
Submit Reservation Or Registration | City of Los Angeles,292,228,36.65,10,70%,13.36%
Health & Human Services - The City of Los Angeles,291,222,47.75,68,50%,26.8%
Public Safety and Emergency Services | City of Los Angeles,283,246,31.78,4,25%,13.07%
Employment Opportunities with the City - The City of Los Angeles,282,231,80.36,63,34.92%,37.94%
Fence Heights Code | City of Los Angeles,280,231,271.34,225,28.07%,76.07%
Public Safety & Emergency Services - The City of Los Angeles,278,232,54.18,8,25%,12.23%
877 ASK-LAPD - Non-emergency Police Service - The City of Los Angeles,277,249,205.7,217,84.33%,79.42%
First-Time Homebuyer Assistance - The City of Los Angeles,261,233,179.83,231,83.98%,84.29%
Trash Collection | City of Los Angeles,261,218,78.77,5,40%,42.15%
Public Infrastructure & Landscape - The City of Los Angeles,260,212,45.04,9,44.44%,18.85%
Certificate of Occupancy General Information - The City of Los Angeles,258,224,177.82,190,64.74%,63.95%
Emergency Medical Services Billing | City of Los Angeles,257,206,248.71,196,68.37%,69.26%
Parking Control & Enforcement | City of Los Angeles,254,209,75.27,6,42.86%,30.71%
Reporting Stolen Cars - LAPD | City of Los Angeles,252,230,613.94,217,71.82%,87.7%
"City Laws, Codes and Ordinances | City of Los Angeles",251,210,150.4,138,26.09%,47.81%
Disabled Parking Zones (Blue Curb) | City of Los Angeles,251,174,357.03,166,50.3%,62.55%
Environmental Services - The City of Los Angeles,249,185,38.63,11,27.27%,7.63%
Reporting Stolen Cars - LAPD - The City of Los Angeles,249,217,479.33,209,84.69%,84.34%
Ultra-Low Flush Toilet Rebate - The City of Los Angeles,249,201,197.45,192,79.17%,75.1%
Elections and Voting | City of Los Angeles,248,229,63.19,91,45.65%,41.13%
Parking Enforcement Officer Misconduct Complaints - The City of Los Angeles,248,231,152.02,180,82.78%,80.24%
Press Releases | City of Los Angeles,248,208,61.23,7,44.44%,29.44%
Budget & Finance Committee Meeting | City of Los Angeles,246,155,99.52,5,40%,23.17%
Graffiti Removal - Community Beautification | City of Los Angeles,245,215,221.41,151,42.76%,69.39%
Street Use Permits | City of Los Angeles,241,191,151.01,149,34%,62.66%
Neighborhood Councils - The City of Los Angeles,239,187,140.36,150,70.67%,60.25%
View Real-Time/GIS Maps | City of Los Angeles,238,179,45.85,3,33.33%,22.27%
Construction References & Resources | City of Los Angeles,235,180,78.92,6,14.29%,23.4%
Household Appliance Pick-Up (White Goods) | City of Los Angeles,234,213,432.27,207,61.72%,85.9%
El Pueblo Historical Monument | City of Los Angeles,232,188,56.42,8,62.5%,27.16%
Building Inspection - The City of Los Angeles,231,192,135.13,136,63.97%,56.28%
Business Assistance | City of Los Angeles,227,197,19.48,2,0%,10.13%
Health & Human Services | City of Los Angeles,225,187,57.76,7,42.86%,14.67%
Planning and Land Use Management Committee Meeting | City of Los Angeles,225,124,49.29,8,50%,19.11%
Trash Container Services | City of Los Angeles,219,191,247.54,117,52.54%,71.23%
Los Angeles World Airports | City of Los Angeles,217,192,139.46,3,33.33%,33.18%
"City Laws, Codes and Ordinances - The City of Los Angeles",215,180,100.28,147,56.46%,52.56%
Council District 13 - The City of Los Angeles,215,150,97.14,137,43.07%,45.12%
Government Finance | City of Los Angeles,215,179,73.18,4,20%,26.51%
Special Item Collection | City of Los Angeles,215,177,77.42,17,17.65%,36.28%
Top Ten Popular City Council Files | City of Los Angeles,213,182,227.77,69,28.77%,41.31%
Calendar for Visitors - The City of Los Angeles,212,191,47.15,3,66.67%,22.17%
How Many Dogs And Cats Can I Have At My Home - The City of Los Angeles,209,194,85.78,115,90.43%,71.29%
Graffiti Removal - Community Beautification - The City of Los Angeles,207,181,232.1,139,74.1%,71.01%
Co.lumb,205,98,808.09,95,45.26%,45.85%
Energy and the Environment Committee Meeting | City of Los Angeles,205,135,99.34,3,50%,33.17%
"Council, Council Committees, & Ad Hoc Committees - The City of Los Angeles",204,168,87.66,67,62.69%,42.16%
Port of Los Angeles Appoints Marla Bleavins as CFO | City of Los Angeles,202,153,85.84,28,35.71%,30.69%
"Los Angeles City Council Agenda, Special Meeting | City of Los Angeles",201,144,99.71,3,0%,28.86%
Committees - The City of Los Angeles,199,154,100.7,17,47.06%,23.62%
Los Angeles Convention Center Parking | City of Los Angeles,198,180,315.19,178,58.99%,86.87%
Contract Bid Opportunities for Businesses | City of Los Angeles,197,152,154.17,105,28.3%,57.87%
Elected Official Records | City of Los Angeles,197,170,32.06,2,100%,10.15%
Juvenile Detention Centers - (LAPD and County) - The City of Los Angeles,194,161,83.64,153,69.28%,67.01%
Records and Identification Division (R & I) - LAPD | City of Los Angeles,194,166,131.53,119,65.55%,62.37%
Home Repair & Rehabilitation Assistance for Homeowners | City of Los Angeles,193,167,209.04,126,51.97%,60.1%
Leash Law | City of Los Angeles,193,169,204.84,158,77.85%,77.72%
Fence Heights Code - The City of Los Angeles,191,166,188.78,160,81.88%,80.63%
Board of Public Works Meetings | City of Los Angeles,189,137,241.88,81,65.43%,58.73%
Development Services | City of Los Angeles,189,134,77.09,16,26.67%,18.52%
"Innovation, Technology and General Services Committee Meeting | City of Los Angeles",189,125,128.82,1,100%,25.93%
Planning and Land Use Management Committee Meeting - REVISED | City of Los Angeles,188,127,99.4,2,0%,34.04%
Airport Services - The City of Los Angeles,186,146,100.77,19,73.68%,34.95%
Board of Public Works AGENDA | City of Los Angeles,186,133,55.62,5,33.33%,20.43%
Financial Assistance | City of Los Angeles,186,145,68.98,11,54.55%,29.57%
"Birth, Marriage, Death Certificates | City of Los Angeles",185,172,272.79,99,51.96%,82.16%
Council District 14 | City of Los Angeles,185,168,204.24,156,54.14%,68.11%
Domestic Violence Shelter Operations - The City of Los Angeles,185,158,202.17,154,85.06%,81.08%
Request Parking Restrictions | City of Los Angeles,185,139,265.27,107,44.55%,65.41%
Personnel & Animal Welfare Committee Meeting | City of Los Angeles,184,119,111.47,9,0%,25%
Dead Animal Collection | City of Los Angeles,183,168,276.1,122,68.85%,78.14%
Economic Development Committee Meeting | City of Los Angeles,183,129,109.79,5,0%,26.78%
FAQs - The City of Los Angeles,183,139,82.44,31,61.29%,32.24%
Domestic Violence Shelter Operations | City of Los Angeles,178,153,485.89,149,64.67%,84.27%
Household Appliance Pick-Up (White Goods) - The City of Los Angeles,178,160,137.09,147,85.03%,82.02%
Public Safety Committee Meeting | City of Los Angeles,178,126,125.51,3,0%,31.46%
Emergency Medical Services Billing - The City of Los Angeles,177,143,217.54,133,66.92%,66.67%
Certificate of Occupancy | City of Los Angeles,175,138,130.91,82,41.46%,54.29%
Personnel Division - LAPD - The City of Los Angeles,175,162,101.19,147,87.07%,81.71%
Press Releases - The City of Los Angeles,173,119,55.22,43,46.51%,28.32%
Submitted - The City of Los Angeles,172,166,43.75,9,44.44%,40.12%
GIS Maps and Statistics | City of Los Angeles,171,123,66.32,16,37.5%,31.58%
Housing & Community Investment Department (HCIDLA) General Information | City of Los Angeles,170,139,127.45,103,48.08%,51.76%
Internship Opportunities | City of Los Angeles,170,115,40.98,25,8%,21.18%
Leash Law - The City of Los Angeles,169,152,173.87,128,84.38%,77.51%
MyLA 311 Frequently Asked Questions | City of Los Angeles,169,152,101.39,49,44.9%,43.2%
Property Activity Report | City of Los Angeles,168,141,198.34,119,40.83%,70.24%
Request for School Crossing Guard | City of Los Angeles,168,121,170.74,114,48.25%,56.55%
"Birth, Marriage, Death Certificates - The City of Los Angeles",165,151,144.11,80,88.75%,72.73%
Trash Container Services - The City of Los Angeles,164,152,165.44,78,71.79%,65.24%
Garcetti Series 2013-Present | City of Los Angeles,161,146,192.75,82,28.4%,47.83%
Recreation - The City of Los Angeles,161,147,29.32,8,25%,12.42%
Rent Control | City of Los Angeles,158,119,58.6,4,50%,23.42%
Temporary Tow Away Signs | City of Los Angeles,158,129,121,105,66.98%,66.46%
Los Angeles Police Athletic and Revolver Club - The City of Los Angeles,155,137,162.69,137,84.67%,83.23%
Elections and Voting - The City of Los Angeles,152,133,58,58,77.59%,45.39%
Garage Sales-City Business Tax info | City of Los Angeles,152,126,165.53,104,70.19%,59.21%
Government Finance - The City of Los Angeles,152,110,67.46,3,100%,21.71%
Learn from Online Training | City of Los Angeles,152,117,57.3,6,0%,16.45%
Most Requested Services for Businesses | City of Los Angeles,151,117,43.88,0,0%,9.27%
Property Violations | City of Los Angeles,151,132,276.04,69,56.34%,62.91%
Request Parking Restrictions - The City of Los Angeles,151,131,189,65,72.31%,56.95%
Report Illegal Dumping | City of Los Angeles,150,130,318,79,51.25%,67.33%
Report streetlight outages | City of Los Angeles,149,131,353.07,113,54.39%,81.21%
Dead Animal Collection - The City of Los Angeles,147,131,181.84,98,86.73%,78.91%
"Los Angeles City Council, Supplemental Agenda No. 2 | City of Los Angeles",147,81,27.46,1,0%,10.2%
SORONC Public Safety Agenda | City of Los Angeles,144,58,28.29,0,0%,4.17%
Tree Trimming/Pruning Permits | City of Los Angeles,144,127,185.04,102,43.69%,67.36%
"Department Commissions, Committees, & Boards - The City of Los Angeles",143,122,155.59,61,55.74%,48.95%
Personnel Division - LAPD | City of Los Angeles,143,129,166.81,121,78.51%,78.32%
Rent Stabilization Ordinance information - The City of Los Angeles,143,115,189.61,71,61.97%,60.84%
S.A.F.E Centers: Permanent Collection Centers | City of Los Angeles,142,132,295.58,84,59.77%,83.1%
Disabled Parking Zones (Blue Curb) - The City of Los Angeles,140,120,327.09,111,81.98%,75%
Report streetlight outages - The City of Los Angeles,140,126,185.81,111,81.08%,77.86%
Building and Safety Records | City of Los Angeles,139,125,182.19,66,36.76%,58.27%
First-Time Homebuyer Assistance | City of Los Angeles,139,122,716.09,116,41.03%,84.17%
3-1-1 Call Center - The City of Los Angeles,138,127,72.12,12,66.67%,41.3%
Council District 14 - The City of Los Angeles,138,121,177.49,111,74.77%,68.84%
Rent Escrow Account Program (REAP) | City of Los Angeles,138,120,324.62,113,67.54%,78.99%
Top Ten Popular Council Files - The City of Los Angeles,138,131,97.27,15,60%,34.06%
Council District 3 - The City of Los Angeles,137,105,99.37,100,66%,64.23%
Water and Power Employees' Retirement - The City of Los Angeles,137,101,262.96,99,68.69%,60.58%
Contract Bid Opportunities for Businesses - The City of Los Angeles,134,108,157.35,75,72%,58.96%
DWP Personnel Employment Verification | City of Los Angeles,133,123,157.32,113,82.3%,81.2%
City of Los Angeles Office of Finance Paperless Statements Program | City of Los Angeles,132,113,134.7,5,40%,36.36%
Most Requested Services for Job Seekers - The City of Los Angeles,132,112,34.57,4,25%,11.36%
Personnel Department Employee Benefits | City of Los Angeles,132,117,223.57,70,43.66%,64.39%
Rent Escrow Account Program (REAP) - The City of Los Angeles,130,120,89.28,118,90.68%,86.15%
Bus Transportation | City of Los Angeles,129,100,66.66,2,50%,25.58%
"Department Commissions, Committees & Boards | City of Los Angeles",128,105,85.16,28,64.29%,40.63%
Rent Stabilization Ordinance information | City of Los Angeles,128,99,214.64,61,40.98%,52.34%
Report a Property Violation | City of Los Angeles,128,110,148.54,31,43.75%,42.19%
Fire Permits General Information | City of Los Angeles,126,109,318.55,93,43.62%,65.08%
Report Illegal Dumping - The City of Los Angeles,126,117,229.04,67,73.13%,64.29%
Zone Info & Map Access System (ZIMAS) Tech Support - The City of Los Angeles,125,110,110.54,100,79%,77.6%
Code Enforcement | City of Los Angeles,124,104,111.17,5,75%,28.23%
Family Source Centers - The City of Los Angeles,124,116,180.47,74,86.49%,60.48%
