Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
MyLA 311 Service Request - The City of Los Angeles,3633,2837,0:02:54,1102,67.42%,54.23%
Permits & Licenses - The City of Los Angeles,3539,2511,0:00:49,915,38.14%,24.3%
Council District 1 - The City of Los Angeles,3360,2177,0:01:24,1997,50.18%,42.26%
Impounded/Towed Vehicle - The City of Los Angeles,3294,2820,0:04:35,2659,80.11%,78.11%
MyLA 311 - The City of Los Angeles,3163,2726,0:01:09,2116,41.82%,39.9%
Apply for Section 8 Housing Assistance - The City of Los Angeles,2912,2510,0:03:23,2462,80.71%,79.22%
Building Construction Permits - The City of Los Angeles,2858,2338,0:01:58,1832,58.3%,55.11%
Council Meeting Video - The City of Los Angeles,2723,2157,0:04:44,1040,78.46%,65.63%
"Permits, Licenses, and Inspections - The City of Los Angeles",2419,1807,0:00:23,188,27.13%,8.27%
Records/Status Lookup - The City of Los Angeles,2408,1834,0:00:33,24,37.5%,9.76%
Service Requests - The City of Los Angeles,2333,1809,0:00:38,46,47.83%,12.47%
Council District 6 - The City of Los Angeles,2256,1354,0:00:59,1162,41.48%,34.88%
Animal Services - The City of Los Angeles,2198,1707,0:01:11,1252,56.95%,49.04%
Planning and Zoning - The City of Los Angeles,2178,1559,0:00:54,776,35.95%,28.1%
Public Meetings - The City of Los Angeles,2061,1780,0:04:22,803,72.98%,64.29%
Sanitation & Recycling - The City of Los Angeles,1841,1541,0:01:06,422,51.9%,32.54%
Official Police Garage Tow (OPG) - LAPD - The City of Los Angeles,1729,1492,0:03:57,1289,79.29%,76.58%
Transportation & Parking - The City of Los Angeles,1657,1409,0:00:54,202,64.85%,24.44%
Boards and Commissions - The City of Los Angeles,1504,1228,0:02:09,268,66.04%,43.75%
Replacement/Repair of Curbside Trash Containers - The City of Los Angeles,1431,1328,0:03:19,1232,84.9%,83.72%
City Calendar - The City of Los Angeles,1427,1298,0:02:53,625,74.56%,57.53%
City Council - The City of Los Angeles,1391,1085,0:00:49,267,39.33%,20.99%
Abandoned Vehicles - The City of Los Angeles,1373,1250,0:03:43,1006,86.08%,81.06%
Blocked Driveways - The City of Los Angeles,1369,1217,0:03:59,814,81.08%,74.21%
Police Auctions - The City of Los Angeles,1313,1172,0:03:22,1141,84.4%,83.47%
Elected Official Offices - The City of Los Angeles,1298,994,0:00:56,185,63.78%,22.27%
Zoning Code Information - The City of Los Angeles,1246,1005,0:02:35,835,62.63%,58.75%
About the City Government - The City of Los Angeles,1148,901,0:01:45,112,63.39%,23.87%
Council Committee Meeting Audio - The City of Los Angeles,1129,855,0:04:09,278,66.19%,56.16%
Utilities - The City of Los Angeles,1128,936,0:00:41,358,58.38%,31.29%
Education and Personal Development - The City of Los Angeles,1114,914,0:00:22,13,23.08%,10.95%
Pick Up Preferential Parking Permits - The City of Los Angeles,1102,948,0:03:45,875,76.91%,74.95%
Contact Us - The City of Los Angeles,1082,918,0:03:35,300,76%,69.04%
Submit Feedback - The City of Los Angeles,1070,849,0:01:15,65,66.15%,24.11%
Section 8 Property Listing - The City of Los Angeles,1004,754,0:03:43,729,71.47%,68.73%
Site Map - The City of Los Angeles,988,786,0:01:04,27,55.56%,19.43%
Employment Opportunities with the City - The City of Los Angeles,929,761,0:01:41,220,47.27%,37.24%
877 ASK-LAPD - Non-emergency Police Service - The City of Los Angeles,876,789,0:04:02,736,86.28%,82.76%
Traffic Accidents/Collisions - LAPD - The City of Los Angeles,862,769,0:03:32,748,83.29%,82.02%
Council District 9 - The City of Los Angeles,835,685,0:04:04,663,82.2%,79.16%
Contact - The City of Los Angeles,796,619,0:03:31,184,77.72%,53.27%
Parking Citation - Contest - The City of Los Angeles,775,656,0:03:15,497,74.85%,69.94%
tweets - The City of Los Angeles,710,606,0:01:49,71,73.24%,38.03%
Building & Safety Property Violation Complaints - The City of Los Angeles,694,617,0:02:48,416,72.84%,64.84%
Leash Law - The City of Los Angeles,691,602,0:03:05,548,84.85%,78.44%
"Council, Council Committees, & Ad Hoc Committees - The City of Los Angeles",685,575,0:01:36,262,55.73%,39.71%
Public Infrastructure & Landscape - The City of Los Angeles,663,552,0:00:52,40,62.5%,21.12%
City Employee Salary Information - The City of Los Angeles,660,540,0:02:50,382,68.59%,61.36%
Driving Direction - The City of Los Angeles,657,543,0:02:03,50,68%,32.57%
Parking Enforcement Officer Complaints - The City of Los Angeles,652,582,0:02:22,441,75.28%,70.09%
Public Safety & Emergency Services - The City of Los Angeles,648,531,0:00:35,12,66.67%,13.58%
Certificate of Occupancy General Information - The City of Los Angeles,644,553,0:03:15,476,68.7%,65.84%
First-Time Homebuyer Assistance - The City of Los Angeles,620,547,0:04:33,541,85.58%,83.55%
"Department Commissions, Committees, & Boards - The City of Los Angeles",612,512,0:01:53,274,67.52%,51.8%
Health & Human Services - The City of Los Angeles,607,484,0:00:48,117,43.59%,19.6%
Ultra-Low Flush Toilet Rebate - The City of Los Angeles,601,514,0:03:33,505,80.4%,79.2%
Holiday Trash Collection - The City of Los Angeles,594,562,0:02:31,408,83.58%,78.96%
Building Inspection - The City of Los Angeles,583,505,0:02:35,371,60.65%,58.49%
Neighborhood Councils - The City of Los Angeles,580,461,0:02:23,375,66.93%,61.03%
Environmental Services - The City of Los Angeles,561,453,0:00:33,42,50%,9.63%
Police Reports (How to make reports/obtain copies) - The City of Los Angeles,548,492,0:04:09,470,81.91%,79.74%
Fence Heights Code - The City of Los Angeles,543,420,0:04:10,394,74.62%,69.06%
Real-Time/GIS Maps - The City of Los Angeles,520,330,0:01:38,158,58.86%,39.04%
Neighborhoods - The City of Los Angeles,485,353,0:02:09,32,56.25%,35.67%
Press Releases - The City of Los Angeles,475,339,0:01:09,97,59.79%,27.37%
Alert LA (Emergency Alerts for Los Angeles) - The City of Los Angeles,474,413,0:01:36,407,82.8%,80.8%
Reporting Stolen Cars - LAPD - The City of Los Angeles,470,418,0:03:53,402,87.06%,85.74%
Los Angeles Convention Center Calendar of Events - The City of Los Angeles,468,402,0:02:22,393,77.1%,74.79%
Trash Container Services - The City of Los Angeles,468,406,0:03:17,222,64.41%,61.32%
Street Use Permits - The City of Los Angeles,450,382,0:02:17,268,66.79%,61.11%
Household Appliance Pick-Up (White Goods) - The City of Los Angeles,441,403,0:05:08,386,87.31%,84.81%
Submitted - The City of Los Angeles,440,397,0:00:52,41,82.93%,46.82%
School Crossing Guard - The City of Los Angeles,439,342,0:03:27,316,68.04%,60.82%
Graffiti Removal - Community Beautification - The City of Los Angeles,424,368,0:03:12,252,78.97%,68.87%
About the Council Member - The City of Los Angeles,418,336,0:01:04,87,65.52%,42.82%
Domestic Violence Shelter Operations - The City of Los Angeles,417,358,0:04:31,340,81.76%,79.62%
Dead Animal Collection - The City of Los Angeles,401,371,0:03:23,297,86.2%,80.3%
Recreation - The City of Los Angeles,396,346,0:00:27,14,50%,12.37%
Business Assistance - The City of Los Angeles,384,315,0:00:23,12,41.67%,10.68%
FAQs - The City of Los Angeles,382,296,0:01:24,42,59.52%,31.94%
Subscriptions - The City of Los Angeles,369,228,0:00:45,60,23.33%,8.13%
About Gilbert Cedillo - The City of Los Angeles,367,298,0:01:54,94,57.45%,35.97%
How Many Dogs And Cats Can I Have At My Home - The City of Los Angeles,355,325,0:01:43,177,80.23%,65.63%
Certificate of Occupancy - The City of Los Angeles,354,299,0:03:19,218,60.09%,61.02%
"City Laws, Codes and Ordinances - The City of Los Angeles",354,288,0:02:10,202,53.47%,49.44%
Government Finance - The City of Los Angeles,352,252,0:00:51,12,58.33%,24.43%
Top Ten Popular Council Files - The City of Los Angeles,349,303,0:02:07,25,92%,37.54%
DWP Personnel Employment Verification - The City of Los Angeles,330,288,0:02:52,242,76.03%,66.97%
Education & Personal Development - The City of Los Angeles,322,262,0:01:06,13,53.85%,17.08%
Temporary Tow Away Signs - The City of Los Angeles,322,274,0:02:58,217,76.96%,68.63%
Request Parking Restrictions - The City of Los Angeles,321,275,0:02:32,122,75.41%,57.94%
Home Repair & Rehabilitation Assistance for Homeowners - The City of Los Angeles,317,257,0:03:09,171,71.93%,54.57%
Inspection of Seismic Gas Shut-Off Valve - The City of Los Angeles,317,267,0:03:31,249,78.71%,76.34%
Property Activity Report - The City of Los Angeles,316,260,0:02:07,235,75.74%,71.2%
Juvenile Detention Centers - (LAPD and County) - The City of Los Angeles,312,257,0:01:48,249,69.88%,70.19%
Zone Info & Map Access System (ZIMAS) Tech Support - The City of Los Angeles,310,256,0:02:17,208,70.67%,64.84%
Report Illegal Dumping - The City of Los Angeles,307,284,0:02:52,137,77.37%,63.19%
Elections and Voting - The City of Los Angeles,304,242,0:01:06,104,62.5%,33.22%
Water and Power Customer Service Centers - The City of Los Angeles,303,261,0:03:54,253,79.45%,77.89%
(not set),301,244,0:00:26,19,47.37%,12.96%
Calendar for Visitors - The City of Los Angeles,301,277,0:00:46,5,60%,22.59%
Airport Services - The City of Los Angeles,275,226,0:01:19,34,76.47%,32%
Emergency Medical Services Billing - The City of Los Angeles,262,218,0:01:50,189,76.72%,71.76%
Family Source Centers - The City of Los Angeles,260,227,0:02:07,140,80.71%,55.38%
Board of Public Works Meetings - The City of Los Angeles,259,193,0:04:13,77,74.03%,59.46%
Housing & Community Investment Department (HCIDLA) Billing & Payments - The City of Los Angeles,259,214,0:02:29,182,60.44%,58.3%
Fire Permits General Information - The City of Los Angeles,255,207,0:02:25,169,65.68%,60.78%
Free Mulch - The City of Los Angeles,252,213,0:03:16,190,82.63%,76.59%
Tree Trimming/Pruning Permits - The City of Los Angeles,251,215,0:02:23,154,74.68%,68.13%
Contract Bid Opportunities for Businesses - The City of Los Angeles,249,220,0:03:41,149,66.44%,65.86%
Report streetlight outages - The City of Los Angeles,246,226,0:02:52,191,80.63%,77.64%
Bee Control - The City of Los Angeles,245,221,0:04:34,191,82.72%,79.59%
Track4LA Online Insurance Compliance System - The City of Los Angeles,244,205,0:01:57,189,73.54%,72.95%
Most Requested Services for Job Seekers - The City of Los Angeles,243,205,0:00:29,3,33.33%,11.11%
Bulky Item Pick-up for Apartments and Condos - The City of Los Angeles,240,212,0:02:59,83,78.31%,58.75%
Garage Sales-City Business Tax info - The City of Los Angeles,237,190,0:03:26,159,68.55%,63.29%
Rent Stabilization Ordinance information - The City of Los Angeles,235,200,0:03:18,133,66.92%,62.98%
Los Angeles Convention Center Parking - The City of Los Angeles,232,213,0:02:22,206,84.47%,83.19%
Building and Safety Records - The City of Los Angeles,231,200,0:03:02,113,65.49%,58.87%
Property Violations - The City of Los Angeles,230,192,0:02:21,100,77%,59.13%
Personnel Department Employee Benefits - The City of Los Angeles,219,186,0:02:02,116,74.14%,61.64%
Disabled Parking Zones - The City of Los Angeles,215,174,0:04:33,151,75.5%,67.91%
Council District 13 - The City of Los Angeles,213,154,0:01:06,139,44.6%,45.54%
Office of the City Administrative Officer Personnel Information - The City of Los Angeles,211,201,0:00:57,9,77.78%,20.38%
Filming Permits / Filming Complaints - The City of Los Angeles,208,193,0:02:42,169,85.21%,82.69%
Housing Authority General Information - The City of Los Angeles,208,168,0:02:28,145,61.38%,60.1%
"Birth, Marriage, Death Certificates - The City of Los Angeles",207,179,0:03:18,60,78.33%,62.8%
Barking Dogs - The City of Los Angeles,206,183,0:02:49,148,88.51%,78.16%
Committees - The City of Los Angeles,206,161,0:01:35,16,62.5%,22.33%
Rent Escrow Account Program (REAP) - The City of Los Angeles,200,176,0:03:23,168,80.36%,77%
Spay/Neuter - The City of Los Angeles,198,159,0:04:01,156,74.36%,74.24%
"Stray, Sick or Injured Animal - The City of Los Angeles",198,176,0:03:38,134,87.31%,81.31%
Elected Official Records - The City of Los Angeles,194,157,0:00:54,7,57.14%,11.86%
Police Stations (Front Desk / Public Counter - 25 locations) - The City of Los Angeles,194,177,0:04:13,168,86.31%,84.02%
Preferential Parking Districts - The City of Los Angeles,194,169,0:02:27,93,70.97%,57.73%
Personnel Division - LAPD - The City of Los Angeles,193,171,0:00:55,154,83.12%,76.17%
Council District 3 - The City of Los Angeles,192,140,0:01:07,138,62.32%,59.38%
Most Requested Services for Residents - The City of Los Angeles,192,148,0:00:42,3,66.67%,9.38%
Registrations & Reservations - The City of Los Angeles,190,155,0:00:45,3,0%,12.11%
Rent Control / Rent Stabilization Violation Complaints - The City of Los Angeles,188,170,0:03:19,98,79.59%,69.15%
To Report Section 8 Fraud - The City of Los Angeles,188,165,0:04:23,162,82.72%,81.38%
Villaraigosa Series 2005-2013 - The City of Los Angeles,187,112,0:01:41,3,100%,29.95%
All Video Results - The City of Los Angeles,175,140,0:01:37,9,77.78%,24%
Housing & Community Investment Department (HCIDLA) General Information - The City of Los Angeles,175,153,0:02:37,106,56.6%,54.29%
Communications Division - LAPD - The City of Los Angeles,173,148,0:02:24,133,75.19%,71.68%
Job Opportunities For City Employees Only - The City of Los Angeles,169,149,0:01:12,9,44.44%,31.36%
Street Tree Planting Program - The City of Los Angeles,169,153,0:02:38,98,84.69%,65.09%
Animal Service Centers - The City of Los Angeles,168,136,0:02:15,67,71.64%,60.71%
City Hall Docents - The City of Los Angeles,166,136,0:01:57,72,70.83%,54.22%
Free Child Car Seat & Training Class - The City of Los Angeles,166,145,0:04:48,138,83.33%,81.33%
LA's BEST After School Enrichment Program - The City of Los Angeles,166,141,0:04:03,130,77.69%,72.89%
3-1-1 Call Center - The City of Los Angeles,162,151,0:01:38,23,60.87%,37.04%
Garcetti Series 2013-Present - The City of Los Angeles,161,149,0:02:21,6,83.33%,40.37%
Leaf Blower Complaints - The City of Los Angeles,161,150,0:05:13,135,88.15%,83.23%
Volunteer & internship opportunities with HCIDLA - The City of Los Angeles,161,148,0:01:21,55,72.73%,46.58%
Council District 7 - The City of Los Angeles,157,104,0:00:57,98,36.73%,38.22%
Records and Identification Division (R & I) - LAPD - The City of Los Angeles,157,139,0:02:20,111,85.59%,75.16%
Housing Authority Employment Opportunities - The City of Los Angeles,155,137,0:02:28,87,67.82%,54.19%
Inspection of Elevators - The City of Los Angeles,152,125,0:03:08,115,73.91%,64.47%
GIS Download Data Shapefiles Department of City Planning - The City of Los Angeles,150,138,0:02:44,96,79.17%,68.67%
Fire Hydrants - The City of Los Angeles,149,133,0:04:37,116,82.76%,77.85%
Traffic Safety and Controls - The City of Los Angeles,148,130,0:05:18,63,77.78%,69.59%
S.A.F.E Centers: Permanent Collection Centers - The City of Los Angeles,145,129,0:02:17,105,81.9%,73.79%
News - The City of Los Angeles,143,112,0:00:58,13,84.62%,30.07%
Zoo Human Resources - The City of Los Angeles,143,130,0:01:16,30,76.67%,31.47%
Events - The City of Los Angeles,139,105,0:01:27,4,25%,24.46%
Traffic Accident History Reports - The City of Los Angeles,138,125,0:02:21,105,77.14%,76.09%
Workers' Compensation - Civilian Claims - The City of Los Angeles,138,115,0:01:27,97,70.1%,66.67%
Animal Traps - The City of Los Angeles,135,118,0:02:47,83,84.34%,70.37%
Senior Transportation Services - The City of Los Angeles,134,116,0:02:57,72,83.33%,58.21%
U. S. Customs - LAX - The City of Los Angeles,133,120,0:02:42,116,82.76%,81.95%
Getting LA Back 2 Work - The City of Los Angeles,131,117,0:02:38,44,72.73%,38.17%
Zoo/Aquarium Combo Admission Tickets - The City of Los Angeles,131,114,0:02:48,101,85.15%,77.86%
Bureau of Sanitation Open Houses - The City of Los Angeles,126,101,0:01:59,58,68.97%,48.41%
Internship Opportunities in the Mayor's Office - The City of Los Angeles,125,111,0:02:33,56,76.79%,50.4%
Maintenance of Public Street Landscape - The City of Los Angeles,125,111,0:02:57,37,59.46%,42.4%
Most Requested Services - The City of Los Angeles,125,107,0:00:50,4,75%,12.8%
Notifications & Subscriptions - The City of Los Angeles,125,103,0:01:44,26,80.77%,31.2%
Jail Division / City Jail Locations - The City of Los Angeles,122,107,0:03:30,103,78.64%,75.41%
Calendar for Residents - The City of Los Angeles,121,112,0:01:10,3,66.67%,32.23%
Most Requested Services for Visitors - The City of Los Angeles,121,101,0:01:06,6,66.67%,28.93%
Highlights - The City of Los Angeles,118,99,0:01:22,88,70.45%,68.64%
LADOT Service Requests - The City of Los Angeles,118,99,0:03:16,70,71.43%,64.41%
City Planning Public Counter - Downtown - The City of Los Angeles,117,104,0:03:20,44,75%,57.26%
Hahn Series 2001-2005 - The City of Los Angeles,116,58,0:01:47,3,33.33%,21.55%
Alarm System Police Permit General Information - The City of Los Angeles,114,102,0:03:24,32,78.12%,61.4%
HIRE LA'S Youth Employment Program - The City of Los Angeles,114,101,0:02:30,31,77.42%,41.23%
Housing Authority of City of Los Angeles (HACLA) - Comments/Complaints - The City of Los Angeles,113,97,0:01:33,88,61.36%,61.06%
Report a Property Violation - The City of Los Angeles,113,101,0:02:09,54,68.52%,53.1%
Map Gallery - The City of Los Angeles,112,96,0:02:29,35,65.71%,52.68%
Multi Purpose Senior Centers (MPC) - The City of Los Angeles,112,99,0:02:31,82,74.39%,74.11%
Cabrillo Marine Aquarium - The City of Los Angeles,111,99,0:01:29,4,100%,28.83%
City Hall & Neighborhood City Halls - The City of Los Angeles,111,96,0:01:45,4,50%,30.63%
Dangerous Animal - The City of Los Angeles,110,97,0:02:06,14,92.86%,57.27%
Los Angeles Federal Credit Union (LAFCU) - The City of Los Angeles,110,84,0:03:14,72,69.44%,64.55%
Salvage Auctions of City Equipment and Vehicles - The City of Los Angeles,110,90,0:02:31,74,72.97%,66.36%
Scheduling Section 8 Property Inspection - The City of Los Angeles,108,95,0:02:45,79,82.28%,74.07%
Spark of Love Toy Drive - The City of Los Angeles,107,89,0:03:55,88,73.86%,74.77%
Brush Clearance Enforcement - The City of Los Angeles,105,99,0:02:56,74,74.32%,66.67%
Day Laborer Program (Hiring Sites) - The City of Los Angeles,105,101,0:01:50,11,100%,28.57%
Sewer Wye Map Maintenance - The City of Los Angeles,103,89,0:02:57,64,71.88%,66.99%
Missed Collections/Missed Service - The City of Los Angeles,101,93,0:03:50,14,85.71%,68.32%
City Employee Labor Memoranda of Understanding (MOUs) - The City of Los Angeles,100,90,0:07:05,39,82.05%,76%
Grading Plan Check - The City of Los Angeles,99,89,0:04:54,65,83.08%,73.74%
WorkSource System (WSC) - Job Seeker and Business Resources - The City of Los Angeles,99,90,0:02:30,6,50%,35.35%
"Engineering Maps, Plans, and Other Records - The City of Los Angeles",98,88,0:02:46,50,68%,52.04%
Exempt (from Civil Service) Opportunities - The City of Los Angeles,98,89,0:02:23,8,50%,29.59%
e-Permit (Permit L.A.) - The City of Los Angeles,96,88,0:02:10,39,71.79%,47.92%
Certification of Minority Business Enterprises (MBE) - The City of Los Angeles,94,81,0:03:04,69,76.81%,71.28%
Variance Request/Filing - The City of Los Angeles,94,77,0:03:38,64,71.88%,67.02%
Election Documents - The City of Los Angeles,93,77,0:03:02,59,62.71%,53.76%
Enforcement of Street Use Rules - The City of Los Angeles,93,85,0:03:05,18,94.44%,46.24%
Fire Department - Red Flag Day Parking Restriction - The City of Los Angeles,93,86,0:02:56,80,86.25%,82.8%
City Planning Public Counter - Valley - The City of Los Angeles,92,78,0:03:46,61,73.77%,65.22%
Council District 14 - The City of Los Angeles,92,80,0:04:42,68,76.47%,70.65%
DWP Discount Rates - The City of Los Angeles,92,74,0:02:16,63,74.6%,64.13%
Gang Units / Details - LAPD - The City of Los Angeles,91,80,0:02:09,76,86.84%,82.42%
Megan's Law - LAPD - The City of Los Angeles,91,74,0:02:48,73,79.45%,78.02%
More Press Releases - The City of Los Angeles,91,60,0:01:07,5,60%,26.37%
Legal Affairs Division - LAPD - The City of Los Angeles,89,80,0:02:23,76,85.53%,82.02%
Recreation and Parks Wedding or Event Sites - The City of Los Angeles,89,79,0:01:24,39,84.62%,61.8%
Complaint - LAPD (How to Make a Complaint) - The City of Los Angeles,88,84,0:03:56,68,76.47%,69.32%
Help for Homebound Seniors - The City of Los Angeles,88,74,0:00:44,59,61.02%,55.68%
Other Government Agencies - The City of Los Angeles,88,34,0:01:39,24,4.17%,35.23%
Ready for Women: Fellowship Program - The City of Los Angeles,88,76,0:00:14,1,100%,27.27%
"Constituent Service, Office of the Mayor - The City of Los Angeles",86,79,0:03:29,62,87.1%,74.42%
Permits for Encroachment on Public Right of Ways - R Permit - The City of Los Angeles,86,66,0:03:22,37,75.68%,56.98%
Residential Property Report - The City of Los Angeles,86,73,0:03:27,55,74.55%,63.95%
Detectives (21 Area Detective Divisions) - The City of Los Angeles,85,81,0:05:08,78,93.59%,92.94%
Shooting Range/Monthly Qualification - LAPD - The City of Los Angeles,85,77,0:05:58,76,89.47%,89.41%
View Public Infrastructure Maps - The City of Los Angeles,85,80,0:03:07,18,72.22%,52.94%
City Departments - The City of Los Angeles,84,64,0:00:32,7,14.29%,11.9%
Move In-Move Out Extra Trash Collection Services - The City of Los Angeles,84,76,0:01:22,17,88.24%,50%
Security Services Division - LAPD - The City of Los Angeles,83,68,0:02:17,58,68.97%,63.86%
Training Division - LAPD (Elysian Park) - The City of Los Angeles,82,73,0:03:31,71,83.1%,82.93%
Service Detail - The City of Los Angeles,79,65,0:00:41,20,30%,15.19%
City Council Meeting-Live and On-Demand - The City of Los Angeles,78,62,0:01:15,46,26.09%,39.74%
Council File Management System (CFMS) - The City of Los Angeles,78,69,0:03:26,49,71.43%,69.23%
Owner's Surrender - The City of Los Angeles,78,70,0:03:23,21,80.95%,61.54%
Damaged Traffic Signals or Stop Signs - The City of Los Angeles,76,73,0:02:43,25,80%,56.58%
Search Campaign/Officeholder Committee Contributions - The City of Los Angeles,76,69,0:02:44,57,80.7%,75%
Elysian Park - The City of Los Angeles,75,66,0:03:09,50,84%,68%
LA City Real Estate and Asset Management - The City of Los Angeles,75,62,0:03:32,40,67.5%,56%
Copy of Property and Land Ownership Deeds - The City of Los Angeles,74,64,0:02:04,52,75%,63.51%
Inspection of Plumbing - The City of Los Angeles,74,62,0:01:19,44,70.45%,62.16%
Neighborhood Info - The City of Los Angeles,74,65,0:01:39,10,50%,54.05%
Q Conditions -- Information and Sign-Off Clearance - The City of Los Angeles,74,65,0:03:29,58,79.31%,77.03%
Street Pothole Information - The City of Los Angeles,74,67,0:03:37,31,83.87%,64.86%
La Ciudad de Los Angeles,73,63,0:01:01,60,63.33%,61.64%
Constitutional Policing Unit - LAPD - The City of Los Angeles,72,67,0:01:55,67,92.54%,93.06%
"Information Technology Agency, Requests for Proposals (RFP) - The City of Los Angeles",72,62,0:01:53,48,47.92%,44.44%
Oversize Vehicle Parking Permits - The City of Los Angeles,72,66,0:01:57,21,76.19%,43.06%
Boiler/Pressure Vessel Inspection - The City of Los Angeles,71,56,0:02:46,36,63.89%,54.93%
Green Building Plan Check and Inspection - The City of Los Angeles,71,65,0:03:48,44,81.82%,76.06%
"Acceptance of Subpoenas, Fire Reports, and Arson Information - The City of Los Angeles",70,56,0:03:42,26,80.77%,51.43%
Construction Contract Bidding Opportunities - The City of Los Angeles,70,58,0:03:21,38,68.42%,58.57%
Retirement Benefits - The City of Los Angeles,70,60,0:01:00,20,50%,40%
Section 8 program Housing Assistance - The City of Los Angeles,68,57,0:02:29,23,65.22%,44.12%
Youth Programs - LAPD - The City of Los Angeles,68,63,0:02:28,50,86%,72.06%
Animal Cruelty - The City of Los Angeles,67,58,0:03:19,40,77.5%,65.67%
General Steps and Requirements for Various Plan Check Submittal - The City of Los Angeles,67,61,0:05:03,47,76.6%,70.15%
Bureau of Street Services Complaints - The City of Los Angeles,66,62,0:02:24,33,57.58%,54.55%
Pre-Inspections - The City of Los Angeles,66,56,0:01:38,50,76%,69.7%
Site Plan Review - The City of Los Angeles,66,58,0:05:35,47,80.85%,69.7%
Zoopendous Nights - The City of Los Angeles,66,64,0:03:42,62,91.94%,90.91%
Dispute Resolution - The City of Los Angeles,65,53,0:02:38,41,41.46%,41.54%
Internal Transfer Opportunities - The City of Los Angeles,65,58,0:01:22,8,87.5%,35.38%
Online Request for Permit Inspection - The City of Los Angeles,64,56,0:01:55,35,74.29%,67.19%
Park Rangers - The City of Los Angeles,63,57,0:01:41,31,74.19%,55.56%
Electronic Waste (E-Waste) - The City of Los Angeles,62,58,0:01:50,17,82.35%,59.68%
General Volunteers at the Los Angeles Zoo - The City of Los Angeles,62,60,0:01:38,15,86.67%,40.32%
High-Rise Fire Safety Enforcement - The City of Los Angeles,62,48,0:03:28,39,69.23%,58.06%
Scientific Investigation Division - LAPD - The City of Los Angeles,62,55,0:02:54,44,77.27%,74.19%
Standing/Ponding/Stagnant Water (West Nile Virus) - The City of Los Angeles,62,54,0:03:26,38,89.47%,67.74%
Valley Region Headquarters - The City of Los Angeles,62,52,0:02:14,45,73.33%,69.35%
Expedited Processing - The City of Los Angeles,61,57,0:01:38,19,73.68%,44.26%
Collection of Excess Brush and Yard Trimmings - The City of Los Angeles,60,58,0:01:21,10,100%,50%
Conventional Public Housing (Permanent) - The City of Los Angeles,60,52,0:02:38,42,83.33%,73.33%
Fire Dept. No-Smoking Ordinance Enforcement - The City of Los Angeles,60,43,0:02:23,34,67.65%,60%
"Mayor, Council, Controller, City Attorney Offices - The City of Los Angeles",60,48,0:00:55,1,100%,15%
Plan Check - The City of Los Angeles,60,50,0:01:19,30,76.67%,58.33%
Surplus Property/Land Sales - The City of Los Angeles,60,53,0:01:57,43,65.12%,65%
"Verify, Modify, or Add a New Address - The City of Los Angeles",60,56,0:04:34,46,91.3%,86.67%
Elevator Code Questions and Complaints - The City of Los Angeles,59,49,0:02:38,37,72.97%,66.1%
