Depart #,Dept,Bldg #,Sub ID,Maint Dist,Bldg Name,Bldg Desc,Community,Zip Code,Council Dist,Square Ft,Location 1,Location 2,Location 3,Location 4
50,R&P,814,A,SD,E WILMINGTON GREEN BELT PARK,E WILMINGTON GREEN BELT PARK,WILMINGTON,90744,15,0,"1106
","N
(39.99999921300008, 126.99999930000001)","PIONEER
WILMINGTON, California 90744
(33.78321403000007, -118.24861170499997)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,816,*,SD,WILMINGTON TOWN SQUARE,WILMINGTON TOWN SQUARE,WILMINGTON,90744,15,0,"801
","N
(39.99999921300008, 126.99999930000001)","AVALON
WILMINGTON, California 90744
(33.804719971000054, -118.26392704899996)","PL
(18.499996036000027, -73.39999621499999)"
50,R&P,816,A,SD,WILMINGTON SQUARE REC & PARKS SERVICE,REC & PARKS SERVICE,WILMINGTON,90744,15,0,"832
","N
(39.99999921300008, 126.99999930000001)","AVALON
WILMINGTON, California 90744
(33.804719971000054, -118.26392704899996)","BL
"
50,R&P,817,*,SD,ELEANOR G.ROBERTS AQUATIC CTR,ELEANOR G.ROBERTS AQUATIC CTR,LOS ANGELES,90019,10,0,"4526
","W
(31.802379474000077, -97.09166989999994)","PICO
LOS ANGELES, California 90019
(34.04884238300008, -118.33610868499994)","BL
"
50,R&P,817,A,SD,ELEANOR GREEN ROBERTS POOL,ELEANOR GREEN ROBERTS PARK,LOS ANGELES,90019,10,0,"4526
","W
(31.802379474000077, -97.09166989999994)","PICO
LOS ANGELES, California 90019
(34.04884238300008, -118.33610868499994)","BL
"
50,R&P,817,B,SD,ELEANOR GREEN ROBERTS AQUATIC CENTER,ELEANOR GREEN ROBERTS AQUATIC CENTER,LOS ANGELES,90019,10,0,"4446
","W
(31.802379474000077, -97.09166989999994)","PICO
LOS ANGELES, California 90019
(34.04884238300008, -118.33610868499994)","BL
"
50,R&P,818,*,SD,JOHN S. GIBSON PARK,JOHN S. GIBSON PARK,SAN PEDRO,90731,15,0,"500
","S
(36.99999657200004, 127.49999749000006)","HARBOR
SAN PEDRO, California 90731
(33.774262426000064, -118.27997229899995)","BL
"
50,R&P,820,*,ND,WINNETKA RECREATION CENTER,WINNETKA RECREATION CENTER,WINNETKA,91306,12,0,"8401
",,"WINNETKA
WINNETKA, California 91306
(34.20938996500007, -118.57100686399997)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,820,A,ND,REC & PARKS SERVICE,REC & PARKS SERVICE,WINNETKA,91306,12,0,"8435
",,"WINNETKA
WINNETKA, California 91306
(34.20938996500007, -118.57100686399997)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,820,B,ND,WINNETKA PARK,,WINNETKA,91306,12,0,"8361
",,"WINNETKA
WINNETKA, California 91306
(34.20938996500007, -118.57100686399997)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,821,*,ND,WHITE OAK RECREATION CENTER,WHITE OAK RECREATION CENTER,ENCINO,91316,12,0,"17400
",,"VICTORY
ENCINO, California 91316
(34.186621855000055, -118.52229210099995)","BL
"
50,R&P,821,B,ND,WHITE OAK RECREATION CENTER,WHITE OAK RECREATION CENTER,ENCINO,91316,12,0,"6260
",,"WHITE OAK
ENCINO, California 91316
(34.15431328000005, -118.52176558899998)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,822,A,,REC & PARKS SERVICE,REC & PARKS SERVICE,PALMS,90034,0,0,"3421
",,"VINTON
PALMS, California 90034
(34.02512556900007, -118.40601448299998)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,823,*,ND,WOODBRIDGE PARK,WOODBRIDGE PARK,STUDIO CITY,91602,4,0,"11240
",,"MOORPARK
STUDIO CITY, California 91602
(34.15134106200003, -118.36907858599994)","ST
(10.916668402000028, 38.64999824900008)"
50,R&P,824,*,ND,WOODLAND HILLS REC CTR,WOODLAND HILLS REC CTR,WOODLAND HLS,91307,3,0,"5858
",,"SHOUP
WOODLAND HLS, California 91307
(34.196876376000034, -118.61463259899995)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,824,A,ND,WOODLAND HILLS RECREATION CENTER,WOODLAND HILLS RECREATION CENTER,WOODLAND HLS,91367,3,0,"5838
",,"SHOUP
WOODLAND HLS, California 91367
(34.17761807900007, -118.61457380399997)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,824,B,ND,REC & PARKS SERVICE,REC & PARKS SERVICE,WOODLAND HILLS,91367,3,0,"5789
",,"FARRALONE
WOODLAND HILLS, California 91367
(34.17590993400006, -118.61024707899998)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,826,*,ND,WOODLEY AVENUE PARK,WOODLEY AVENUE PARK,SEPULVEDA,91406,2,0,"6000
",,"WOODLEY
SEPULVEDA, California 91406
(34.20022251300003, -118.48367845399997)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,826,A,ND,WOODLEY AVE PARK,WOODLEY AVE PARK,SEPULVEDA,91406,2,0,"5956
",,"WOODLEY
SEPULVEDA, California 91406
(34.20022251300003, -118.48367845399997)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,826,B,ND,WOODLEY AVENUE PARK,WOODLEY AVENUE PARK,SEPULVEDA,91406,2,0,"6350
",,"WOODLEY
SEPULVEDA, California 91406
(34.20022251300003, -118.48367845399997)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,826,C,ND,WOODLEY AVENUE PARK,WOODLEY AVENUE PARK,SEPULVEDA,91406,0,0,"6200
",,"WOODLEY
SEPULVEDA, California 91406
(34.20022251300003, -118.48367845399997)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,826,D,ND,WOODLEY AVENUE PARK GOLF TRAILER,,SEPULVEDA,91406,2,,"6385
",,"WOODLEY
SEPULVEDA, California 91406
(34.20022251300003, -118.48367845399997)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,828,*,ND,WOODSIDE TRIANGLE,WOODSIDE TRIANGLE,MT WASHNGTON,90031,14,0,"0
",,"WOODSIDE
MT WASHNGTON, California 90031
(34.077523764000034, -118.21310592399999)","DR
"
50,R&P,832,*,SD,YOSEMITE RECREATION CENTER,YOSEMITE RECREATION CENTER,EAGLE ROCK,90041,14,0,"1840
",,"YOSEMITE
EAGLE ROCK, California 90041
(34.13507034500003, -118.22205025999995)","DR
"
50,R&P,832,A,SD,YOSEMITE REC CENTER,IRRIGATION,EAGLE ROCK,90041,14,0,"1830
",,"YOSEMITE
EAGLE ROCK, California 90041
(34.13507034500003, -118.22205025999995)","DR
"
50,R&P,832,B,SD,YOSEMITE REC CENTER,,EAGLE ROCK,90041,14,0,"1820
",,"YOSEMITE
EAGLE ROCK, California 90041
(34.13507034500003, -118.22205025999995)","DR
"
50,R&P,836,*,ND,ZELZAH PARK,ZELZAH PARK,PORTER RANCH,91344,12,0,"11690
",,"ZELZAH
PORTER RANCH, California 91344
(34.27480004900008, -118.50113633799998)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,836,A,ND,ZELZAH PARK,ZELZAH PARK,GRANADA HILL,91344,12,0,"11607
",,"LERDO
GRANADA HILL, California 91344
(34.283532947000026, -118.52250388699997)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,876,*,,REC CENTER PARKING LOT,EAGLE ROCK REC CENTER,EAGLE ROCK,90041,0,0,"7570
","N
(39.99999921300008, 126.99999930000001)","FIGUEROA
EAGLE ROCK, California 90041
(34.13538185700003, -118.20684911599994)","ST
(10.916668402000028, 38.64999824900008)"
50,R&P,877,*,SD,TAYLOR YARD PARK,,Los Angeles,,1,0,"1900
","N
(39.99999921300008, 126.99999930000001)","SAN FERNANDO
Los Angeles, California
(34.31412669400004, -118.48480815299996)","BL
"
50,RAP,878,*,SD,CENTRAL DISTRICT SERVICE YARD,,LOS ANGELES,90019,10,0,"4454
","W
(31.802379474000077, -97.09166989999994)","PICO
LOS ANGELES, California 90019
(34.04884238300008, -118.33610868499994)","BL
"
50,R&P,879,*,SD,LINCOLN DISTRICT SERVICE YARD,,LOS ANGELES,90033,14,,"1350
",,"SAN PABLO
LOS ANGELES, California 90033
(34.06236861100007, -118.20312880399996)","ST
(10.916668402000028, 38.64999824900008)"
50,R&P,880,*,CC,CIVIC CENTER DISTRICT SERVICE YARD,,LOS ANGELES,90012,9,0,"200
","N
(39.99999921300008, 126.99999930000001)","SPRING
LOS ANGELES, California 90012
(34.05948330100006, -118.24204800499996)","ST
(10.916668402000028, 38.64999824900008)"
50,R&P,881,*,ND,WESTWOOD DISTRICT,,WESTWOOD,90025,5,,"1350
","S
(36.99999657200004, 127.49999749000006)","SEPULVEDA
WESTWOOD, California 90025
(34.045183888000054, -118.45025632399995)","BL
"
50,R&P,882,*,SD,ECHO PARK SERVICE YARD,,ECHO PARK,90026,13,0,"1023
",,"GLENDALE
ECHO PARK, California 90026
(34.07687201300007, -118.26535895999996)","BL
"
50,R&P,883,*,SD,PARK CENTER DISTRICT,,Los Angeles,90027,4,,"5201
",,"ZOO
Los Angeles, California 90027
(34.15397387000007, -118.29078686599996)","DR
"
50,R&P,884,*,SD,RANCHO CIENEGA DISTRICT,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90016,10,,"5901
",,"RODEO
LOS ANGELES, California 90016
(34.02151270400003, -118.35331447699997)","RD
(44.15388848100008, 16.289998725000032)"
50,R&P,885,*,SD,ARROYO SECO DISTRICT SERVICE YARD,,Los Angeles,90042,1,,"6740
",,"MARMION
Los Angeles, California 90042
(34.10718657700005, -118.20063128099997)","WY
(43.000235832000044, -107.50089779999996)"
50,R&P,885,A,SD,ARROYO SECO DISTRICT SERVICE YARD,,Los Angeles,90042,1,,"6601
",,"MARMION
Los Angeles, California 90042
(34.10718657700005, -118.20063128099997)","WY
(43.000235832000044, -107.50089779999996)"
50,R&P,902,*,ND,EQUESTRIAN CENTER,EQUESTRIAN CENTER,BURBANK,91506,4,0,"900
",,"RIVERSIDE
BURBANK, California 91506
(34.17111083700007, -118.32257833699998)","DR
"
50,R&P,903,*,SD,BARNSDALL PARK & REC CTR,BARNSDALL PARK & REC CTR,LOS ANGELES,90027,13,0,"4800
",,"HOLLYWOOD
LOS ANGELES, California 90027
(34.101771676000055, -118.29740656199999)","BL
"
50,R&P,903,A,SD,BARNSDALL PARK & REC CTR,BARNSDALL PARK & REC CTR,LOS ANGELES,90027,13,0,"4740
",,"HOLLYWOOD
LOS ANGELES, California 90027
(34.101771676000055, -118.29740656199999)","BL
"
50,R&P,903,B,SD,BARNSDALL PARK,BARNSDALL PARK,LOS ANGELES,90027,4,0,"1529
","N
(39.99999921300008, 126.99999930000001)","VERMONT
LOS ANGELES, California 90027
(34.10546214900006, -118.29236751399998)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,903,C,SD,BARNSDALL PARK & REC CTR,,LOS ANGELES,90027,13,0,"4748
",,"HOLLYWOOD
LOS ANGELES, California 90027
(34.101771676000055, -118.29740656199999)","BL
"
50,R&P,903,D,SD,BARNSDALL PARK,,LOS ANGELES,90027,4,0,"1529
","N
(39.99999921300008, 126.99999930000001)","VERMONT
LOS ANGELES, California 90027
(34.10546214900006, -118.29236751399998)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,907,*,,REC & PARKS SERVICE,REC & PARKS SERVICE,VENICE,90291,0,0,"1530
",,"OCEAN FRONT
VENICE, California 90291
(33.98768929600004, -118.47437509899999)","WK
"
50,R&P,907,A,SD,REC & PARKS SERVICE,REC & PARKS SERVICE,VENICE,90291,6,0,"1
",,"17TH
VENICE, California 90291
(33.98675214700006, -118.472532393)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,908,*,ND,VALLEY REGION HEADQUARTRS BLDG,VALLEY REGION HEADQUARTRS BLDG,SEPULVEDA,91335,6,0,"6335
",,"WOODLEY
SEPULVEDA, California 91335
(34.200183269000036, -118.54031959799994)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,908,A,ND,VALLEY REGION HEADQUARTRS BLDG,,SEPULVEDA,91335,6,0,"6331
",,"WOODLEY
SEPULVEDA, California 91335
(34.200183269000036, -118.54031959799994)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,909,*,ND,PROJECT 1221C,KAGEL CANYON PARK,LAKEVIEWTERR,91342,7,0,"11435
",,"KAGEL CANYON
LAKEVIEWTERR, California 91342
(34.27940484100003, -118.38210316599998)","ST
(10.916668402000028, 38.64999824900008)"
50,R&P,911,*,,REC & PARKS SERVICE,REC & PARKS SERVICE,LOS ANGELES,90064,0,0,"9801
",,"BEVERLYWOOD
LOS ANGELES, California 90064
(34.040122610000026, -118.40028356399995)","ST
(10.916668402000028, 38.64999824900008)"
50,R&P,912,*,,REC & PARKS SERVICE,REC & PARKS SERVICE,LOS ANGELES,90062,0,0,"1563
",,"LEIGHTON
LOS ANGELES, California 90062
(34.012808215000064, -118.31461300999996)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,952,*,SD,FIRE ALARM/POLICE SIGNL BUREAU,FIRE ALARM/POLICE SIGNL BUREAU,WESTLAKE,90057,1,0,"2228
","W
(31.802379474000077, -97.09166989999994)","6TH
WESTLAKE, California 90057
(34.06211202900005, -118.27713826999997)","ST
(10.916668402000028, 38.64999824900008)"
50,R&P,953,*,ND,MELBA/COHASSET STREET PARK,MELBA/COHASSET STREET PARK,CANOGA PARK,91304,3,0,"7441
",,"MELBA
CANOGA PARK, California 91304
(34.217236110000044, -118.63426649799999)","AV
(13.349998027000026, 98.53332737400007)"
50,R&P,953,A,ND,MELBA/COHASSET STREET PARK,MELBA/COHASSET STREET PARK,CANOGA PARK,91304,3,0,"23254
",,"COHASSET
CANOGA PARK, California 91304
(34.20596075800006, -118.63559846799996)","ST
(10.916668402000028, 38.64999824900008)"
50,R&P,998,*,ND,DE GARMO PARK,,Los Angeles,91352,7,,"10148
",,"ARMINTA
Los Angeles, California 91352
(34.21388021800004, -118.37135088999997)","St.
(10.916668402000028, 38.64999824900008)"
50,R&P,998,A,ND,DE GARMO PARK,DeGarmo Park,Los Angeles,91352,7,,"10149
",,"ARMINTA
Los Angeles, California 91352
(34.21388021800004, -118.37135088999997)","St
(10.916668402000028, 38.64999824900008)"
50,R&P,998,B,ND,DE GARMO PARK,,LOS ANGELES,91352,7,,"10161
",,"ARMINTA
LOS ANGELES, California 91352
(34.21388021800004, -118.37135088999997)","ST
(10.916668402000028, 38.64999824900008)"
51,LIB,1,*,SD,BEN FRANKLIN LIBRARY,BEN FRANKLIN LIBRARY,BOYLE HGHTS,90033,14,9656,"2200
","E
(26.582349951000026, 101.71863635200003)","1ST
BOYLE HGHTS, California 90033
(34.048564302000045, -118.21151999699998)","ST
(10.916668402000028, 38.64999824900008)"
51,LIB,2,*,ND,LINCOLN HEIGHTS BRANCH LIBRARY,LINCOLN HEIGHTS BRANCH LIBRARY,LINCOLN HTS,90031,1,0,"2530
",,"WORKMAN
LINCOLN HTS, California 90031
(34.070486241000026, -118.21431032599997)","ST
(10.916668402000028, 38.64999824900008)"
51,LIB,3,*,SD,PIO PICO KOREATOWN BRANCH,,LOS ANGELES,90005,10,,"695
","S
(36.99999657200004, 127.49999749000006)","SERRANO
LOS ANGELES, California 90005
(34.05907052600003, -118.30301712299996)","AV
(13.349998027000026, 98.53332737400007)"
51,LIB,3,A,SD,PIO PICO KOREATOWN BRANCH,,LOS ANGELES,90005,10,,"3701
","W
(31.802379474000077, -97.09166989999994)","7TH
LOS ANGELES, California 90005
(34.17325324600006, -118.39106499699994)","ST
(10.916668402000028, 38.64999824900008)"
51,LIB,3,B,SD,PIO PICO KOREATOWN BRANCH,,LOS ANGELES,90005,10,,"694
","S
(36.99999657200004, 127.49999749000006)","OXFORD
LOS ANGELES, California 90005
(34.05907052600003, -118.30301712299996)","AV
(13.349998027000026, 98.53332737400007)"
51,LIB,4,*,SD,VERNON BRANCH LIBRARY,VERNON BRANCH LIBRARY,LOS ANGELES,90011,9,10325,"4504
","S
(36.99999657200004, 127.49999749000006)","CENTRAL
LOS ANGELES, California 90011
(34.007903741000064, -118.259036977)","AV
(13.349998027000026, 98.53332737400007)"
51,LIB,5,*,ND,ARROYO SECO LIBRARY,ARROYO SECO REGIONAL LIBRARY,HIGHLAND PRK,90042,1,14000,"6145
","N
(39.99999921300008, 126.99999930000001)","FIGUEROA
HIGHLAND PRK, California 90042
(34.11332226400003, -118.19142869099994)","ST
(10.916668402000028, 38.64999824900008)"
51,LIB,6,*,SD,EXPOSITION PRK/BETHUNE REGIONAL,EXPOSITION PRK/BETHUNE REGIONAL,LOS ANGELES,90007,8,9656,"3665
","S
(36.99999657200004, 127.49999749000006)","VERMONT
LOS ANGELES, California 90007
(34.02833395700003, -118.28507659499996)","AV
(13.349998027000026, 98.53332737400007)"
