APC,CPA,Geographic Area,Case Type,Case Number,Date Filed,Date Completed                                                                                                                                                                                                                                                 
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2012-2713-SPP-SPPA-MEL                                   , 02-Oct-2012 , 08-Aug-2013                                                                                                                                                           
E          , Silver Lake - Echo Park - Elysian Valley                                    , EAST                                                                                                 , DIR                                                          , DIR-2013-155-COA                                             , 18-Jan-2013 , 25-Apr-2013                                                                                                                                                           
SV         , Encino - Tarzana                                                            , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-554-DRB-SPP                                         , 28-Feb-2013 , 01-Jul-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-2351-CWC                                            , 01-Aug-2013 , 01-Aug-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-2454-VSO-MEL                                        , 09-Aug-2013 , 09-Aug-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-2615-CWC                                            , 19-Aug-2013 , 23-Aug-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2012-2892-CCMP                                           , 18-Oct-2012 , 11-Jan-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-486-CWC                                             , 21-Feb-2013 , 21-Feb-2013                                                                                                                                                           
H          , San Pedro                                                                   , HARBOR                                                                                               , DIR                                                          , DIR-2013-523-CWC                                             , 16-Jan-2013 , 26-Feb-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-1046-CWNC                                           , 10-Apr-2013 , 10-Apr-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-201-CWNC                                            , 23-Jan-2013 , 24-Jan-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-1083-CWC                                            , 12-Apr-2013 , 12-Apr-2013                                                                                                                                                           
SV         , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2012-2941-DRB-SPP-MSP                                    , 23-Oct-2012 , 10-May-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2013-159-ACI-SPR                                         , 18-Jan-2013 , 20-Jun-2013                                                                                                                                                           
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-1481-COA                                            , 21-May-2013 , 19-Nov-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2013-2013-CWC                                            , 03-Jul-2013 , 03-Jul-2013                                                                                                                                                           
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-3160-CWC                                            , 03-Oct-2013 , 03-Oct-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-3209-CWC                                            , 01-Oct-2013 , 01-Oct-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2012-3581-CWNC                                           , 20-Dec-2012 , 20-Feb-2013                                                                                                                                                           
SV         , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2013-930-DRB-SPP-MSP                                     , 01-Apr-2013 , 13-May-2013                                                                                                                                                           
S          , West Adams - Baldwin Hills - Leimert                                        , SOUTH                                                                                                , DIR                                                          , DIR-2013-1039-CWC                                            , 10-Apr-2013 , 10-Apr-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-983-CWC                                             , 15-Mar-2013 , 04-Apr-2013                                                                                                                                                           
