APN,PROJECT NUMBER,NAME,ADDRESS,SITE_CD,COMMUNITY,COUNCIL DISTRICT,DEVELOPMENT STAGE,CONSTRUCTION TYPE,UNITS,STATUS IN HIMS,(%) OF FUNDS USED,HOUSING TYPE,HCIDLA FUNDED,LEVERAGE,TAX EXEMPT CONDUIT BOND,TDC,PHOTO,JOBS,DEVELOPER,FINISH DATE(YEAR),MANAGEMENT COMPANY,CONTACT PHONE,DATE_STAMP,LONGITUDE,LATITUDE,GPS_COORDS
5147029002,020277,NEW TERMINAL HOTEL,901 E 7TH ST CA 90021,1,WHOLESALE DISTRICT,14,COMPLETED,REHAB,42,COMPLETED,100%,SPECIAL NEEDS,$2115000.00,$3342950.00,$0.00,$5457950.00,http://lahd.lacity.org/mpphotos/020277/Photo/Website/CD_14_-_New_Terminal[1].png,27,"SRO HOUSING CORPORTATION,",2005,SRO HOUSING CORPORATION,(213) 229-9641,Nov 28 2014  5:25AM,-118.244152103,34.039042553,"(34.039042553, -118.244152103)"
5155029010,020279,ASBURY,2501 W 6TH ST CA 90057,1,WESTLAKE,1,COMPLETED,REHAB,97,COMPLETED,100%,SENIORS,$4018000.00,$3307020.00,$5600000.00,$12925020.00,http://lahd.lacity.org/mpphotos/020279/Photo/Website/CD%201%20-%20Asbury%20Apts..jpg,18,"LOS ANGELES HOUSING PARTNERSHIP,",2005,"LOS ANGELES HOUSING PARTNERSHIP, INC.",N/A,Nov 28 2014  5:25AM,-118.279082574,34.061576602,"(34.061576602, -118.279082574)"
5492023001,020284,PISGAH VILLAGE,6000 E ECHO ST CA 90042,1,HIGHLAND PARK,14,COMPLETED,REHAB,47,COMPLETED,100%,SENIORS,$3100000.00,$6275599.00,$0.00,$9375599.00,http://lahd.lacity.org/mpphotos/020284/Photo/Website/CD%201%20-%20Pisgah%20Village.jpg,30,"W.O.R.K.S.,",2006,SOLARI ENTERPRISES INC.,(714) 282-2520,Nov 28 2014  5:25AM,-118.18826677,34.11039515,"(34.11039515, -118.18826677)"
5160010029,020285,COURT STREET APTS.,1301 W COURT ST CA 90026,1,TEMPLE-BEAUDRY,1,COMPLETED,NEW CONSTRUCTION,24,COMPLETED,100%,FAMILY,$2143000.00,$4691845.00,$0.00,$6834845.00,http://lahd.lacity.org/mpphotos/020285/Photo/Website/CD%201%20-%20Court%20Street%20Apts..JPG,40,"COURT STREET APARTMENTS, L.P.",2005,COMMUNITY HOUSING MANAGEMENT SERVICES,N/A,Nov 28 2014  5:25AM,-118.256753255,34.064204837,"(34.064204837, -118.256753255)"
5108021026,020288,MOUNT ZION TOWERS,4827 S CENTRAL AVE 1-118 CA 90011,1,VERNON CENTRAL,9,COMPLETED,REHAB,118,COMPLETED,100%,SENIORS,$1833759.00,$2925649.00,$3701300.00,$8460708.00,http://lahd.lacity.org/mpphotos/020288/Photo/Website/CD%209%20-%20Mount%20Zion.JPG,16,"CONCERNED CITIZENS OF SOUTH CENTRAL LA,",2006,CONCERNED CITIZENS OF SCLA,(323) 846-2500,Nov 28 2014  5:25AM,-118.256678584,33.999776654,"(33.999776654, -118.256678584)"
5429008030,020290,LAGUNA SENIOR APTS.,4201 W SUNSET BLVD CA 90029,1,SILVER LAKE,13,COMPLETED,NEW CONSTRUCTION,64,COMPLETED,100%,SENIORS,$2310000.00,$10951074.00,$1850000.00,$15111074.00,http://lahd.lacity.org/mpphotos/020290/Photo/Website/Laguna_sunset.jpg,95,"PROJECT NEW HOPE,(APP)",2007,TELACU RESIDENTIAL MANAGEMENT,(323) 838-8556,Nov 28 2014  5:25AM,-118.282042022,34.094214335,"(34.094214335, -118.282042022)"
5124031012,020291,ALEGRIA APARTMENTS,801 W 23RD ST CA 90007,1,UNIVERSITY PARK,1,COMPLETED,REHAB,15,COMPLETED,100%,FAMILY,$602162.00,$3087124.00,$0.00,$3689286.00,http://lahd.lacity.org/mpphotos/020291/Photo/Website/CD%201%20-%20Alegria%20-%20020291.jpg,15,"ESPERANZA COMMUNITY HOUSING,",2004,ABODE COMMUNITIES,(213) 225-2772,Nov 28 2014  5:25AM,-118.27763542,34.032511999,"(34.032511999, -118.27763542)"
2328014046,030115,HFL VAN NUYS APARTMENTS,13457 W VANOWEN ST CA 91405,1,VALLEY GLEN,2,COMPLETED,NEW CONSTRUCTION,15,COMPLETED,100%,SPECIAL NEEDS / MENTALLY ILL INDIVIDUALS,$975900.00,$2688221.00,$0.00,$3664121.00,http://lahd.lacity.org/mpphotos/030115/Photo/Website/CD%202%20-%20HFL%20Van%20Nuys.jpg,20,"HOMES FOR LIFE FOUNDATION,",2006,CARING HOUSING MINISTRIES,(626) 300-2447,Nov 28 2014  5:25AM,-118.42637911,34.194084906,"(34.194084906, -118.42637911)"
5148025008,030156,RAINBOW APARTMENTS,645 S SAN PEDRO ST CA 90014,1,WHOLESALE DISTRICT,14,COMPLETED,NEW CONSTRUCTION,89,COMPLETED,100%,SPECIAL NEEDS,$3500000.00,$13279250.00,$0.00,$16779250.00,http://lahd.lacity.org/mpphotos/030156/Photo/Website/CD%209%20-%20Rainbow%20Apts..jpg,98,"RAINBOW APARTMENTS, L.P.",2006,SRHT PROPERTY MGMT CO.,(213) 683-0522 x114,Nov 28 2014  5:25AM,-118.246314218,34.041432918,"(34.041432918, -118.246314218)"
6006006026,030157,MAIN STREET VISTAS,"5950 MAIN ST  LOS ANGELES, CA 90003",1,FLORENCE-FIRESTONE,9,COMPLETED,NEW CONSTRUCTION,49,COMPLETED,100%,FAMILY,$2444000.00,$12079680.00,$0.00,$14523680.00,http://lahd.lacity.org/mpphotos/030157/Photo/Website/CD%209%20-%20Main%20St.%20Vistas.jpg,92,"MAIN STREET VISTAS,",2006,BARKER MANAGEMENT INCORPORATED,(714) 533-3450,Nov 28 2014  5:25AM,-118.273419541,33.985253969,"(33.985253969, -118.273419541)"
5157020019,030159,INGRAM PRESERVATION,234 N LAKE ST 1-14 CA 90026,1,TEMPLE-BEAUDRY,13,COMPLETED,REHAB,14,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$4900000.00,$6637761.00,$2790000.00,$14327761.00,http://lahd.lacity.org/mpphotos/030159/Photo/Website/IngramPres_Lake.png,21,"W.O.R.K.S.,",2005,"SOLARI ENTERPRISES, INC.",(714) 282-2520,Nov 28 2014  5:25AM,-118.269886034,34.069121772,"(34.069121772, -118.269886034)"
5074031027,030159,INGRAM PRESERVATION (SITE 2),1935 S LA SALLE AVE 1-33 CA 90018,2,WEST ADAMS,10,COMPLETED,REHAB,33,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$4900000.00,$6637761.00,$2790000.00,$14327761.00,http://lahd.lacity.org/mpphotos/030159/Photo/Website%20Site2/IngramPres_LaSalle.png,21,"W.O.R.K.S.,",2005,"SOLARI ENTERPRISES, INC.",(714) 282-2520,Nov 28 2014  5:25AM,-118.302635506,34.039093368,"(34.039093368, -118.302635506)"
5073007004,030159,INGRAM PRESERVATION (SITE 3),1525 S ST ANDREWS PL 1-27 CA 90019,3,HARVARD HEIGHTS,10,COMPLETED,REHAB,27,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$4900000.00,$6637761.00,$2790000.00,$14327761.00,http://lahd.lacity.org/mpphotos/030159/Photo/Website%20Site3/St%20Andrews%204.png,21,"W.O.R.K.S.,",2005,"SOLARI ENTERPRISES, INC.",(714) 282-2520,Nov 28 2014  5:25AM,-118.311794996,34.044599113,"(34.044599113, -118.311794996)"
5060029026,030159,INGRAM PRESERVATION (SITE 4),2120 S 2ND AVE CA 90018,4,WEST ADAMS,10,COMPLETED,REHAB,22,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$4900000.00,$6637761.00,$2790000.00,$14327761.00,http://lahd.lacity.org/mpphotos/030159/Photo/Website%20Site4/2nd%20Ave%202.png,21,"W.O.R.K.S.,",2005,"SOLARI ENTERPRISES, INC.",(714) 282-2520,Nov 28 2014  5:25AM,-118.318702667,34.037330594,"(34.037330594, -118.318702667)"
5073024026,030159,INGRAM PRESERVATION (SITE 5),1809 S VAN NESS AVE 1-16 CA 90019,5,HARVARD HEIGHTS,10,COMPLETED,REHAB,16,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$4900000.00,$6637761.00,$2790000.00,$14327761.00,http://lahd.lacity.org/mpphotos/030159/Photo/Website%20Site5/IngramPres_VanNess.png,21,"W.O.R.K.S.,",2005,"SOLARI ENTERPRISES, INC.",(714) 282-2520,Nov 28 2014  5:25AM,-118.316567398,34.041190989,"(34.041190989, -118.316567398)"
5037007026,030159,INGRAM PRESERVATION (SITE 6),1225 W 39TH PL CA 90037,6,EXPOSITION PARK,8,COMPLETED,REHAB,16,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$4900000.00,$6637761.00,$2790000.00,$14327761.00,http://lahd.lacity.org/mpphotos/030159/Photo/Website%20Site6/39th%20Place%20%202.png,21,"W.O.R.K.S.,",2005,"SOLARI ENTERPRISES, INC.",(714) 282-2520,Nov 28 2014  5:25AM,-118.298345028,34.014234859,"(34.014234859, -118.298345028)"
5037020016,030159,INGRAM PRESERVATION (SITE 7),1075 W 39TH PL CA 90037,7,EXPOSITION PARK,8,COMPLETED,REHAB,12,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$4900000.00,$6637761.00,$2790000.00,$14327761.00,http://lahd.lacity.org/mpphotos/030159/Photo/Website%20Site7/IngramPres_107539th.png,21,"W.O.R.K.S.,",2005,"SOLARI ENTERPRISES, INC.",(714) 282-2520,Nov 28 2014  5:25AM,-118.293987332,34.014234898,"(34.014234898, -118.293987332)"
5546009043,030165,ENCORE HALL,1602 N IVAR AVE 1-104 CA 90028,1,HOLLYWOOD,13,COMPLETED,NEW CONSTRUCTION,104,COMPLETED,100%,SENIORS,$1700000.00,$16928000.00,$2040000.00,$20668000.00,http://lahd.lacity.org/mpphotos/030165/Photo/Website/CD%2013%20-%20Encore%20Hall.JPG,125,"COMMUNITY REDEVELOPMENT AGENCY, LA",2007,"MCCORMACK BARON RAGAN MANAGEMENT SERVICES, INC.",(314) 335-2754,Nov 28 2014  5:25AM,-118.327990815,34.100001369,"(34.100001369, -118.327990815)"
5405021065,030166,FIGUEROA PLACE,1320 W SUNSET BLVD 1-33 CA 90026,1,ANGELINO HEIGHTS,1,COMPLETED,NEW CONSTRUCTION,33,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$1647000.00,$8292373.00,$0.00,$9939373.00,http://lahd.lacity.org/mpphotos/030166/Photo/Website/CD%201%20-%20Figueroa%20Place%20-%20030166.jpg,63,"FIGUEROA PLACE, LP",2006,BARKER MANAGEMENT INCORPORATED,(714) 533-3450,Nov 28 2014  5:25AM,-118.251048866,34.071995245,"(34.071995245, -118.251048866)"
5075001016,030171,PICO NEW HAMPSHIRE APTS.,1308 S NEW HAMPSHIRE AVE 1-30 CA 90006,1,HARVARD HEIGHTS,1,COMPLETED,NEW CONSTRUCTION,30,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$1942833.00,$4694005.00,$840000.00,$7476838.00,http://lahd.lacity.org/mpphotos/030171/Photo/Website/CD%201%20-%20Pico%20New%20Hampshire.jpg,58,1010 DEVELOPMENT CORPORATION,2006,1010 DEVELOPMENT,(213) 749-0214,Nov 28 2014  5:25AM,-118.292302402,34.046828271,"(34.046828271, -118.292302402)"
5544022059,030272,VIEWS AT 270,"5445 W SUNSET BLVD  HOLLYWOOD, CA 90027",1,HOLLYWOOD,13,COMPLETED,NEW CONSTRUCTION,56,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$900000.00,$23557005.00,$1685900.00,$26142905.00,http://lahd.lacity.org/mpphotos/030272/Photo/Website/CD%2013%20-%20Views%20@%20270.jpg,146,"HOLLYWOOD COMMUNITY HOUSING CORP.,",2005,BARKER MANAGEMENT INC,(714) 533-3450,Nov 28 2014  5:25AM,-118.309021657,34.098756168,"(34.098756168, -118.309021657)"
5153015002,04-117264,WITMER MANOR PRESERVATION APTS.,1501 W MIRAMAR ST CA 90026,1,TEMPLE-BEAUDRY,13,COMPLETED,REHAB,238,COMPLETED,-999%,FAMILY,$0.00,$6846132.00,$8834003.00,$15680135.00,http://lahd.lacity.org/mpphotos/04-117264/Photo/Website/witmer2.png,-999,"HAMPSTEAD PARTNERS, INC.",2006,ALPHA PROPERTY MANAGEMENT INC.,(323) 231-4174,Nov 28 2014  5:25AM,-118.262660446,34.060265401,"(34.060265401, -118.262660446)"
5137007027,040001,JAMES WOOD APARTMENTS,1328 W JAMES M WOOD BLVD 1-18 CA 90015,1,PICO-UNION,1,COMPLETED,NEW CONSTRUCTION,61,COMPLETED,100%,FAMILY,$3233454.00,$14858587.00,$2100000.00,$20192041.00,http://lahd.lacity.org/mpphotos/040001/Photo/Website/James%20Woods%20(1).jpg,61,"DECRO CORPORATION,",2008,JOHN STERN,(213) 749-0214 x203,Nov 28 2014  5:25AM,-118.270002055,34.049165513,"(34.049165513, -118.270002055)"
2783027046,040004,PARTHENIA ST SENIOR HSNG.,19455 W PARTHENIA ST 1-77 CA 91324,1,CHATSWORTH,12,COMPLETED,NEW CONSTRUCTION,77,COMPLETED,100%,SENIORS,$1931627.00,$9229203.00,$0.00,$11160830.00,http://lahd.lacity.org/mpphotos/040004/Photo/Website/CD%2012%20-%20Parthenia%20St.%20Senior.jpg,77,"VINELAND AVENUE SENIOR HOUSING, L.P.",2007,MENORAH HOUSING FOUNDATION,(310) 475-6083,Nov 28 2014  5:25AM,-118.557421359,34.228395054,"(34.228395054, -118.557421359)"
6041003037,040005,LAS BRISAS,8760 S MAIN ST CA 90003,1,VERMONT VISTA,8,COMPLETED,NEW CONSTRUCTION,66,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$5616938.00,$10809341.00,$0.00,$16426279.00,http://lahd.lacity.org/mpphotos/040005/Photo/Website/CD%208%20-%20Las%20Brisas.jpg,97,"AMCAL MULTI-HOUSING, INC(APP)",2006,FPI MANAGEMENT,(714) 641-5110,Nov 28 2014  5:25AM,-118.273680498,33.957853542,"(33.957853542, -118.273680498)"
5080024024,040006,HARVARD HEIGHTS,950-960 1/2 S HARVARD BLVD CA 90006,1,KOREATOWN,10,COMPLETED,NEW CONSTRUCTION,47,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$3405164.00,$8458700.00,$0.00,$11863864.00,http://lahd.lacity.org/mpphotos/040006/Photo/Website/CD%2010%20-%20Harvard%20Heights.png,75,"HARVARD HEIGHTS PARTNERS, LP",2007,THE JOHN STEWART COMPANY,(213) 388-2722 x1149,Nov 28 2014  5:25AM,-118.304046205,34.054105485,"(34.054105485, -118.304046205)"
5160005028,040007,TEMPLE VILLAS,1421 W TEMPLE ST 1-52 CA 90026,1,ECHO PARK,1,COMPLETED,NEW CONSTRUCTION,52,COMPLETED,100%,FAMILY,$3137768.00,$10165531.00,$0.00,$13303299.00,http://lahd.lacity.org/mpphotos/040007/Photo/Website/CD%201%20-%20Temple%20Villas%20-%20040007.jpg,62,"TEMPLE VILLAS. L.P.,",2007,COMMUNITY HOUSING MANAGEMENT SERVICES,(562) 597-6200,Nov 28 2014  5:25AM,-118.257444946,34.067593657,"(34.067593657, -118.257444946)"
5152007049,040008,EMERALD TERRACE APTS.,"1345 W EMERALD DR  LOS ANGELES, CA 90026",1,TEMPLE-BEAUDRY,1,COMPLETED,NEW CONSTRUCTION,85,COMPLETED,100%,LARGE FAMILY / WAIVER REQUIRED,$4287128.00,$19724861.00,$0.00,$24011989.00,http://lahd.lacity.org/mpphotos/040008/Photo/Website/CD%201%20-%20Emeral%20Terrace%20-%20040008.jpg,145,"META HOUSING CORPORATION,",2007,"SOLARI ENTERPRISES, INC.",(714) 282-2520,Nov 28 2014  5:25AM,-118.26024055,34.059666694,"(34.059666694, -118.26024055)"
5154011012,040010,MAGNOLIA ON LAKE,201 S LAKE ST 1-46 CA 90057,1,TEMPLE-BEAUDRY,13,COMPLETED,NEW CONSTRUCTION,46,COMPLETED,100%,FAMILY,$2669000.00,$10784854.00,$0.00,$13453854.00,http://lahd.lacity.org/mpphotos/040010/Photo/Website/CD%2013%20-%20Magnolia%20on%20Lake.jpg,98,"MAGNOLIA ON LAKE, L.P. & SIPA",2008,SAN LUCAS APARTMENTS,(506) 944-6502,Nov 28 2014  5:25AM,-118.272402323,34.066299914,"(34.066299914, -118.272402323)"
5546020005,040011,AFTON PLACE,6231 AFTON PL CA 90028,1,HOLLYWOOD,13,COMPLETED,ACQUISITION + REHAB,71,COMPLETED,100%,SENIORS,$1732830.00,$5188563.00,$1830000.00,$8751393.00,http://lahd.lacity.org/mpphotos/040011/Photo/Website/CD%2013%20-%20Afton%20Place.JPG,15,"AFTON PLACE SENIOR APARTMENTS, L.P.",2005,VPM MANAGEMENT INC.,(949) 863-1500 x223,Nov 28 2014  5:25AM,-118.325067766,34.095171918,"(34.095171918, -118.325067766)"
5018034019,040050,MANSI TOWN HOMES,4520 S FIGUEROA ST 1-21 CA 90037,1,SOUTH PARK,9,COMPLETED,NEW CONSTRUCTION,21,COMPLETED,100%,FAMILY,$892500.00,$4654752.00,$0.00,$5547252.00,http://lahd.lacity.org/mpphotos/040050/Photo/Website/CD%209%20-%20Mansi%20Town%20Homes%20-%20040050.jpg,40,"MANSI TOWN HOMES L.P.,",2006,"MANSI TOWN HOMES L.P.,",(323) 465-6611,Nov 28 2014  5:25AM,-118.282431659,34.002209717,"(34.002209717, -118.282431659)"
5205013009,040051,FLORES DEL VALLE,"222 N AVENUE 23  LOS ANGELES, CA 90031",1,LINCOLN HEIGHTS,1,COMPLETED,NEW CONSTRUCTION,146,COMPLETED,100%,FAMILY,$4800000.00,$25074282.00,$0.00,$29874282.00,http://lahd.lacity.org/mpphotos/040051/Photo/Website/CD%201%20-%20James%20Woods%20Apts.jpg,147,"AMCAL FLORES DEL VALLE FUND, L.P.",2006,"FPI MANAGEMENT, INC",(323) 235-5506,Nov 28 2014  5:25AM,-118.218676525,34.07838087,"(34.07838087, -118.218676525)"
2629019017,040052,PALM VILLAGE SR,9034 N LAUREL CANYON BLVD CA 91352,1,SUN VALLEY,6,COMPLETED,NEW CONSTRUCTION,60,COMPLETED,100%,SENIORS,$1772385.00,$8934200.00,$0.00,$10706585.00,http://lahd.lacity.org/mpphotos/040052/Photo/Website/CD_6_-_Palm_Village_Apts[1].png,65,GUBB AND BARSHAY,2007,LTSC COMMUNITY DEVELOPMENT CORPORATION,(213) 473-1689,Nov 28 2014  5:25AM,-118.40456872,34.233971895,"(34.233971895, -118.40456872)"
6117019016,040067,ROYALS APARTMENTS,717 W EL SEGUNDO BLVD CA 90044,1,HARBOR GATEWAY,15,COMPLETED,REHAB,33,COMPLETED,100%,FAMILY,$1100000.00,$13039479.00,$0.00,$14139479.00,http://lahd.lacity.org/mpphotos/040067/Photo/Website/CD%2015%20-%20The%20Royals.jpg,49,"PRESERVATION PARTNERS MANAGEMENT GROUP, INC.",2006,PRESERVATION PARTNERS MANAGEMENT GROUP,(310) 802-6673,Nov 28 2014  5:25AM,-118.287742425,33.916586841,"(33.916586841, -118.287742425)"
5535002026,040067,ROYALS APARTMENTS (SITE 2),772 N VAN NESS AVE CA 90038,2,MELROSE,13,COMPLETED,REHAB,56,COMPLETED,100%,FAMILY,$1100000.00,$13039479.00,$0.00,$14139479.00,http://lahd.lacity.org/mpphotos/040067/Photo/Website%20Site2/royalsvanness772vannes315072of6(PNG).png,49,"PRESERVATION PARTNERS MANAGEMENT GROUP, INC.",2006,PRESERVATION PARTNERS MANAGEMENT GROUP,(310) 802-6673,Nov 28 2014  5:25AM,-118.315589138,34.085144198,"(34.085144198, -118.315589138)"
5075006018,040067,ROYALS APARTMENTS (SITE 3),1327 S CATALINA ST CA 90006,3,HARVARD HEIGHTS,1,COMPLETED,REHAB,16,COMPLETED,100%,FAMILY,$1100000.00,$13039479.00,$0.00,$14139479.00,http://lahd.lacity.org/mpphotos/040067/Photo/Website%20Site3/royalscatalina1327catalina315072of6(PNG).png,49,"PRESERVATION PARTNERS MANAGEMENT GROUP, INC.",2006,PRESERVATION PARTNERS MANAGEMENT GROUP,(310) 802-6673,Nov 28 2014  5:25AM,-118.294889082,34.046420499,"(34.046420499, -118.294889082)"
5037017010,040067,ROYALS APARTMENTS (SITE 4),3817 S WISCONSIN ST CA 90037,4,EXPOSITION PARK,8,COMPLETED,REHAB,10,COMPLETED,100%,FAMILY,$1100000.00,$13039479.00,$0.00,$14139479.00,http://lahd.lacity.org/mpphotos/040067/Photo/Website%20Site4/royalswisconsin3817wisconsin315072of5(PNG).png,49,"PRESERVATION PARTNERS MANAGEMENT GROUP, INC.",2006,PRESERVATION PARTNERS MANAGEMENT GROUP,(310) 802-6673,Nov 28 2014  5:25AM,-118.293185244,34.016682429,"(34.016682429, -118.293185244)"
2654002169,040071,WOODLAND TERRACE,15532 W NORDHOFF ST CA 91343,1,NORTH HILLS,7,COMPLETED,NEW CONSTRUCTION,31,COMPLETED,100%,SPECIAL NEEDS,$1758184.00,$10482585.00,$0.00,$12240769.00,http://lahd.lacity.org/mpphotos/040071/Photo/Website/CD%207%20-%20Woodland%20Terrace.JPG,80,"A COMMUNITY OF FRIENDS,",2007,THE JOHN STEWART COMPANY,(818) 891-0107,Nov 28 2014  5:25AM,-118.47090182,34.235382384,"(34.235382384, -118.47090182)"
