Case Number,LADBS Inspection District,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,GIS Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Response Days,Status of Case,Latitude/Longitude
281945,8513,, , , , , , ,11/28/2012,,135A229   144,BILLBOARDS,East Los Angeles,,O,
404927,8512,, , , , , , ,01/27/2011,,060B197   530,BILLBOARDS,Harbor,,O,
514323,3204,, , , , , , ,09/23/2013,,213B185    16,CITATIONS,North Valley,,O,
645813,3111,, , , , , , ,07/24/2014,,189B117  1033,GENERAL,South Valley,,O,
593347,3107,, , , , , , ,05/15/2014,,183B133  1014,GENERAL,South Valley,,O,
509355,1114,220,,W,101ST,ST,,90003,08/13/2013,,091-5A203 186,GENERAL,South Los Angeles,,O,"(33.94454, -118.27705)"
448857,1114,820,,W,101ST,ST,,90044,02/16/2012,,091-5A199 199,GENERAL,South Los Angeles,,O,"(33.94448, -118.29014)"
424884,1114,1124,,E,101ST,ST,,90002,07/27/2011,,090B209   297,GENERAL,South Los Angeles,,O,"(33.94478, -118.25562)"
502512,1140,1464,,E,101ST,ST,,90002,06/18/2013,,090B209   285,GENERAL,South Los Angeles,,O,"(33.94499, -118.24851)"
526453,1114,132,,E,102ND,ST,,90003,12/12/2013,,091-5A205 361,GENERAL,South Los Angeles,,O,"(33.94365, -118.27272)"
412473,1114,325,,E,102ND,ST,,90003,04/11/2011,,091-5A205 309,GENERAL,South Los Angeles,,O,"(33.94387, -118.2686)"
601764,1114,405,,E,102ND,ST,,90003,05/30/2014,,091-5A207 244,GENERAL,South Los Angeles,,O,"(33.94386, -118.26708)"
506394,1114,422,,W,102ND,ST,,90003,07/19/2013,,091-5A201 311,GENERAL,South Los Angeles,,O,"(33.94361, -118.28146)"
426502,1102,5221,,W,102ND,ST,,90045,08/15/2011,,090B173   159,GENERAL,West Los Angeles,,O,"(33.94375, -118.37135)"
489425,1114,148,,W,103RD,ST,,90003,01/17/2013,,091-5A203 330,GENERAL,South Los Angeles,,O,"(33.94272, -118.27565)"
451575,1114,555,,W,103RD,ST,,90044,02/28/2012,,091-5A201 330,GENERAL,South Los Angeles,,O,"(33.94317, -118.28456)"
526010,4103,636,,E,103RD,ST,,90002,12/11/2013,,091-5A207 267,CNAP,South Los Angeles,,O,"(33.9433, -118.26335)"
496335,1114,636,,E,103RD,ST,,90002,04/11/2013,,091-5A207 267,GENERAL,South Los Angeles,,O,"(33.9433, -118.26335)"
579361,1114,661,,E,103RD,ST,,90002,04/17/2014,,091-5A207 263,GENERAL,South Los Angeles,,O,"(33.94353, -118.26287)"
603858,1114,844,,W,103RD,ST,,90044,06/04/2014,,091-5A199 350,GENERAL,South Los Angeles,,O,"(33.94292, -118.29094)"
520690,1114,1143,,E,103RD,PL,,90002,10/31/2013,,090B209   604,GENERAL,South Los Angeles,,O,"(33.9428, -118.25497)"
477050,1140,1770,,E,103RD,PL,,90002,08/22/2012,,090A213    27,GENERAL,South Los Angeles,,O,"(33.94219, -118.24155)"
430982,1114,121,,W,104TH,ST,,90003,10/12/2011,,090A203    23,GENERAL,South Los Angeles,,O,"(33.94205, -118.27468)"
416008,1114,214,,E,104TH,ST,,90003,05/02/2011,,090A205    78,GENERAL,South Los Angeles,,O,"(33.94184, -118.27119)"
486756,1114,320,,W,104TH,ST,,90003,12/11/2012,,090A203    98,GENERAL,South Los Angeles,,O,"(33.9418, -118.27925)"
508813,1114,604,,W,104TH,PL,,90044,08/08/2013,,090A201   140,GENERAL,South Los Angeles,,O,"(33.94143, -118.28512)"
508001,1114,617,,E,104TH,ST,,90002,08/01/2013,,090A207    65,GENERAL,South Los Angeles,,O,"(33.94203, -118.26422)"
565178,1114,636,,W,104TH,ST,,90044,03/21/2014,,090A201    70,GENERAL,South Los Angeles,,O,"(33.94223, -118.28623)"
448650,1114,725,,W,104TH,ST,,90044,02/15/2012,,090A199    17,GENERAL,South Los Angeles,,O,"(33.94244, -118.28801)"
426963,1114,815,,W,104TH,PL,,90044,08/24/2011,,090A199    96,GENERAL,South Los Angeles,,O,"(33.94162, -118.29004)"
523184,1114,917,,E,104TH,ST,,90002,11/18/2013,,090B209   752,GENERAL,South Los Angeles,,O,"(33.94201, -118.25808)"
508713,1114,926,,E,104TH,ST,,90002,08/08/2013,,090B209   813,GENERAL,South Los Angeles,,O,"(33.94176, -118.25776)"
509360,1114,401,,W,105TH,ST,,90003,08/13/2013,,090A201   135,GENERAL,South Los Angeles,,O,"(33.94112, -118.28071)"
535761,1114,627,,E,105TH,ST,,90002,01/22/2014,,090A207   134,GENERAL,South Los Angeles,,O,"(33.94111, -118.26421)"
495546,1114,731,,E,105TH,ST,,90002,03/28/2013,,090A207   150,GENERAL,South Los Angeles,,O,"(33.9411, -118.26193)"
510847,1114,751,,E,105TH,ST,,90002,08/27/2013,,090A207   155,GENERAL,South Los Angeles,,O,"(33.9411, -118.26128)"
476660,1114,827,,W,105TH,ST,,90044,08/16/2012,,090A199   168,GENERAL,South Los Angeles,,O,"(33.94082, -118.29045)"
511918,1114,836,,W,105TH,ST,,90044,09/05/2013,,090A199   209,GENERAL,South Los Angeles,,O,"(33.9406, -118.29075)"
497465,8100,1566,,E,105TH,ST,,90002,04/22/2013,,090A213   127,PACE,South Los Angeles,,O,"(33.94048, -118.24671)"
429818,1140,1803,,E,105TH,ST,,90002,09/28/2011,,090A215   266,GENERAL,South Los Angeles,,O,"(33.94076, -118.24054)"
552224,1140,2168,,E,105TH,ST,,90002,02/26/2014,,090A217   283,GENERAL,South Los Angeles,,O,"(33.94051, -118.23314)"
539851,1114,118,,W,106TH,ST,,90003,01/30/2014,,090A203   244,GENERAL,South Los Angeles,,O,"(33.94001, -118.27462)"
424395,1114,238,,E,106TH,ST,,90003,07/20/2011,,090A205   246,GENERAL,South Los Angeles,,O,"(33.94007, -118.2704)"
563965,1114,246,,E,106TH,ST,,90003,03/20/2014,,090A205   248,GENERAL,South Los Angeles,,O,"(33.94006, -118.27014)"
480095,1114,412,,E,106TH,ST,,90003,09/26/2012,,090A207   267,GENERAL,South Los Angeles,,O,"(33.94006, -118.26683)"
494862,1114,715,,E,106TH,ST,,90002,03/19/2013,,090A207   244,GENERAL,South Los Angeles,,O,"(33.94022, -118.26246)"
538408,1114,726,,E,106TH,ST,,90002,01/29/2014,,090A207   296,GENERAL,South Los Angeles,,O,"(33.94004, -118.26207)"
426964,1114,727,,W,106TH,ST,,90044,08/24/2011,,090A199   226,GENERAL,South Los Angeles,,O,"(33.94001, -118.28805)"
541473,1114,822,,W,106TH,ST,,90044,02/05/2014,,090A199   280,GENERAL,South Los Angeles,,O,"(33.93978, -118.29022)"
555509,1114,1115,,E,106TH,ST,,90002,03/06/2014,,090B209  1068,GENERAL,South Los Angeles,,O,"(33.94022, -118.25601)"
477254,1140,1526,,E,106TH,ST,,90002,08/27/2012,,090A213   578,GENERAL,South Los Angeles,,O,"(33.93959, -118.24728)"
493410,1140,1562,,E,106TH,ST,,90002,03/06/2013,,090A213   185,GENERAL,South Los Angeles,,O,"(33.93958, -118.24687)"
460822,1114,414,,W,107TH,ST,,90003,04/18/2012,,090A201   382,GENERAL,South Los Angeles,,O,"(33.93907, -118.28115)"
436593,1114,438,,E,107TH,ST,,90003,12/13/2011,,090A207   373,GENERAL,South Los Angeles,,O,"(33.9392, -118.26604)"
471902,1114,710,,E,107TH,ST,,90002,06/27/2012,,090A207   391,GENERAL,South Los Angeles,,O,"(33.93919, -118.26259)"
514084,1114,800,,E,107TH,ST,,90002,09/19/2013,,090B209  1324,GENERAL,South Los Angeles,,O,"(33.93916, -118.26063)"
423680,1114,824,,W,107TH,ST,,90044,07/11/2011,,090A199   344,GENERAL,South Los Angeles,,O,"(33.93895, -118.29035)"
471590,1114,844,,W,107TH,ST,,90044,06/22/2012,,090A199   349,GENERAL,South Los Angeles,,O,"(33.93895, -118.29094)"
513343,1114,847,,E,107TH,ST,,90002,09/17/2013,,090B209  1219,GENERAL,South Los Angeles,,O,"(33.93938, -118.25924)"
533886,4103,1113,,E,107TH,ST,,90002,01/16/2014,,090B209  1243,CNAP,South Los Angeles,,O,"(33.93937, -118.25601)"
489798,1140,1819,,E,107TH,ST,,90002,01/25/2013,,090A215   592,GENERAL,South Los Angeles,,O,"(33.93908, -118.24004)"
555507,1140,2214,,E,107TH,ST,,90002,03/06/2014,,090A217   517,GENERAL,South Los Angeles,,O,"(33.9388, -118.23202)"
512247,1140,2311,,E,107TH,ST,,90002,09/06/2013,,090A217   506,GENERAL,South Los Angeles,,O,"(33.93895, -118.23025)"
491960,1114,147,,E,108TH,ST,,90003,02/27/2013,,090A205   410,GENERAL,South Los Angeles,,O,"(33.93838, -118.27227)"
498926,1114,213,,W,108TH,ST,,90003,05/03/2013,,090A203   380,GENERAL,South Los Angeles,,O,"(33.93844, -118.27684)"
581815,1114,215,,E,108TH,ST,,90003,04/22/2014,,090A205   417,GENERAL,South Los Angeles,,O,"(33.93844, -118.27119)"
506350,1114,219,,W,108TH,ST,,90003,07/19/2013,,090A203   381,GENERAL,South Los Angeles,,O,"(33.93844, -118.27691)"
555508,1114,351,,E,108TH,ST,,90003,03/06/2014,,090A205   437,GENERAL,South Los Angeles,,O,"(33.93836, -118.26779)"
413771,1114,609,,W,108TH,ST,,90044,04/19/2011,,090A201   450,GENERAL,South Los Angeles,,O,"(33.93837, -118.28527)"
413770,1114,613,,W,108TH,ST,,90044,04/19/2011,,090A201   451,GENERAL,South Los Angeles,,O,"(33.93837, -118.2854)"
427307,1114,828,,W,108TH,ST,,90044,08/30/2011,,088-5A199  60,GENERAL,South Los Angeles,,O,"(33.93807, -118.29048)"
412482,1114,844,,W,108TH,ST,,90044,04/11/2011,,088-5A199  63,GENERAL,South Los Angeles,,O,"(33.93806, -118.29093)"
487198,1110,907,,E,108TH,ST,,90002,12/13/2012,,090B209  1467,GENERAL,South Los Angeles,,O,"(33.93844, -118.25839)"
628326,1140,1652,,E,108TH,ST,,90059,07/01/2014,,088-5A213  81,GENERAL,South Los Angeles,,O,"(33.93773, -118.24418)"
487087,1140,1673,,E,108TH,ST,,90059,12/13/2012,,088-5A213  13,GENERAL,South Los Angeles,,O,"(33.93796, -118.24344)"
546304,1140,1679,,E,108TH,ST,,90059,02/14/2014,,088-5A213  11,GENERAL,South Los Angeles,,O,"(33.93797, -118.24327)"
546305,1140,1777,,E,108TH,ST,,90059,02/14/2014,,088-5A215  43,GENERAL,South Los Angeles,,O,"(33.93797, -118.24087)"
507789,1140,2352,,E,108TH,ST,,90059,07/31/2013,,088-5A217 268,GENERAL,South Los Angeles,,O,"(33.93687, -118.23012)"
457253,1114,128,,E,109TH,ST,,90061,03/28/2012,,088-5A205 126,GENERAL,South Los Angeles,,O,"(33.9373, -118.2728)"
556178,1114,147,,E,109TH,ST,,90061,03/10/2014,,088-5A205  89,GENERAL,South Los Angeles,,O,"(33.9375, -118.27214)"
443696,1114,227,,W,109TH,ST,,90061,01/31/2012,,088-5A203  82,GENERAL,South Los Angeles,,O,"(33.93748, -118.2771)"
410893,1114,738,,E,109TH,PL,,90059,03/23/2011,,088-5A207 249,GENERAL,South Los Angeles,,O,"(33.93636, -118.26158)"
625095,1114,763,,W,109TH,ST,,90044,06/26/2014,,088-5A199  85,GENERAL,South Los Angeles,,O,"(33.93744, -118.28911)"
455462,1114,801,,W,109TH,PL,,90044,03/12/2012,,088-5A199 145,GENERAL,South Los Angeles,,O,"(33.93656, -118.28962)"
563968,1114,810,,E,109TH,PL,,90059,03/20/2014,01/26/2015,088-5A209 209,GENERAL,South Los Angeles,312,O,"(33.93627, -118.26044)"
475695,1114,853,,E,109TH,PL,,90059,08/01/2012,,088-5A209 190,GENERAL,South Los Angeles,,O,"(33.93654, -118.25898)"
410892,1114,914,,E,109TH,PL,,90059,03/23/2011,,088-5A209 223,GENERAL,South Los Angeles,,O,"(33.93634, -118.25814)"
569820,1140,1644,,E,109TH,ST,,90059,04/04/2014,,088-5A213 211,GENERAL,South Los Angeles,,O,"(33.93666, -118.24481)"
479719,1140,1816,,E,109TH,PL,,90059,09/21/2012,,088-5A215 329,GENERAL,South Los Angeles,,O,"(33.93611, -118.24011)"
536290,1142,324,,W,10TH,ST,,90731,01/22/2014,,015B201   455,GENERAL,Harbor,,O,"(33.73524, -118.28414)"
640876,4103,324,,W,10TH,ST,,90731,07/17/2014,,015B201   455,CNAP,Harbor,,O,"(33.73524, -118.28414)"
478205,1130,2425,,S,10TH,AVE,,90018,09/07/2012,,123B185   379,GENERAL,South Los Angeles,,O,"(34.03467, -118.32857)"
504789,1130,2505,,S,10TH,AVE,,90018,07/09/2013,,123B185   454,GENERAL,South Los Angeles,,O,"(34.0341, -118.32856)"
486498,1110,5468,,S,10TH,AVE,,90043,12/06/2012,,108B185   633,GENERAL,South Los Angeles,,O,"(33.99113, -118.32801)"
599628,1114,216,,W,110TH,ST,,90061,05/30/2014,,088-5A203 294,GENERAL,South Los Angeles,,O,"(33.93555, -118.27683)"
535763,1114,548,,W,110TH,ST,,90044,01/22/2014,02/17/2015,088-5A201 289,GENERAL,South Los Angeles,391,O,"(33.9355, -118.28432)"
506101,1114,638,,E,110TH,ST,,90059,07/17/2013,,088-5A207 299,GENERAL,South Los Angeles,,O,"(33.93557, -118.26381)"
505715,1110,1700,,E,110TH,ST,,90059,07/12/2013,,088-5A213 232,GENERAL,South Los Angeles,,O,"(33.93573, -118.24257)"
523934,1114,114,,W,111TH,PL,,90061,11/21/2013,,087A203    53,GENERAL,South Los Angeles,,O,"(33.93382, -118.27453)"
563966,1114,623,,E,111TH,PL,,90059,03/20/2014,,087A207    10,GENERAL,South Los Angeles,,O,"(33.93416, -118.26425)"
509518,1114,737,,E,111TH,PL,,90059,08/14/2013,,088-5A207 331,GENERAL,South Los Angeles,,O,"(33.93498, -118.26171)"
554405,1140,827,,E,111TH,DR,,90059,03/05/2014,,087A209    38,GENERAL,South Los Angeles,,O,"(33.93382, -118.25899)"
592089,4103,1431,,E,111TH,ST,,90059,05/14/2014,,088-5A211 505,CNAP,South Los Angeles,,O,"(33.93491, -118.24923)"
582495,1140,1706,,E,111TH,PL,,90059,04/25/2014,,087A213    77,GENERAL,South Los Angeles,,O,"(33.93383, -118.24324)"
491331,1140,1923,,E,111TH,ST,,90059,02/21/2013,,088-5A215 607,GENERAL,South Los Angeles,,O,"(33.93439, -118.23818)"
419662,4103,2014,,E,111TH,ST,,90059,05/26/2011,,087A215    20,CNAP,South Los Angeles,,O,"(33.93413, -118.23586)"
477049,1140,2137,,E,111TH,ST,,90059,08/22/2012,,088-5A217 583,GENERAL,South Los Angeles,,O,"(33.93438, -118.23356)"
649712,1114,316,,E,112TH,ST,,90061,07/31/2014,,087A205   164,GENERAL,South Los Angeles,,O,"(33.93285, -118.26895)"
508720,1114,347,,E,112TH,ST,,90061,08/08/2013,,087A205   149,GENERAL,South Los Angeles,,O,"(33.93307, -118.26778)"
517948,4103,1503,,E,112TH,ST,,90059,10/16/2013,,087A211    38,CNAP,South Los Angeles,,O,"(33.93326, -118.24836)"
553614,4103,2108,,E,112TH,ST,,90059,03/03/2014,,087A215   144,CNAP,South Los Angeles,,O,"(33.93329, -118.23463)"
527316,1140,2226,,E,112TH,ST,,90059,12/16/2013,,087A217   125,GENERAL,South Los Angeles,,O,"(33.93323, -118.23262)"
489506,1114,553,,W,113TH,ST,,90044,01/18/2013,,087A201   170,GENERAL,South Los Angeles,,O,"(33.93207, -118.28444)"
404021,1140,925,,E,113TH,ST,,90059,01/10/2011,,087A209   510,GENERAL,South Los Angeles,,O,"(33.932, -118.25773)"
516872,1140,1652,,E,113TH,ST,,90059,10/08/2013,,087A213   332,GENERAL,South Los Angeles,,O,"(33.9318, -118.24421)"
418301,1140,1718,,E,113TH,ST,,90059,05/12/2011,,087A213   315,GENERAL,South Los Angeles,,O,"(33.93195, -118.24291)"
526243,1140,1975,,E,114TH,ST,,90059,12/11/2013,,087A215   334,GENERAL,South Los Angeles,,O,"(33.9316, -118.23642)"
633226,1140,1978,,E,114TH,ST,,90059,07/09/2014,,087A215   400,GENERAL,South Los Angeles,,O,"(33.93136, -118.23641)"
433910,1140,2003,,E,114TH,ST,,90059,11/28/2011,,087A215   336,GENERAL,South Los Angeles,,O,"(33.9316, -118.23612)"
475152,1140,2025,,E,114TH,ST,,90059,07/26/2012,,087A215   345,GENERAL,South Los Angeles,,O,"(33.9316, -118.23537)"
508816,1140,122,,W,115TH,ST,,90061,08/08/2013,,084B201    48,GENERAL,South Los Angeles,,O,"(33.92997, -118.27511)"
601762,1114,833,,W,115TH,ST,,90044,05/30/2014,,087A199   290,GENERAL,South Los Angeles,,O,"(33.93021, -118.29053)"
581872,1140,1666,,E,115TH,ST,,90059,04/23/2014,,084B213    22,GENERAL,South Los Angeles,,O,"(33.93023, -118.24409)"
409454,4103,1674,,E,115TH,ST,,90059,03/14/2011,,084B213    24,CNAP,South Los Angeles,,O,"(33.93023, -118.24376)"
523326,1140,208,,E,116TH,ST,,90061,11/19/2013,,084B205   223,GENERAL,South Los Angeles,,O,"(33.92905, -118.27153)"
552226,1140,147,,W,118TH,ST,,90061,02/26/2014,,084B201   650,GENERAL,South Los Angeles,,O,"(33.92657, -118.27567)"
527170,1140,156,,W,118TH,ST,,90061,12/13/2013,,084B201   741,GENERAL,South Los Angeles,,O,
649708,1140,749,,W,118TH,ST,,90044,07/31/2014,,084B197   252,GENERAL,South Los Angeles,,O,"(33.92661, -118.28878)"
613773,1140,824,,E,118TH,PL,,90059,06/17/2014,,084B209   532,GENERAL,South Los Angeles,,O,"(33.92587, -118.25981)"
507339,1140,137,,E,119TH,ST,,90061,07/26/2013,,084B205  1016,GENERAL,South Los Angeles,,O,
622442,4103,200,,W,119TH,ST,,90061,06/24/2014,,084B201  1044,CNAP,South Los Angeles,,O,"(33.92456, -118.2763)"
431186,1140,321,,W,119TH,ST,,90061,10/17/2011,,084B201   985,GENERAL,South Los Angeles,,O,"(33.92477, -118.2791)"
497555,1140,727,,E,119TH,ST,,90059,04/23/2013,,084B205   950,GENERAL,South Los Angeles,,O,"(33.92476, -118.26124)"
431797,2121,110,,W,11TH,ST,,90015,10/26/2011,,126A209   182,GENERAL,Central,,O,"(34.0392, -118.25858)"
466758,2121,224,,E,11TH,ST,,90015,05/23/2012,,126A209   271,GENERAL,Central,,O,"(34.03786, -118.25656)"
488390,2121,934,,E,11TH,ST,,90021,01/07/2013,,123A211    95,GENERAL,Central,,O,"(34.0323, -118.24823)"
486503,2121,953,,E,11TH,ST,,90021,12/06/2012,,123A211    73,GENERAL,Central,,O,"(34.03229, -118.24757)"
599619,2121,958,,E,11TH,ST,,90021,05/30/2014,,123A211   125,GENERAL,Central,,O,"(34.03204, -118.24759)"
486173,2121,965,,E,11TH,ST,,90021,12/04/2012,,123A213    59,GENERAL,Central,,O,"(34.03219, -118.24737)"
416371,2121,969,,E,11TH,ST,,90021,05/04/2011,,123A213    67,GENERAL,Central,,O,"(34.0321, -118.24712)"
410408,2121,1106,,E,11TH,ST,,90021,03/21/2011,,123A213   108,GENERAL,Central,,O,"(34.03178, -118.24699)"
542491,2303,1116,,E,11TH,ST,,90021,02/08/2014,,123A213   117,VEIP,Central,,O,"(34.03168, -118.24675)"
486048,2121,1120,,E,11TH,ST,,90021,12/03/2012,,123A213   121,GENERAL,Central,,O,"(34.03161, -118.24661)"
486050,2121,1130,,E,11TH,ST,,90021,12/03/2012,,123A213   145,GENERAL,Central,,O,"(34.03144, -118.24618)"
432097,2132,1512,,W,11TH,PL,,90015,10/31/2011,,129A203   391,GENERAL,Central,,O,"(34.04626, -118.27427)"
414539,2303,2170,,E,11TH,ST,,90021,04/21/2011,,120A217    33,VEIP,Central,,O,"(34.02442, -118.23406)"
427126,2303,2182,,E,11TH,ST,,90021,08/26/2011,,120A217    36,VEIP,Central,,O,"(34.02437, -118.2338)"
405459,2121,2303,,E,11TH,ST,,90021,02/07/2011,,120A217    54,GENERAL,Central,,O,"(34.02346, -118.23131)"
496907,1130,2419,,,11TH,AVE,,90018,04/17/2013,,123B185   371,GENERAL,South Los Angeles,,O,
419731,1130,2510,,S,11TH,AVE,,90018,05/31/2011,,123B185   483,GENERAL,South Los Angeles,,O,"(34.03393, -118.32942)"
595786,2121,2906,,E,11TH,ST,,90023,05/20/2014,,120A221   196,GENERAL,East Los Angeles,,O,"(34.02137, -118.21576)"
595783,2121,2929,,E,11TH,ST,,90023,05/20/2014,,120A221   187,GENERAL,East Los Angeles,,O,"(34.02138, -118.21522)"
482648,2121,3001,,E,11TH,ST,,90023,10/25/2012,,120A223   136,GENERAL,East Los Angeles,,O,"(34.02096, -118.21424)"
420916,1130,3037,,S,11TH,AVE,,90018,06/09/2011,,120B185   649,GENERAL,South Los Angeles,,O,"(34.02654, -118.32943)"
523935,1110,4914,,S,11TH,AVE,,90043,11/21/2013,,111B185   441,GENERAL,South Los Angeles,,O,"(33.99842, -118.3292)"
577835,1110,6209,,S,11TH,AVE,,90043,04/15/2014,,105B185   721,GENERAL,South Los Angeles,,O,"(33.98349, -118.32949)"
496083,1140,304,,E,120TH,ST,,90061,04/09/2013,,084B205  1231,GENERAL,South Los Angeles,,O,"(33.92354, -118.26926)"
490321,1140,312,,E,120TH,ST,,90061,02/06/2013,,084B205  1229,GENERAL,South Los Angeles,,O,"(33.92354, -118.26906)"
483477,1140,341,,E,120TH,ST,,90061,11/07/2012,,084B205  1148,GENERAL,South Los Angeles,,O,"(33.92386, -118.26804)"
463909,1140,351,,W,120TH,ST,,90061,05/07/2012,,084B201  1151,GENERAL,South Los Angeles,,O,"(33.92386, -118.28011)"
500409,1140,543,,W,120TH,ST,,90044,05/22/2013,,084B201  1095,GENERAL,South Los Angeles,,O,"(33.92385, -118.28428)"
500117,1140,611,,W,121ST,ST,,90044,05/21/2013,,084B201  1270,GENERAL,Harbor,,O,"(33.92265, -118.28522)"
581683,1142,942,,W,12TH,ST,,90731,04/22/2014,,015B197  1331,GENERAL,Harbor,,O,"(33.73346, -118.29776)"
526401,2132,1322,,W,12TH,ST,,90015,12/12/2013,,127-5A205 103,GENERAL,Central,,O,"(34.04457, -118.27267)"
526632,8202,1322,,W,12TH,PL,,90015,12/12/2013,,127-5A205 139,SIGNS,Central,,O,"(34.04382, -118.27317)"
496430,2132,1678,,W,12TH,PL,,90006,04/11/2013,,129A203   374,GENERAL,Central,,O,"(34.04643, -118.27895)"
607959,1133,2913,,W,12TH,ST,,90006,06/09/2014,,129B193  1574,GENERAL,Central,,O,"(34.04915, -118.3037)"
585810,2121,3001,,E,12TH,ST,,90023,05/05/2014,,118-5A221  29,GENERAL,East Los Angeles,,O,"(34.01989, -118.21501)"
582733,1140,837,,W,132ND,ST,,90247,04/25/2014,,078B197    83,GENERAL,Harbor,,O,"(33.91241, -118.29073)"
522303,1140,535,,W,135TH,ST,,90248,11/08/2013,,078B201    81,GENERAL,Harbor,,O,"(33.90931, -118.28424)"
508563,1140,620,,W,135TH,ST,,90248,08/07/2013,,078B201   103,GENERAL,Harbor,,O,"(33.90897, -118.28563)"
535132,1130,2516,,S,13TH,AVE,,90018,01/21/2014,,123B185   513,GENERAL,South Los Angeles,,O,"(34.03377, -118.33181)"
581817,1140,511,,W,147TH,ST,,90248,04/22/2014,,075B201   173,GENERAL,Harbor,,O,"(33.89896, -118.28357)"
426773,2121,719,,E,14TH,ST,,90021,08/22/2011,,123A211   115,GENERAL,Central,,O,"(34.0319, -118.25364)"
502899,2121,760,,E,14TH,PL,,90021,06/21/2013,,123A211   314,GENERAL,Central,,O,"(34.03018, -118.25326)"
444216,1133,2880,,W,14TH,ST,,90006,02/01/2012,,129B193  1427,GENERAL,South Los Angeles,,O,"(34.04619, -118.30557)"
559218,1133,2962,,W,14TH,ST,,90006,03/14/2014,,129B193  1444,GENERAL,South Los Angeles,,O,"(34.04618, -118.30814)"
506969,1133,2977,,W,14TH,ST,,90006,07/24/2013,,129B193  1389,GENERAL,South Los Angeles,,O,"(34.04643, -118.30863)"
455483,2121,3480,,E,14TH,ST,,90023,03/13/2012,,118-5A225 390,GENERAL,East Los Angeles,,O,"(34.01719, -118.20365)"
506022,1142,325,,W,15TH,ST,,90731,07/17/2013,,012B201   301,GENERAL,Harbor,,O,"(33.73046, -118.28416)"
405836,2121,2030,,E,15TH,ST,,90021,02/09/2011,,120A215   187,GENERAL,Central,,O,"(34.02231, -118.23507)"
524742,2121,2268,,E,15TH,ST,,90021,12/04/2013,,120A217   224,GENERAL,Central,,O,"(34.0214, -118.23158)"
413101,2303,2440,,E,15TH,ST,,90021,04/13/2011,,118-5A217  36,VEIP,Central,,O,"(34.02052, -118.22921)"
635776,1202,2730,,W,15TH,ST,,90006,07/11/2014,,126B193    18,CITATIONS,South Los Angeles,,O,"(34.04529, -118.30125)"
524537,1133,2938,,W,15TH,ST,,90006,12/03/2013,,126B193    48,GENERAL,South Los Angeles,,O,"(34.04522, -118.30736)"
